BBBNR,international_location_number_1,International location number  (part 1)
BBSNR,international_location_number_2,International location number (Part 2)
BEARZ,processing_time,Processing time
BEDAT,purchasing_document_date,Purchasing Document Date
BEDPL,requirement_planning,Activating requirements planning
BEGRU,authorization_group,Authorization Group
BEHVO,container_requirements,Container requirements
BELNR,accounting_document_number,Accounting Document Number
BESKZ,procurement_type,Procurement Type
BETOL,po_tolerance,Number of days for PO tolerance - Compress info records - SU
BEWAE,purchase_order_currency,Purchase order currency
BEZNK,unplanned_delivery_costs,Unplanned Delivery Costs
BFLME,logistical_variants,Generic Material with Logistical Variants
BISMT,old_material_number,Old material number
BKLAS,valuation_class,Valuation Class
BKTXT,document_header_text,Document Header Text
BLANZ,number_of_sheets,Number of sheets (without Document Management system)
BLART,document_type,Document type
BLATT,page_number,Page number of document (without Document Management system)
BLDAT,document_date,Document Date in Document
BLIND,document_index_active,Indicator: Doc. index compilation active for purchase orders
BLNKZ,subsidy_indicator,(Obsolete) Subsidy Ind. for Determining the Reduction Rate
BMATN,inventory_material_number,Number of firm's own (internal) inventory-managed material
BMENG,confirmed_quantity,Confirmed Quantity
BNBTR,delivery_costs,Delivery costs in local currency
BNDDT,quotation_valid_to,Date Until Which Bid/Quotation is Binding (Valid-To Date)
BOIDT,rebate_index,Start of validity per.for the rebate index for the customer
BOIND,subsequient_settlement_index,Indicator: index compilation for subseq. settlement active
BOKRE,rebate_relevant,Indicator: Customer Is Rebate-Relevant
BOLRE,subsequient_settlement,Indicator: vendor subject to subseq. settlement accounting
BONBA,rebate_basis,Rebate basis 1
BONUS,volume_rebate_group,Volume rebate group
BOPNR,load_building_restriction_profile,Restriction Profile for PO-Based Load Building
BPMNG,quantity_purchase_order_price_unit,Quantity in Purchase Order Price Unit
BPRBM,quantity_invoiced_po_price_units,Quantity Invoiced in Supplier Invoice in PO Price Units
BPREM,invoice_receipt_quantity,Invoice receipt quantity in order price unit
BPRME,order_price_unit,Order Price Unit (Purchasing)
BPUMN,denominator_quantity_conversion,Denominator for Conv. of Order Price Unit into Order Unit
BPUMZ,numerator_quantity_conversion,Numerator for Conversion of Order Price Unit into Order Unit
BPWEM,goods_receipt_quantity,Goods Receipt Quantity in Purchase Order Price Unit
BRAND_ID,brand,Brand
BREIT,width,Width
BRGEW,gross_weight,Gross weight
BRSCH,industry_key,Industry key
BRTWR,gross_value,Gross value of the billing item in document currency
BSART,purchasing_document_type,Purchasing Document Type
BSCHL,posting_key,Posting Key
BSGRU,reason_for_ordering,Reason for Ordering
BSKRF,inventory_correction_factor,Inventory Correction Factor
BSMNG,quantity_ordered,Quantity ordered against this purchase requisition
BSTAE,confimration_control,Confirmation Control Key
BSTAT,document_status,Document Status
BSTAUS,logistics_stock_values,Stock Values in the Logistics Information System
BSTME,purchase_order_unit,Purchase Order Unit of Measure
BSTTYP,stock_category_logistics,Stock categories in the Logistics Information System
BSTYP,purchasing_document_category,Purchasing Document Category
BTGEW,total_weight,Total Weight
BUBKZ,check_digit,Check digit for the international location number
BUDAT,posting_date,Posting Date in the Document
BUDGET_PD,budget_period,Budget Period
BUILDING,building,Building (Number or Code)
BUKRS,company_code,Company Code
BUSAB,accounting_clerk_abbreviation,Accounting Clerk Abbreviation
BUZEI,line_item,Number of Line Item Within Accounting Document
BUZID,line_item_identification,Identification of the Line Item
BWAPPLNM,application_component,Application Component
BWART,movement_type,Movement type (inventory management)
BWBREL,stock_relevance,BW: Stock Relevance
BWCOUNTER,unique_identification,BW: Unique Identification of Line Item
BWGEO,cost_value_local_currency,BW: Cost Value in Local Currency
BWGVO,retail_value_local_currency,BW: Retail Value in Local Currency
BWGVP,retail_tax_local_currency,BW: Retail Value with Tax in Local Currency
BWKEY,valuation_area,Valuation area
BWMNG,quantity_in_base_unit,BW: Quantity in Base Unit of Measure
BWPSPEX,wbs_element_external,Work Breakdown Structure Element (External)
BWSCL,source_of_supply,Source of Supply
BWSTSYS0,system_status,System Status
BWSTSYS1,status_object_confirmation,Status Object Confirmation
BWSTSYS2,status_object_delivered,Status Object Delivered
BWTAR,valuation_type,Valuation Type
BWTTY,valuation_category,Valuation Category
BWVOR,procurement_rule,Procurement rule
BWVORG,transfer_process,SAP BW transaction key
BZIRK,sales_district,Sales District
BZQHL,regular_supplier,Take Regular Supplier into Account
CADKZ,cad_indicator,CAD Indicator
CARE_CODE,care_code,"Care Codes (such as Washing Code, Ironing Code, etc.)"
CAUFN,internal_order,Internal Order
CCFIX,cc_indicator_fixed,CC indicator is fixed
CESSION_KZ,accounts_receivable_pledging_indicator,Accounts Receivable Pledging Indicator
CHARG,batch_number,Batch Number
CHAZV,batch_status_management,Indicator: batch status management active
CHSPL,batch_split_allowed,Batch split allowed
CITY_CODE,city_code,City code for city/street file
CITY_CODE2,city_po_box_code,City PO box code (City file)
CITY1,city,City
CITY2,district,District
CITYC,city_code,City Code
CITYH_CODE,different_city_code,Different City Coding for City/Street File
CITYP_CODE,district_code,District code for City and Street file
CMENG,corrected_quantity,Corrected quantity in sales unit
CMETH,quantity_conversion_method,Quantity Conversion Method
CMKUA,credit_data_exchange_rate,Credit data exchange rate for requested delivery date
COBL_NR,sequential_number,Four Character Sequential Number for Coding Block
COLOR_ATINN,internal_charactieristic_number,Internal Charactieristic Number for Color Characteristics
COLOR,colors_of_variants,Characteristic Value for Colors of Variants
COMP_CODE,company_code,Company Code
COMPL,material_completion_level,Material completion level
COMPONENT_DES,material_description_1,Material description
COMPONENT,material_number_1,Material Number
CONF_QTY,confirmed_quantity_availability,Confirmed quantity for availability check in SKU
CONFS,confirmed_status_company_code_level,Status of Change Authorization (Company Code Level)
CONS_PERC,consumption_in_percentage,Consumption in Percentage
CONSNUMBER,sequence_number,Sequence Number
COPAM,local_field_name,Local field name for CO/PA link to SOP
COUNC,country_code,County Code
COUNTRY,country_key,Country Key
CPUDT,entry_date,Day On Which Accounting Document Was Entered
CUOBF,internal_object_number,Internal object number
CUOBJ,internal_object_number,Internal object number
CUOBV,material_internal_object_number,Internal object number of configurable material for planning
CURRENCY,currency_key,Currency Key
CURT2,second_local_currency,Currency Type of Second Local Currency
CURT3,third_local_currency,Currency Type of Third Local Currency
CURTYPE,currency_type,Currency Type
DATAB,valid_from,Valid-From Date
DATE_FROM,valid_from,Valid-from date - in current Release only 00010101 possible
DATE_TO,valid_to_date,Valid-to date in current Release only 99991231 possible
DATEFROM,valid_from,Date for Beginning of Validity
DATETO,valid_to,Date Validity Ends
DATLT,data_line,Data communication line no.
DATLZ,last_interest_calculation,Date of Last Interest Calculation Run
DEAKT,deactivation_date,Deactivation Date
DELAY_UNIT,unit_of_delay,Order Report: Unit of a Delay
DEP_STORE,superior_department_store,Superior Department Store
DFZEH,unit_execution_time,Unit of measure for execution time
DFZEXEH,unit_execution_time_exact,Unit for execution time (exact)
DIFFMW,sales_tax_difference,Sales Tax Portion of the Invoice Verification Difference
DIFFN,document_balance,Document Balance
DIRECT_PROC_IND,direct_procurement_indicator,Direct procurement indicator
DISGR,mrp_group,MRP Group
DISKZ,storage_location_mrp_indicator,Storage location MRP indicator
DISLS,lot_sizing_procedure,Lot Sizing Procedure within Materials Planning
DISMM,mrp_type,MRP Type
DISPO,mrp_controller,MRP Controller
DISPR,mrp_profile,Material: MRP profile
DISST,low_level_code,Low-Level Code
DLINL,date_of_last_count,Date of Last Posted Count
DMBE2,second_local_currency_amount,Amount in Second Local Currency or Group Currency
DMBE3,third_local_currency_amount,Amount in Third Local Currency or First Freely-Def. Currency
DMBTR,local_currency_account,Amount in local currency
DMHA2,credit_amount_local_currency_2,Credit Amount in Second Local Currency
DMHA3,credit_amount_local_currency_3,Credit Amount in Third Local Currency
DMHAB,credit_amount_local_currency,Credit Amount in Local Currency
DMSH2,debit_credit_amount_local_currency_2,Amount in Second Local Currency with +/- Sign
DMSH3,debit_credit_amount_local_currency_3,Amount in Third Local Currency with +/- Sign
DMSHB,debit_credit_amount_local_currency,Amount in Local Currency with +/- Signs
DMSO2,debit_amount_local_currency_2,Debit Amount in Second Local Currency
DMSO3,debit_amount_local_currency_3,Debit Amount in Third Local Currency
DMSOL,debit_amount_local_currency,Debit Amount in Local Currency
DTAMS,date_medium_exchange_indicator,Report key for data medium exchange
DTAWS,instruction_key,Instruction key for data medium exchange
DZEIT,in_house_production,In-house production time
EAN11,international_article_number,International Article Number (EAN/UPC)
EANNR,european_article_number,European Article Number (EAN) - obsolete!!!!!
EAUFN,investment_order,Investment Order
EBELN,purchasing_document_number,Purchasing Document Number
EBELP,item_number,Item Number of Purchasing Document
EDATU,delivery_date,Schedule line date
EIKTO,account_at_customer,Shipper's (Our) Account Number at the Customer or Vendor
EKGRP,purchasing_group,Purchasing Group
EKORG,purchasing_organization,Purchasing organization
EKVBD,buying_group,Account Number of Buying Group
EKWSL,purchasing_value_key,Purchasing Value Key
ELIKZ,delivery_completed,"""Delivery Completed"" Indicator"
ELOCTYPE,executing_location_type,Type of Executing Location
EMATN,material_number_1,Material number
ENTAR,disposal_type,Disposal type
EPRIO,withdrawal_sequence_group,Withdrawal Sequence Group for Stocks
ERDAT,created_on,Date on which the record was created
EREKZ,final_invoice,Final Invoice Indicator
ERFME,unit_of_entry,Unit of entry
ERFMG,quantity_unit_of_entry,Quantity in unit of entry
ERGEI,unit_of_weight,Unit of weight (allowed packaging weight)
ERGEW,allowed_packaging_weight,Allowed packaging weight
ERNAM,created_by,Name of Person who Created the Object
ERSDA,created_on,Created On
ERVOE,volume_unit_1,Volume unit (allowed packaging volume)
ERVOL,allowed_packaging_volume,Allowed packaging volume
ERZET,entry_time,Entry time
ESRNR,isr_subscriber_number,ISR subscriber number
ETENR,schedule_line_number,Schedule Line Number
ETIAG,labeling_material_grouping,IS-R Labeling: material grouping (deactivated in 4.0)
ETIAR,label_type,Label type
ETIFO,label_form,Label form
ETRMP,planned_opening_date,Opening Date of the Planned Order
ETTYP,schedule_line_category,Schedule line category
EXECLOC,executing_location,Executing Location
EXPME,commodity_code_unit,Unit of measure for commodity code (foreign trade)
EXPPG,preference_indicator,Preference indicator (deactivated)
EXPVZ,mode_of_transport,Mode of Transport at the Border (Intrastat)
EXTENSION1,extension_data_line,Extension (only for data conversion) (e.g. data line)
EXTENSION2,extension_telebox,Extension (only for data conversion) (e.g. telebox)
EXTWG,external_material_group,External Material Group
EXVER,export_indicator,Export indicator (deactivated)
FA_GLFT,delivered,Order has status DELIVERED
FABKL,factory_calendar,Factory calendar key
FACELOC,customer_facing_location,Customer-Facing Location
FAKSD,central_billing_block,Billing block for customer (sales and distribution)
FAKSK,billing_block,Billing Block in SD Document
FAKSP,billing_block_2,Billing Block for Item
FAREG,billing_rule,Rule in billing plan/invoice plan
FASHGRD,fashion_grade,Fashion Grade
FAX_EXTENS,fax_extension,First fax no.: extension
FAX_NUMBER,fax_number,First fax no.: dialling code+number
FAXDISPLAY,display_fax_number,Display Format for Fax Number
FBUDA,services_rendered_date,Date on which services are rendered
FCURR,,Exchange Source Currency
FDGRV,planning_group,Planning Group
FERTH,production_memo,Production/inspection memo
FEVOR,production_supervisor,Production Supervisor
FFACT,,Ratio for the From Currency Units
FFREI,automatic_release,Release indicator for production orders
FHORI,scheduling_margin_key,Scheduling Margin Key for Floats
FIBER_CODE1,fiber_code_component_1,Fiber Code for Textiles (Component 1)
FIBER_CODE2,fiber_code_component_2,Fiber Code for Textiles (Component 2)
FIBER_CODE3,fiber_code_component_3,Fiber Code for Textiles (Component 3)
FIBER_CODE4,fiber_code_component_4,Fiber Code for Textiles (Component 4)
FIBER_PART1,percentage_share_1,Percentage Share of Fiber (Component 1)
FIBER_PART2,percentage_share_2,Percentage Share of Fiber (Component 2)
FIBER_PART3,percentage_share_3,Percentage Share of Fiber (Component 3)
FIBER_PART4,percentage_share_4,Percentage Share of Fiber (Component 4)
FIKRS,financial_management_area,Financial Management Area
FIPOS,commitment_item,Commitment Item
FISCPER,fiscal_year_period,Fiscal year / period
FISCVAR,fiscal_year_variant,Fiscal year variant
FISCVARNT,fiscal_year_vatiant,Fiscal year variant
FISKN,fiscal_address,Account number of the master record with fiscal address
FISTL,funds_center,Funds Center
FKART,billing_type,Billing Type
FKBER,functional_area,Functional Area
FKDAT,billing_date,Billing Date
FKIMG,actual_billing_quantity,Actual billed quantity
FKLMG,billing_quantity_stockkeeoing_unit,Billing quantity in stockkeeping unit
FKTYP,billing_category,Billing Category
FLOCTYPE,customer_facing_location_type,Type of Customer-Facing Location
FLOOR,floor_in_building,Floor in building
FORMT,page_format_1,Page Format of Production Memo
FREE_CHAR,free_characteristic_value,Characteristic Value for Evaluation Purposes
FRGRP,release_approval_group,Release Approval Group
FRTME,production_unit,Production unit
FTRMI,actual_release_date,Actual release date
FTRMP,planned_release_date,Planned Release Date
FTRMS,scheduled_release_date,Scheduled release date
FUELG,maximum_level,Maximum level (by volume)
FXHOR,planning_time_fence,Planning time fence
GBDAT,date_of_birth,Date of Birth of the Person Subject to Withholding Tax
GBORT,place_of_birth,Place of birth of the person subject to withholding tax
GDLGRP,evaluation_group_5,Evaluation Group 5
GEBER,fund,Fund
GETRI,actual_finish_date,Confirmed Order Finish Date
GEWEI,weight_unit,Weight Unit
GEWTO,excess_weight_tolerance,Excess Weight Tolerance for Handling unit
GJAHR,fiscal_year,Fiscal Year
GLTRP,basic_finish_date,Basic finish date
GLTRS,scheduled_finish,Scheduled finish
GLVOR,business_transaction,Business Transaction
GPLAB,planned_retirement_date,Planned Retirement Date
GPMKZ,rough_cut_planning,Indicator: Material Included in Rough-Cut Planning
GRANT_NBR,grant,Grant
GRICD,activity_code_gross_income_tax,Activity Code for Gross Income Tax
GRIDT,distribution_type,Distribution Type for Employment Tax
GROES,size_dimensions,Size/dimensions
GRUND,reason_for_movement,Reason for goods movment
GSBER,business_area,Business Area
GSTRI,actual_start_date,Actual start date
GSTRP,basic_start_date,Basic start date
GSTRS,scheduled_start,Scheduled start
GUZTE,credit_memo_payment_term,Payment Terms Key for Credit Memos
HBKID,house_bank,Short key for a house bank
HDR_MAT_DESCR,material_description_2,Material description
HDR_MATERIAL,material_number_2,Material Number
HDRVORG,transaction_purchasing_document,Transaction for Purchasing Document
HERBL,state_of_manufacture,State of manufacture
HERKL,country_of_origin,Country of Origin of Material (Non-Preferential Origin)
HERKR,region_of_origin,Region of Origin of Material (Non-Preferential Origin)
HKONT,general_ledger_account,General Ledger Account
HOEHE,height,Height
HOME_CITY,home_city,City (Different from Postal City)
HOME_FLAG,home_address,Recipient address in this communication type (mail sys.grp)
HOUSE_NUM1,house_number,House Number
HOUSE_NUM2,house_number_supplement,House number supplement
HWAE2,local_currency_2,Currency Key of Second Local Currency
HWAE3,local_currency_3,Currency Key of Third Local Currency
HWAER,local_currency,Local Currency
I_DFZ_EX,actual_execution_time_exact,Actual execution time (exact)
I_DFZ,actual_execution_time,Actual execution time
I_DLZ_EX,actual_lead_time_exact,Actual lead time (exact)
I_DLZ,actual_lead_time,Actual lead time
IAMNG,actual_scrap_quantity,Actual scrap quantity from an order item
IHIVI,highly_viscous,Indicator: Highly Viscous
ILOOS,in_bulk_liquid,Indicator: In Bulk/Liquid
INCO1,incoterms_part_1,Incoterms (Part 1)
INCO2,incoterms_part_2,Incoterms (Part 2)
INHAL,net_contents,Net contents
INHBR,gross_contents,Gross contents
INHME,content_unit,Content unit
INKEN,inventory_indicator,Inventory Indicator
INSMK,stock_type,Stock Type
INTAD,clerk_internet_address,Internet address of partner company clerk
INVKZ,physical_inventory,Indicator: Movement type is physical inventory
INVNR,inventory_number,Inventory Number
IPRKZ,shelf_life_expiration_date,Period Indicator for Shelf Life Expiration Date
ITARK,military_goods,Indicator: Military goods
ITEM_CAT,item_type,EA Retail BW Extr. Enhancement: Item Type
IVTYP,invoice_verification_category,Origin of a Logistics Invoice Verification Document
IWERK,planning_plant,Maintenance Planning Plant
KALKS,customer_price_procedure,Customer Classification for Pricing Procedure Determination
KALSK,schems_group_supplier,Group for Calculation Schema (Supplier)
KAUSF,component_scrap,Component Scrap in Percent
KAUTB,automatic_purchase_order,"Indicator: ""automatic purchase order allowed"""
KBMENG,cumulative_confirmed_quantity_sales_unit,Cumulative Confirmed Quantity in Sales Unit
KDATB,validity_period_start,Start of Validity Period
KDATE,validity_period_end,End of Validity Period
KDAUF,sales_order_number,Sales Order Number
KDEIN,sales_order_schedule,Delivery schedule for sales order
KDGRP,customer_group,Customer Group
KDPOS,sales_order_item,Item number in Sales Order
KEINH,capacity_unit,Unit of Measure for Capacity Requirements
KKBER,credit_control_area,Credit control area
KKOWK,condition_plant_level,Indicator: Conditions at plant level
KLABC,abc_classification,Customer classification (ABC analysis)
KLMENG,cumulative_confirmed_quantity_base_unit,Cumulative Confirmed Quantity in Base Unit
KMEIN,condition_unit,Condition Unit
KNRZB,alternative_payer,Account number of an alternative payer
KNRZE,head_office,Head office account number (in branch accounts)
KNTTP,account_assignment_category,Account Assignment Category
KNUMA_AG,sales_deal,Sales deal
KOART,account_type,Account type
KOKRS,controlling_area,Controlling Area
KOMKZ,picking_indicator,Indicator for picking control
KONDA,customer_price_group,Customer Price Group
KONNR,outline_agreement,Number of principal purchase agreement
KONZS,group_key,Group key
KOQUA,picking_confirmation,Confirmation status of picking/putaway
KORDB,source_list,Indicator: Source list requirement
KORR,inventory_correction,Indicator: Movement type is inventory correction
KOSCH,product_allocation,Product allocation determination procedure
KOSTA,picking_status,Picking Status/Putaway Status (Item)
KOSTL,cost_center,Cost Center
KOSTLV,responsible_cost_Center,Cost Center Responsible for Asset
KOSTV,responsible_cost_center,Responsible cost center
KPEIN,condition_pricing_unit,Condition Pricing Unit
KRAUS,credit_information_number,Credit Information Number
KSTRG,cost_object,Cost Object
KSUMS,capacity_requirement,Total target capacity requirements
KTGRD,account_assignment_group,Account Assignment Group for this customer
KTMNG,target_quantity,Target Quantity
KTOCK,reference_account_group,Reference Account Group for One-Time Account (Vendor)
KTOGR,account_determination,Account Determination
KTOKK,vendor_account_group,Vendor account group
KTOPL,chart_of_accounts,Chart of Accounts
KTOSL,transaction_key,Transaction Key
KTPNR,principal_agreement_item,Item number of principal purchase agreement
KULTG,check_cashing_time,Probable Time Until Check Is Paid
KUNAG,sold_to_party,Sold-To Party
KUNNR,customer_number,Ship-to party
KUNRG,payer,Payer
KUNUM,customer_number,Customer Number
KURRF,exchange_rate_accounting,Exchange rate for FI postings
KURSK_DAT,translation_date,Translation date
KURSK,exchange_rate,Exchange Rate for Price Determination
KURST,exchange_rate_type,Exchange Rate Type
KVAKZ,cost_estimate,Cost estimate indicator (inactive)
KVAWT,maximum_cost_estimate,Value limit for cost estimate (inactive)
KVERM,account_memo,Memo
KVGR1,customer_group_1,Customer group 1
KVGR2,customer_group_2,Customer group 2
KVGR3,customer_group_3,Customer group 3
KVGR4,customer_group_4,Customer group 4
KVGR5,customer_group_5,Customer group 5
KWMENG,cumulative_order_quantity,Cumulative order quantity in sales units
KZABS,acknowledgment_required,Order Acknowledgment Requirement
KZAUS,discontinuation_indicator,Discontinuation indicator
KZAUT,automatic_purchase_order,Automatic Generation of Purchase Order Allowed
KZAZU,order_combination_indicator,Order Combination Indicator
KZBED,requirements_group,Indicator for Requirements Grouping
KZBEW,movement_indicator,Movement Indicator
KZBWS,special_stock_valuation,Valuation of Special Stock
KZDIE,mrp_controller_buyer,Indicator: MRP controller is buyer (deactivated)
KZDKZ,documentation_required,Documentation required indicator
KZECH,batch_entry,Determination of batch entry in the production/process order
KZEFF,assign_effectivity_values,Assign effectivity parameter values/ override change numbers
KZGVH,closed,Packaging Material is Closed Packaging
KZILE,restricted_use_stock,Physical inventory indicator for restricted-use stock
KZILL,warehouse_stock_current_year,Physical inventory indicator for whse stock in current year
KZILQ,quality_inspection_stock_cy,Phys. inventory ind. f. stock in qual. insp. in current year
KZILS,blocked_stock_1,Physical inventory indicator for blocked stock
KZKFG,configurable_material,Configurable Material
KZKFK,correction_factors,Indicator: take correction factors into account
KZKRI,critical_part,Indicator: Critical part
KZKUP,material_co_product,Indicator: Material can be co-product
KZMAB,quantity_deviation,Indicator: relevant quantity deviation
KZNFM,follow_up_material,Indicator: The material has a follow-up material
KZPOS,item_counter,"Indicator: item counter relevant (R/2->R/3 link, schd.agmt)"
KZPPV,inspection_plan_indicator,Indicator for inspection plan (deactivated)
KZPRO,withdrawal_production_bin,Indicator: withdrawal of stock from production bin
KZRET,returns_supplier,Indicates whether supplier is returns supplier
KZREV,revision_level_assigned,Revision Level Has Been Assigned to the Material
KZTAB,schedule_deviation,Indicator: relevant schedule deviation
KZTLF,partial_delivery,Partial delivery at item level
KZUMW,environmentally_relevant,Environmentally Relevant
KZVBR,consumption_posting,Consumption posting
KZVLE,restricted_use,"Physical inventory ind. for restricted-use stock, prev.pd"
KZVLL,warehouse_stock,Physical inventory indicator for stock in previous year
KZVLQ,quality_inspection_stock,Phys. inventory ind. f. stock in qual. insp. in prev. period
KZVLS,blocked_stock_2,Phys. inventory indicator for blocked stock in prev. period
KZWI1,subtotal_1,Subtotal 1 from pricing procedure for condition
KZWI2,subtotal_2,Subtotal 2 from pricing procedure for condition
KZWI3,subtotal_3,Subtotal 3 from pricing procedure for condition
KZWI4,subtotal_4,Subtotal 4 from pricing procedure for condition
KZWI5,subtotal_5,Subtotal 5 from pricing procedure for condition
KZWI6,subtotal_6,Subtotal 6 from pricing procedure for condition
KZWSM,units_of_measure_usage,Units of measure usage
LABOR,laboratory_design_office,Laboratory/design office
LADGR,loading_group,Loading Group
LAEDA,last_change,Date of Last Change
LAENG,length,Length
LAGPR,storage_costs_code,Storage Costs Percentage Code
LAND1,country_key,Country Key
LANGU,language_key,Language Key
LATITUDE,geo_location_latitude,Geo location latitude
LAVI,shipping_notification,Points score: Shipping notification
LBLIF,receiving_supplier,Field not used
LCURR,local_currency,Currency key of the local currency
LDDAT,loading_date,Loading Date
LEAD_AUFNR,leading_order,Leading Order in Current Processing
LEAD_MATNR,leading_material,Material Number of Leading Order
LEBRE,service_based_invoice_verification,Indicator for Service-Based Invoice Verification
LET01,tolerance_1,Tolerance days - Dunning level 1
LET02,tolerance_2,Tolerance days - Dunning level 2
LET03,tolerance_3,Tolerance days - Dunning level 3
LFABC,abc_indicator,ABC indicator
LFABW,smoothing_factor,Smoothing Factor: Date Variance
LFART,delivery_type,Delivery Type
LFBNR,reference_document,Document No. of a Reference Document
LFDAT,delivery_date,Delivery Date
LFGJA,year_current_period,Fiscal Year of Current Period
LFIMG,delivery_quantity,Actual quantity delivered (in sales units)
LFMNG,minimum_delivery_quantity,Minimum Delivery Quantity in Delivery Note Processing
LFMON,current_period,Current period (posting period)
LFPOS,reference_documnet_item,Item of a Reference Document
LFRHY,planning_cycle,Planning cycle
LFZTA,total_delivery_time,Total delivery time in days
LGFSB,storage_location_external_procurement,Default storage location for external procurement
LGMNG,actual_delivery_quantity,Actual quantity delivered in stockkeeping units
LGNUM,warehouse_number,Warehouse Number / Warehouse Complex
LGORT,storage_location,Storage location
LGPBE,storage_bin,Storage Bin
LGPLA,storage_bin,Storage Bin
LGPRO,production_storage_location,Issue Storage Location
LGRAD,service_level,Service level
LGTYP,storage_type,Storage Type
LIBES,order_entry_supplier,Order entry by supplier
LIEFFMW,tax_in_supplier_error,Tax in Supplier Error
LIEFFN,supplier_error,Supplier Error (Exclusive of Tax)
LIFNR,vendors_account_number,Vendor's account number
LIFNR2,vendors_account_number_2,Vendor's account number
LIFRE,different_invoicing_party,Different Invoicing Party
LIFSD,delivery_block_sales_area,Customer delivery block (sales area)
LIFSK,delivery_block,Delivery Block (Document Header)
LIFSP,scheduled_line_blocked,Schedule Line Blocked for Delivery
LINE0,address_line_0,BP Address: Line 0
LINE1,address_line_1,BP Address: Line 1
LINE2,address_line_2,BP Address: Line 2
LINE3,address_line_3,BP Address: Line 3
LINE4,address_line_4,BP Address: Line 4
LINE5,address_line_5,BP Address: Line 5
LINE6,address_line_6,BP Address: Line 6
LINE7,address_line_7,BP Address: Line 7
LINE8,address_line_8,BP Address: Line 8
LINE9,address_line_9,BP Address: Line 9
LIPRE,supplier_price_marking,"Price marking, supplier"
LIQDT,deletion_date,Deletion date
