VENDORID,PASSENGER_COUNT,TRIP_DISTANCE,RATECODEID,STORE_AND_FWD_FLAG,PULOCATIONID,DOLOCATIONID,PAYMENT_TYPE,FARE_AMOUNT,EXTRA,MTA_TAX,TIP_AMOUNT,TOLLS_AMOUNT,IMPROVEMENT_SURCHARGE,TOTAL_AMOUNT,CONGESTION_SURCHARGE,AIRPORT_FEE,TPEP_PICKUP_DATETIME,TPEP_DROPOFF_DATETIME,TRIP_ID
1,1,2.4,1,N,246,143,1,12.0,0.5,0.5,3.95,0.0,0.3,17.25,,,2016-01-01 00:48:09,2016-01-01 01:03:34,20
1,1,4.8,1,N,13,148,1,15.5,0.5,0.5,0.0,0.0,0.3,16.8,,,2016-01-01 00:17:25,2016-01-01 00:30:30,21
1,1,2.2,1,N,148,170,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,,,2016-01-01 00:32:21,2016-01-01 00:43:09,22
1,1,0.4,1,N,137,170,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,,,2016-01-01 00:44:18,2016-01-01 00:47:55,23
1,1,3.7,1,N,170,143,2,14.5,0.5,0.5,0.0,0.0,0.3,15.8,,,2016-01-01 00:54:00,2016-01-01 01:12:05,24
2,1,6.21,1,N,132,197,2,20.0,0.5,0.5,0.0,0.0,0.3,21.3,,,2016-01-01 00:33:43,2016-01-01 00:49:03,25
1,1,1.1,1,N,143,238,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,,,2016-01-01 00:07:08,2016-01-01 00:12:54,26
1,1,5.7,1,N,151,164,2,22.5,0.5,0.5,0.0,0.0,0.3,23.8,,,2016-01-01 00:17:33,2016-01-01 00:43:34,27
1,1,2.3,1,N,186,142,1,17.5,0.5,0.5,3.75,0.0,0.3,22.55,,,2016-01-01 00:47:04,2016-01-01 01:15:33,28
1,2,2.9,1,N,142,170,2,20.5,0.5,0.5,0.0,0.0,0.3,21.8,,,2016-01-01 00:00:16,2016-01-01 00:33:00,29
1,1,0.8,1,N,170,233,1,6.0,0.5,0.5,1.0,0.0,0.3,8.3,,,2016-01-01 00:35:11,2016-01-01 00:41:32,30
1,1,0.7,1,N,233,170,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,,,2016-01-01 00:44:24,2016-01-01 00:48:37,31
1,4,0.6,1,N,162,237,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,,,2016-01-01 00:55:36,2016-01-01 01:00:26,32
1,3,17.8,3,N,249,1,1,69.0,0.5,0.0,20.0,0.0,0.3,89.8,,,2016-01-01 00:25:42,2016-01-01 01:05:51,33
1,1,1.5,1,N,142,237,1,7.5,0.5,0.5,1.75,0.0,0.3,10.55,,,2016-01-01 00:08:17,2016-01-01 00:16:03,34
1,1,1.8,1,N,142,141,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,,,2016-01-01 00:23:32,2016-01-01 00:34:13,35
1,1,1.0,1,N,237,162,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,,,2016-01-01 00:40:13,2016-01-01 00:45:35,36
1,1,2.6,1,N,161,263,1,13.0,0.5,0.5,2.85,0.0,0.3,17.15,,,2016-01-01 00:54:55,2016-01-01 01:11:29,37
2,5,0.73,1,N,158,249,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,,,2016-01-01 00:05:22,2016-01-01 00:13:28,38
2,5,2.72,1,N,68,231,1,13.0,0.5,0.5,3.58,0.0,0.3,17.88,,,2016-01-01 00:18:41,2016-01-01 00:35:11,39
2,6,0.68,1,N,13,261,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,,,2016-01-01 00:39:18,2016-01-01 00:43:03,40
2,5,2.38,1,N,13,158,1,10.5,0.5,0.5,2.95,0.0,0.3,14.75,,,2016-01-01 00:52:54,2016-01-01 01:05:03,41
2,1,2.11,1,N,68,170,1,14.0,0.5,0.5,3.82,0.0,0.3,19.12,,,2016-01-01 00:55:33,2016-01-01 01:16:32,42
1,2,2.2,1,N,141,229,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,,,2016-01-01 00:13:24,2016-01-01 00:18:27,43
1,2,0.9,1,N,141,263,1,5.0,0.5,0.5,1.25,0.0,0.3,7.55,,,2016-01-01 00:24:40,2016-01-01 00:27:56,44
1,2,2.8,1,N,263,48,1,12.5,0.5,0.5,2.75,0.0,0.3,16.55,,,2016-01-01 00:29:44,2016-01-01 00:43:41,45
1,3,0.7,1,N,48,48,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,,,2016-01-01 00:45:07,2016-01-01 00:56:08,46
1,1,0.8,1,N,50,48,2,4.5,0.5,0.5,0.0,0.0,0.3,5.8,,,2016-01-01 00:58:39,2016-01-01 01:01:31,47
2,1,8.12,1,N,161,95,1,28.5,0.5,0.5,8.94,0.0,0.3,38.74,,,2016-01-01 00:33:25,2016-01-01 01:07:12,48
1,1,4.7,1,N,148,48,1,20.0,0.5,0.5,2.0,0.0,0.3,23.3,,,2016-01-01 00:17:51,2016-01-01 00:45:03,49
1,1,0.4,1,N,48,48,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,,,2016-01-01 00:46:43,2016-01-01 00:53:12,50
1,1,0.5,1,N,162,233,1,4.5,0.5,0.5,1.15,0.0,0.3,6.95,,,2016-01-01 00:25:40,2016-01-01 00:29:03,51
1,1,1.0,1,N,229,161,1,7.0,0.5,0.5,1.65,0.0,0.3,9.95,,,2016-01-01 00:35:26,2016-01-01 00:44:11,52
1,2,2.1,1,N,161,249,1,11.5,0.5,0.5,2.55,0.0,0.3,15.35,,,2016-01-01 00:45:23,2016-01-01 01:01:21,53
1,2,1.3,1,N,151,41,1,7.0,0.5,0.5,1.0,0.0,0.3,9.3,,,2016-01-01 00:15:22,2016-01-01 00:22:10,54
1,1,6.9,1,N,166,107,1,26.5,0.5,0.5,5.55,0.0,0.3,33.35,,,2016-01-01 00:32:02,2016-01-01 01:03:16,55
1,4,1.0,1,N,263,75,1,5.5,0.5,0.5,1.35,0.0,0.3,8.15,,,2016-01-01 00:10:07,2016-01-01 00:14:24,56
1,2,1.5,1,N,239,142,1,9.0,0.5,0.5,3.05,0.0,0.3,13.35,,,2016-01-01 00:29:02,2016-01-01 00:39:41,57
1,2,1.3,1,N,142,238,1,6.0,0.5,0.5,3.0,0.0,0.3,10.3,,,2016-01-01 00:42:37,2016-01-01 00:46:50,58
1,4,1.5,1,N,238,236,1,8.0,0.5,0.5,2.0,0.0,0.3,11.3,,,2016-01-01 00:48:51,2016-01-01 00:57:00,59
2,2,7.97,1,N,166,148,1,32.0,0.5,0.5,1.0,0.0,0.3,34.3,,,2016-01-01 00:28:15,2016-01-01 01:08:34,60
1,6,0.6,1,N,239,142,1,4.5,0.5,0.5,1.7,0.0,0.3,7.5,,,2016-01-01 00:29:59,2016-01-01 00:33:48,61
1,1,1.9,1,N,142,229,1,9.5,0.5,0.5,2.0,0.0,0.3,12.8,,,2016-01-01 00:36:00,2016-01-01 00:47:17,62
2,1,1.54,1,N,238,166,1,7.0,0.5,0.5,5.0,0.0,0.3,13.3,,,2016-01-01 00:48:59,2016-01-01 00:55:46,63
1,2,6.2,1,N,13,164,1,21.0,0.5,0.5,5.55,0.0,0.3,27.85,,,2016-01-01 00:01:39,2016-01-01 00:20:55,64
1,1,2.9,1,N,246,233,1,15.0,0.5,0.5,1.0,0.0,0.3,17.3,,,2016-01-01 00:34:32,2016-01-01 00:56:09,65
2,1,1.25,1,N,145,145,1,16.5,0.5,0.5,5.34,0.0,0.3,23.14,,,2016-01-01 00:30:17,2016-01-01 00:58:11,66
1,1,0.7,1,N,90,234,1,5.5,0.5,0.5,1.2,0.0,0.3,8.0,,,2016-01-01 00:01:38,2016-01-01 00:06:22,67
1,1,4.6,1,N,249,163,2,28.5,0.5,0.5,0.0,0.0,0.3,29.8,,,2016-01-01 00:11:23,2016-01-01 00:59:22,68
1,2,1.5,1,N,246,170,1,8.5,0.5,0.5,2.45,0.0,0.3,12.25,,,2016-01-01 00:14:34,2016-01-01 00:25:16,69
1,2,3.4,1,N,90,140,1,15.5,0.5,0.5,3.35,0.0,0.3,20.15,,,2016-01-01 00:38:27,2016-01-01 00:59:01,70
1,1,1.8,1,N,166,239,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,,,2016-01-01 00:20:21,2016-01-01 00:28:00,71
1,2,0.4,1,N,239,238,2,3.5,0.5,0.5,0.0,0.0,0.3,4.8,,,2016-01-01 00:29:15,2016-01-01 00:31:15,72
1,2,5.2,1,N,238,158,2,20.5,0.5,0.5,0.0,0.0,0.3,21.8,,,2016-01-01 00:33:31,2016-01-01 00:55:19,73
1,1,1.8,1,N,162,79,1,11.5,0.5,0.5,2.55,0.0,0.3,15.35,,,2016-01-01 00:12:16,2016-01-01 00:27:31,74
1,1,0.8,1,N,79,114,3,6.0,0.5,0.5,0.0,0.0,0.3,7.3,,,2016-01-01 00:29:39,2016-01-01 00:44:14,75
1,4,0.9,1,N,114,79,1,7.0,0.5,0.5,0.0,0.0,0.3,8.3,,,2016-01-01 00:45:33,2016-01-01 00:53:01,76
1,1,3.6,1,N,79,229,1,14.5,0.5,0.5,2.0,0.0,0.3,17.8,,,2016-01-01 00:56:01,2016-01-01 01:10:45,77
2,1,2.95,1,N,68,233,1,14.0,0.5,0.5,3.06,0.0,0.3,18.36,,,2016-01-01 00:20:02,2016-01-01 00:39:11,78
2,1,0.41,1,N,233,170,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,,,2016-01-01 00:42:13,2016-01-01 00:44:42,79
2,1,0.9,1,N,137,224,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,,,2016-01-01 00:50:48,2016-01-01 00:57:17,80
2,1,2.32,1,N,100,142,1,13.5,0.5,0.5,1.5,0.0,0.3,16.3,,,2016-01-01 00:43:20,2016-01-01 01:02:51,81
2,1,4.38,1,N,161,125,2,27.0,0.5,0.5,0.0,0.0,0.3,28.3,,,2016-01-01 00:05:00,2016-01-01 00:48:02,82
2,2,6.6,1,N,125,75,1,24.0,0.5,0.5,5.06,0.0,0.3,30.36,,,2016-01-01 00:49:34,2016-01-01 01:18:14,83
2,1,9.92,1,N,181,75,1,35.5,0.5,0.5,11.04,0.0,0.3,47.84,,,2016-01-01 00:27:20,2016-01-01 01:04:39,84
2,4,1.96,1,N,151,143,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,,,2016-01-01 00:14:51,2016-01-01 00:25:20,85
2,1,1.51,1,N,142,141,2,8.0,0.5,0.5,0.0,0.0,0.3,9.3,,,2016-01-01 00:28:26,2016-01-01 00:37:29,86
2,1,0.54,1,N,237,236,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,,,2016-01-01 00:43:32,2016-01-01 00:45:49,87
2,2,0.7,1,N,236,263,2,4.0,0.5,0.5,0.0,0.0,0.3,5.3,,,2016-01-01 00:47:19,2016-01-01 00:49:44,88
2,1,0.94,1,N,236,262,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,,,2016-01-01 00:56:45,2016-01-01 01:02:47,89
1,1,3.0,1,N,163,146,2,12.0,0.5,0.5,0.0,0.0,0.3,13.3,,,2016-01-01 00:07:17,2016-01-01 00:18:26,90
1,1,1.3,1,N,141,263,1,5.5,0.5,0.5,2.0,0.0,0.3,8.8,,,2016-01-01 00:37:24,2016-01-01 00:40:56,91
1,2,0.7,1,N,236,141,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,,,2016-01-01 00:47:23,2016-01-01 00:53:16,92
1,4,1.7,1,N,141,75,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,,,2016-01-01 00:54:22,2016-01-01 01:01:14,93
1,1,5.6,1,N,7,230,1,22.0,0.5,0.5,1.0,0.0,0.3,24.3,,,2016-01-01 00:14:34,2016-01-01 00:40:44,94
1,3,5.6,1,N,230,230,2,2.5,0.5,0.5,0.0,0.0,0.3,3.8,,,2016-01-01 00:42:19,2016-01-01 00:42:57,95
1,2,4.8,1,N,161,79,2,19.5,0.5,0.5,0.0,0.0,0.3,20.8,,,2016-01-01 00:44:58,2016-01-01 01:09:53,96
2,1,2.61,1,N,144,186,2,12.5,0.5,0.5,0.0,0.0,0.3,13.8,,,2016-01-01 00:18:38,2016-01-01 00:37:29,97
2,1,0.97,1,N,186,246,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,,,2016-01-01 00:38:26,2016-01-01 00:44:28,98
2,1,2.29,1,N,246,79,1,12.0,0.5,0.5,3.32,0.0,0.3,16.62,,,2016-01-01 00:46:18,2016-01-01 01:02:24,99
2,2,4.65,1,N,48,74,1,15.5,0.5,0.5,4.2,0.0,0.3,21.0,,,2016-01-01 00:42:33,2016-01-01 00:58:08,100
1,4,2.5,1,N,142,166,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3,,,2016-01-01 00:50:42,2016-01-01 01:01:25,101
2,1,0.55,1,N,79,79,1,4.5,0.5,0.5,1.0,0.0,0.3,6.8,,,2016-01-01 00:19:41,2016-01-01 00:23:16,102
2,1,4.5,1,N,79,143,1,16.5,0.5,0.5,4.45,0.0,0.3,22.25,,,2016-01-01 00:25:51,2016-01-01 00:43:52,103
2,1,1.99,1,N,143,263,1,9.5,0.5,0.5,2.16,0.0,0.3,12.96,,,2016-01-01 00:48:29,2016-01-01 00:59:18,104
1,1,2.9,1,N,61,62,2,13.0,0.5,0.5,0.0,0.0,0.3,14.3,,,2016-01-01 00:05:22,2016-01-01 00:19:10,105
1,1,3.3,1,N,62,71,2,17.0,0.5,0.5,0.0,0.0,0.3,18.3,,,2016-01-01 00:23:46,2016-01-01 00:45:47,106
1,1,2.1,1,N,71,85,2,9.5,0.5,0.5,0.0,0.0,0.3,10.8,,,2016-01-01 00:47:58,2016-01-01 00:58:02,107
1,1,5.6,1,N,4,40,2,18.0,0.5,0.5,0.0,0.0,0.3,19.3,,,2016-01-01 00:08:50,2016-01-01 00:24:10,108
1,1,5.8,1,N,25,91,2,24.5,0.5,0.5,0.0,0.0,0.3,25.8,,,2016-01-01 00:33:28,2016-01-01 01:07:39,109
2,6,1.1,1,N,141,263,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,,,2016-01-01 00:09:11,2016-01-01 00:13:51,110
2,6,2.22,1,N,239,166,1,9.0,0.5,0.5,1.75,0.0,0.3,12.05,,,2016-01-01 00:23:21,2016-01-01 00:31:40,111
2,6,7.79,1,N,24,148,1,28.0,0.5,0.5,8.79,0.0,0.3,38.09,,,2016-01-01 00:37:18,2016-01-01 01:09:50,112
1,1,3.3,1,N,143,249,2,13.5,0.5,0.5,0.0,0.0,0.3,14.8,,,2016-01-01 00:11:54,2016-01-01 00:28:41,113
1,1,0.6,1,N,249,249,1,5.5,0.5,0.5,1.35,0.0,0.3,8.15,,,2016-01-01 00:32:21,2016-01-01 00:38:13,114
1,1,1.3,1,N,158,231,1,6.5,0.5,0.5,2.3,0.0,0.3,10.1,,,2016-01-01 00:40:06,2016-01-01 00:46:24,115
1,1,2.0,1,N,231,79,1,10.0,0.5,0.5,2.8,0.0,0.3,14.1,,,2016-01-01 00:49:59,2016-01-01 01:01:01,116
1,1,2.7,1,N,256,231,1,11.0,0.5,0.5,2.45,0.0,0.3,14.75,,,2016-01-01 00:28:25,2016-01-01 00:38:16,117
1,1,2.1,1,N,231,4,1,10.5,0.5,0.5,2.95,0.0,0.3,14.75,,,2016-01-01 00:39:22,2016-01-01 00:52:31,118
1,1,3.9,1,N,237,211,1,16.5,0.5,0.5,3.0,0.0,0.3,20.8,,,2016-01-01 00:08:04,2016-01-01 00:29:00,119
1,1,0.9,1,N,211,249,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,,,2016-01-01 00:31:23,2016-01-01 00:37:43,120
1,1,1.0,1,N,249,125,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,,,2016-01-01 00:39:24,2016-01-01 00:51:32,121
1,1,5.4,1,N,125,263,1,19.5,0.5,0.5,0.0,0.0,0.3,20.8,,,2016-01-01 00:52:10,2016-01-01 01:14:09,122
1,2,1.9,1,N,236,75,1,8.0,0.5,0.5,1.86,0.0,0.3,11.16,,,2016-01-01 00:12:57,2016-01-01 00:20:16,123
1,1,1.0,1,N,236,237,1,6.0,0.5,0.5,1.8,0.0,0.3,9.1,,,2016-01-01 00:25:26,2016-01-01 00:31:13,124
1,2,2.1,1,N,237,50,1,10.5,0.5,0.5,2.5,0.0,0.3,14.3,,,2016-01-01 00:36:57,2016-01-01 00:49:23,125
1,2,1.4,1,N,50,239,1,7.0,0.5,0.5,2.0,0.0,0.3,10.3,,,2016-01-01 00:51:51,2016-01-01 00:58:20,126
1,1,2.5,1,N,238,50,2,11.5,0.5,0.5,0.0,0.0,0.3,12.8,,,2016-01-01 00:16:26,2016-01-01 00:29:06,127
1,1,0.0,1,N,239,264,2,17.0,0.5,0.5,0.0,0.0,0.3,18.3,,,2016-01-01 00:40:42,2016-01-01 00:40:42,128
1,3,0.6,1,N,43,236,1,5.0,0.5,0.5,1.26,0.0,0.3,7.56,,,2016-01-01 00:22:50,2016-01-01 00:27:14,129
1,2,1.3,1,N,236,75,2,7.0,0.5,0.5,0.0,0.0,0.3,8.3,,,2016-01-01 00:30:06,2016-01-01 00:36:56,130
1,2,2.1,1,N,236,233,2,8.5,0.5,0.5,0.0,0.0,0.3,9.8,,,2016-01-01 00:48:52,2016-01-01 00:56:33,131
1,1,5.3,1,N,164,260,2,19.5,0.5,0.5,0.0,0.0,0.3,20.8,,,2016-01-01 00:33:29,2016-01-01 00:54:45,132
1,3,1.1,1,N,79,137,1,6.0,0.5,0.5,1.45,0.0,0.3,8.75,,,2016-01-01 00:13:27,2016-01-01 00:19:00,133
1,2,0.5,1,N,234,79,1,4.5,0.5,0.5,1.57,0.0,0.3,7.37,,,2016-01-01 00:27:36,2016-01-01 00:31:54,134
1,2,0.7,1,N,79,4,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,,,2016-01-01 00:34:55,2016-01-01 00:39:31,135
1,1,0.7,1,N,79,79,1,5.5,0.5,0.5,1.88,0.0,0.3,8.68,,,2016-01-01 00:41:07,2016-01-01 00:46:58,136
1,2,3.1,1,N,79,80,1,14.0,0.5,0.5,3.05,0.0,0.3,18.35,,,2016-01-01 00:47:52,2016-01-01 01:02:43,137
1,2,4.5,1,N,87,170,1,17.0,0.5,0.5,3.0,0.0,0.3,21.3,,,2016-01-01 00:09:18,2016-01-01 00:25:27,138
1,2,1.1,1,N,229,140,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,,,2016-01-01 00:37:07,2016-01-01 00:41:44,139
1,3,0.8,1,N,141,262,2,5.5,0.5,0.5,0.0,0.0,0.3,6.8,,,2016-01-01 00:44:48,2016-01-01 00:50:03,140
1,1,2.0,1,N,263,233,1,8.5,0.5,0.5,1.5,0.0,0.3,11.3,,,2016-01-01 00:55:49,2016-01-01 01:04:39,141
1,1,20.1,2,N,132,238,1,52.0,0.0,0.5,10.0,5.54,0.3,68.34,,,2016-01-01 00:23:31,2016-01-01 00:59:30,142
1,2,2.3,1,N,142,151,1,10.0,0.5,0.5,2.25,0.0,0.3,13.55,,,2016-01-01 00:09:22,2016-01-01 00:19:32,143
1,2,4.9,1,N,239,145,1,18.0,0.5,0.5,3.85,0.0,0.3,23.15,,,2016-01-01 00:24:13,2016-01-01 00:43:51,144
1,2,3.8,1,N,145,7,1,15.0,0.5,0.5,4.85,0.0,0.3,21.15,,,2016-01-01 00:46:08,2016-01-01 01:03:54,145
2,5,0.95,1,N,255,256,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,,,2016-01-01 00:20:00,2016-01-01 00:26:42,146
2,5,3.57,1,N,256,107,2,16.0,0.5,0.5,0.0,0.0,0.3,17.3,,,2016-01-01 00:27:28,2016-01-01 00:47:23,147
2,5,3.98,1,N,107,236,2,15.5,0.5,0.5,0.0,0.0,0.3,16.8,,,2016-01-01 00:49:06,2016-01-01 01:08:07,148
1,1,2.0,1,N,163,239,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,,,2016-01-01 00:20:01,2016-01-01 00:30:20,149
1,1,2.5,1,N,143,229,2,12.0,0.5,0.5,0.0,0.0,0.3,13.3,,,2016-01-01 00:36:57,2016-01-01 00:52:53,150
1,4,4.6,1,N,141,249,1,18.5,0.5,0.5,2.5,0.0,0.3,22.3,,,2016-01-01 00:57:07,2016-01-01 01:18:39,151
2,1,0.47,1,N,151,238,1,4.0,0.5,0.5,1.06,0.0,0.3,6.36,,,2016-01-01 00:02:34,2016-01-01 00:05:31,152
2,1,1.67,1,N,238,262,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,,,2016-01-01 00:13:22,2016-01-01 00:23:53,153
2,1,0.68,1,N,262,236,1,5.0,0.5,0.5,1.0,0.0,0.3,7.3,,,2016-01-01 00:26:41,2016-01-01 00:32:02,154
2,1,2.07,1,N,236,143,1,11.0,0.5,0.5,2.46,0.0,0.3,14.76,,,2016-01-01 00:36:49,2016-01-01 00:51:08,155
2,1,2.95,1,N,143,170,1,16.0,0.5,0.5,2.0,0.0,0.3,19.3,,,2016-01-01 00:54:22,2016-01-01 01:17:37,156
1,1,1.9,1,N,164,113,1,11.5,0.5,0.5,3.2,0.0,0.3,16.0,,,2016-01-01 00:28:43,2016-01-01 00:46:00,157
1,1,1.4,1,N,113,148,1,8.5,0.5,0.5,2.9,0.0,0.3,12.7,,,2016-01-01 00:47:10,2016-01-01 00:59:02,158
1,1,2.2,1,N,262,239,1,10.0,0.5,0.5,2.25,0.0,0.3,13.55,,,2016-01-01 00:09:07,2016-01-01 00:20:07,159
1,4,2.7,1,N,239,41,2,10.5,0.5,0.5,0.0,0.0,0.3,11.8,,,2016-01-01 00:21:20,2016-01-01 00:31:59,160
2,1,1.15,1,N,170,90,2,9.0,0.5,0.5,0.0,0.0,0.3,10.3,,,2016-01-01 00:28:15,2016-01-01 00:41:19,161
2,1,0.73,1,N,90,79,1,4.5,0.5,0.5,1.08,0.0,0.3,6.88,,,2016-01-01 00:45:10,2016-01-01 00:48:42,162
2,1,3.69,1,N,79,48,2,18.0,0.5,0.5,0.0,0.0,0.3,19.3,,,2016-01-01 00:52:05,2016-01-01 01:18:33,163
1,1,0.2,1,N,229,229,2,3.0,0.5,0.5,0.0,0.0,0.3,4.3,,,2016-01-01 00:07:04,2016-01-01 00:07:42,164
1,2,0.7,1,N,234,68,2,5.0,0.5,0.5,0.0,0.0,0.3,6.3,,,2016-01-01 00:29:42,2016-01-01 00:33:33,165
1,2,3.8,1,N,68,237,2,16.0,0.5,0.5,0.0,0.0,0.3,17.3,,,2016-01-01 00:34:48,2016-01-01 00:55:56,166
1,1,0.9,1,N,263,140,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,,,2016-01-01 00:59:47,2016-01-01 01:05:22,167
2,1,15.75,1,N,87,265,2,42.0,0.5,0.5,0.0,10.5,0.3,53.8,,,2016-01-01 00:05:01,2016-01-01 00:26:04,168
2,1,2.13,1,N,239,262,2,10.0,0.5,0.5,0.0,0.0,0.3,11.3,,,2016-01-01 00:42:50,2016-01-01 00:53:26,169
2,1,6.12,1,N,263,255,2,21.5,0.5,0.5,0.0,0.0,0.3,22.8,,,2016-01-01 00:56:57,2016-01-01 01:19:27,170
2,6,2.08,1,N,48,234,2,11.5,0.5,0.5,0.0,0.0,0.3,12.8,,,2016-01-01 00:35:23,2016-01-01 00:50:20,171
2,6,1.26,1,N,234,114,2,6.5,0.5,0.5,0.0,0.0,0.3,7.8,,,2016-01-01 00:51:15,2016-01-01 00:58:06,172
2,6,1.01,1,N,114,79,2,7.5,0.5,0.5,0.0,0.0,0.3,8.8,,,2016-01-01 00:59:30,2016-01-01 01:09:16,173
2,1,1.3,1,N,48,143,1,8.0,0.5,0.5,1.0,0.0,0.3,10.3,,,2016-01-01 00:11:41,2016-01-01 00:21:24,174
2,1,1.09,1,N,143,142,1,5.5,0.5,0.5,1.36,0.0,0.3,8.16,,,2016-01-01 00:23:07,2016-01-01 00:27:10,175
2,1,0.4,1,N,48,48,2,6.0,0.5,0.5,0.0,0.0,0.3,7.3,,,2016-01-01 00:31:08,2016-01-01 00:38:10,176
2,2,1.15,1,N,143,239,1,5.5,0.5,0.5,1.36,0.0,0.3,8.16,,,2016-01-01 00:46:14,2016-01-01 00:49:57,177
