FUND,DATE,COMPANY_NAME,TOTAL_SHARES,CHANGES_IN_SHARE,MARKET_CAP,PRICE,PRICE_50D_MOVING_AVERAGE,PRICE_200D_MOVING_AVERAGE
Global Cross Asset Fund,2021-02-28,Johnson & Johnson,604103,7732,195049686.15,914.67,183.03,569.97
Global Short Term Credit Fund,2022-10-02,JPMorgan Chase & Co.,480478,5086,44016617.76,470.35,217.27,706.17
Sustainable Retail Fund,2021-08-17,"Tesla, Inc.",465364,-4490,449190756.54,833.43,760.91,957.64
Equity Diversified Selection Fund,2020-12-08,"Facebook, Inc.",481487,-176,118758254.33,404.23,668.51,447.44
Fixed Maturity 2025 Bond Fund,2018-12-16,Chevron Corp.,803750,-8060,263636802.05,928.02,616.6,170.03
Community Savings Bond Fund,2019-03-14,Nestlé SA,417815,-8735,422295205.79,620.13,832.97,622.7
Community Savings Bond Fund,2022-08-26,Nestlé SA,306918,5870,5948004.25,857.45,424.55,157.73
Fixed Maturity 2027 Bond Fund,2020-05-21,Volkswagen AG,15866,-4607,169975497.18,264.11,314.08,594.45
Global Short Term Credit Fund,2018-01-17,HSBC Holdings Plc,926547,9349,300367893.92,75.09,339.92,732.03
International Fixed Duration Fund,2018-03-31,Ping An Insurance (Group) Co. of China Ltd.,202814,8600,33117378.07,677.61,887.28,513.63
Fixed Maturity 2025 Bond Fund,2021-11-10,Exxon Mobil Corp.,347365,-3617,129750222.24,221.31,217.27,971.22
Global Short Term Credit Fund,2019-02-16,Bank of America Corp.,981139,-887,101421526.14,227.23,494.8,487.85
Global Short Term Credit Fund,2022-05-17,Bank of America Corp.,868583,-2849,419147694.03,69.32,750.34,811.11
Fixed Maturity 2027 Bond Fund,2020-04-30,Toyota Motor Corp.,199287,7370,57612925.98,801.02,651.34,158.72
Impact Credit Strategies Fund,2019-11-28,"First Solar, Inc.",760673,-1714,165783223.06,879.19,496.59,813.91
Sustainable Retail Fund,2017-07-22,"The Hain Celestial Group, Inc.",526622,5151,496717646.95,512.88,938.83,640.62
International Fixed Duration Fund,2018-08-30,Allianz SE,395858,8935,22801331.29,567.48,839.21,568.97
Target Maturity 2029 Bond Fund,2020-11-02,"Amazon.com, Inc.",226336,-1873,77807587.43,730.57,864.6,770.8
International Fixed Duration Fund,2018-05-16,AXA SA,607631,-9026,225816393.07,909.91,817.42,449.33
Subordinated Financials Fund,2022-01-02,"Goldman Sachs Group, Inc.",33387,-3849,164560241.62,359.92,988.04,578.56
Target Maturity 2029 Bond Fund,2017-11-24,"Apple, Inc.",569364,6393,399661196.96,492.64,244.44,105.48
Global Cross Asset Fund,2022-07-31,"Berkshire Hathaway, Inc.",706829,-4648,454214863.81,558.44,65.35,541.06
Fixed Maturity 2027 Bond Fund,2022-12-24,Ford Motor Co.,842106,-1397,7458314.29,30.84,613.61,488.58
International Fixed Duration Fund,2022-01-11,Allianz SE,149857,-7385,497031371.85,651.96,298.11,71.77
Community Savings Bond Fund,2022-04-24,"Walmart, Inc.",377079,-966,86406547.86,144.76,332.99,291.01
Impact Credit Strategies Fund,2019-05-07,"SolarEdge Technologies, Inc.",652552,-9801,359756319.06,422.47,320.81,510.67
Equity Diversified Selection Fund,2020-10-30,Google LLC,472916,8903,61019072.62,108.93,354.19,937.64
Fixed Maturity 2027 Bond Fund,2020-05-06,Volkswagen AG,122572,4852,154239612.07,963.77,587.48,45.84
Sustainable Retail Fund,2020-12-10,"The Hain Celestial Group, Inc.",447545,-9481,281673154.33,564.68,496.56,252.76
Community Savings Bond Fund,2019-07-25,Procter & Gamble Co.,451809,1588,302473844.57,912.75,545.79,427.24
Global Short Term Credit Fund,2021-11-26,HSBC Holdings Plc,532833,4684,112515944.93,797.82,169.27,550.29
Sustainable Retail Fund,2018-03-28,"Beyond Meat, Inc.",13446,-7543,246852995.36,157.3,96.89,51.07
Impact Credit Strategies Fund,2020-12-05,"First Solar, Inc.",944028,-5764,317643533.01,155.31,14.32,579.69
Global Cross Asset Fund,2022-11-01,"Berkshire Hathaway, Inc.",717000,-1244,455872253.29,273.74,14.03,85.89
Subordinated Financials Fund,2020-02-10,Morgan Stanley,499353,7294,265590628.06,674.27,970.67,197.86
Equity Diversified Selection Fund,2019-09-15,"Facebook, Inc.",907398,-9512,118054733.45,845.72,905.02,291.41
Global Short Term Credit Fund,2018-12-04,Bank of America Corp.,725015,-2638,459013284.25,749.25,563.29,764.02
Fixed Maturity 2027 Bond Fund,2018-11-06,Ford Motor Co.,999846,-822,243299339.36,485.72,387.8,560.89
International Fixed Duration Fund,2020-02-28,AXA SA,141427,-3852,171520547.84,771.94,53.03,390.8
International Fixed Duration Fund,2019-10-08,AXA SA,598924,3548,258533647.27,162.96,215.55,126.48
Equity Diversified Selection Fund,2021-04-07,"Netflix, Inc.",826062,-3715,404611087.17,901.44,829.05,189.3
Fixed Maturity 2025 Bond Fund,2017-09-16,Exxon Mobil Corp.,597038,8586,59598328.24,58.07,497.59,259.91
Community Savings Bond Fund,2018-12-04,Nestlé SA,734958,1445,377911489.49,858.13,841.0,436.9
Community Savings Bond Fund,2019-11-17,Nestlé SA,505178,3547,34688592.98,124.91,876.86,983.62
Equity Diversified Selection Fund,2018-10-13,"Netflix, Inc.",907848,8664,222359254.42,578.64,916.26,189.63
Sustainable Retail Fund,2017-10-13,"Tesla, Inc.",870974,7839,248091860.19,198.0,882.34,279.95
Community Savings Bond Fund,2021-04-20,"Walmart, Inc.",844870,-662,494729958.75,513.48,666.17,976.27
International Fixed Duration Fund,2022-03-19,AXA SA,936885,7341,241388515.41,530.23,129.29,931.99
Sustainable Retail Fund,2020-09-05,"The Hain Celestial Group, Inc.",149823,-1252,309154314.33,838.76,507.31,951.04
Fixed Maturity 2027 Bond Fund,2022-09-16,Ford Motor Co.,691433,-985,372383439.63,71.22,307.31,434.73
Global Short Term Credit Fund,2022-11-06,Bank of America Corp.,635110,-7345,209326870.15,826.56,807.2,481.02
Global Cross Asset Fund,2021-07-31,Alibaba Group Holding Ltd.,751169,6403,165854087.46,164.71,523.1,571.22
International Fixed Duration Fund,2017-11-12,Allianz SE,570806,6786,275694249.5,280.14,758.38,621.37
Impact Credit Strategies Fund,2021-09-02,"SolarEdge Technologies, Inc.",864967,-3741,344116622.21,53.25,89.15,686.46
Target Maturity 2029 Bond Fund,2017-11-05,"Amazon.com, Inc.",950833,2185,321792050.68,931.22,587.07,362.16
Fixed Maturity 2025 Bond Fund,2017-12-13,Exxon Mobil Corp.,591434,9249,412365494.06,641.91,153.19,226.04
Equity Diversified Selection Fund,2020-06-04,"Facebook, Inc.",655954,4131,361594445.23,641.17,290.62,668.89
Community Savings Bond Fund,2019-06-07,Procter & Gamble Co.,531364,5947,109837600.19,605.53,237.52,341.95
Global Short Term Credit Fund,2022-06-15,Bank of America Corp.,212102,3261,466418168.06,883.1,395.48,790.79
International Fixed Duration Fund,2020-07-10,Allianz SE,279825,-1877,233708187.04,854.9,604.78,450.7
Sustainable Retail Fund,2017-12-30,"Beyond Meat, Inc.",632277,1963,363072917.29,385.22,348.24,366.92
Fixed Maturity 2027 Bond Fund,2019-06-10,Ford Motor Co.,24319,4658,440361854.7,259.62,84.71,850.11
International Fixed Duration Fund,2020-12-20,AXA SA,280908,3641,261864932.18,485.27,739.73,623.85
Impact Credit Strategies Fund,2021-01-29,"SolarEdge Technologies, Inc.",959190,-3049,107215868.51,949.12,385.88,572.62
Target Maturity 2029 Bond Fund,2022-06-02,"Apple, Inc.",312164,6263,461480688.75,731.69,324.8,202.94
Global Short Term Credit Fund,2019-03-11,JPMorgan Chase & Co.,677531,6633,394121175.77,360.75,26.0,636.99
Sustainable Retail Fund,2018-07-17,"Beyond Meat, Inc.",695315,2088,14896330.9,280.84,970.43,246.45
International Fixed Duration Fund,2022-03-01,AXA SA,293220,1623,121867539.89,431.02,642.66,688.79
Equity Diversified Selection Fund,2021-09-16,Google LLC,513509,-1758,226316401.62,377.8,195.37,485.2
Sustainable Retail Fund,2022-06-30,"Beyond Meat, Inc.",403308,-4693,235868283.83,945.02,492.61,581.78
Sustainable Retail Fund,2022-02-16,"The Hain Celestial Group, Inc.",397293,1566,474056601.52,651.03,969.24,281.14
Target Maturity 2029 Bond Fund,2018-06-28,"Amazon.com, Inc.",912767,7191,48508502.75,556.13,145.16,846.37
Fixed Maturity 2025 Bond Fund,2017-05-15,Chevron Corp.,617706,-1540,463187955.56,856.17,225.81,146.45
Community Savings Bond Fund,2017-09-20,"Walmart, Inc.",289073,591,429779120.86,348.32,24.4,495.19
International Fixed Duration Fund,2021-05-31,AXA SA,568333,-9813,124532644.27,391.54,175.44,44.83
Subordinated Financials Fund,2020-11-12,Citigroup Inc.,43318,-5892,335363388.51,215.83,774.9,848.82
Fixed Maturity 2027 Bond Fund,2020-12-29,Volkswagen AG,48213,3907,22885249.37,671.79,899.41,192.86
Fixed Maturity 2025 Bond Fund,2021-10-10,Chevron Corp.,87479,5944,248829016.89,917.83,103.9,751.59
Impact Credit Strategies Fund,2020-01-22,"First Solar, Inc.",797592,9925,94052990.91,858.03,708.37,353.52
Fixed Maturity 2027 Bond Fund,2022-05-14,Toyota Motor Corp.,537734,-9608,73987019.59,929.23,803.26,402.39
Target Maturity 2029 Bond Fund,2021-11-07,"Amazon.com, Inc.",582423,-9889,426067138.86,257.16,242.3,286.67
Fixed Maturity 2025 Bond Fund,2020-09-22,BP Plc,499600,322,25994288.2,174.47,732.3,923.26
Sustainable Retail Fund,2021-10-06,"Beyond Meat, Inc.",953720,788,212648802.59,66.63,764.93,915.35
Fixed Maturity 2025 Bond Fund,2018-04-26,BP Plc,162206,-9600,374473957.31,858.13,254.23,864.87
Global Short Term Credit Fund,2018-05-17,JPMorgan Chase & Co.,237131,6284,31009652.42,96.18,876.58,448.39
Fixed Maturity 2025 Bond Fund,2020-11-16,Exxon Mobil Corp.,680461,1857,221055254.06,41.37,738.58,108.74
Equity Diversified Selection Fund,2017-05-19,"Netflix, Inc.",775616,-7733,269696616.72,949.89,355.0,636.2
Target Maturity 2029 Bond Fund,2022-02-18,"Apple, Inc.",718580,2632,486311711.23,558.9,723.52,21.62
Subordinated Financials Fund,2019-05-15,Citigroup Inc.,415139,-9113,279075457.07,341.36,97.02,504.25
International Fixed Duration Fund,2022-08-11,Allianz SE,534248,5758,411878606.84,756.89,568.8,245.77
Target Maturity 2029 Bond Fund,2020-10-25,"Apple, Inc.",890436,-6209,60354673.48,682.44,169.28,291.39
Impact Credit Strategies Fund,2021-11-07,"First Solar, Inc.",878031,2908,340574638.98,316.54,489.33,425.47
Sustainable Retail Fund,2017-08-25,"The Hain Celestial Group, Inc.",68514,-4545,448795131.03,863.77,621.15,898.41
Equity Diversified Selection Fund,2017-09-03,"Facebook, Inc.",951256,1423,119167711.75,179.88,881.53,866.3
Equity Diversified Selection Fund,2019-02-06,"Facebook, Inc.",57854,-9892,35748203.92,419.36,80.35,235.51
Global Cross Asset Fund,2017-01-01,Alibaba Group Holding Ltd.,661987,729,55788646.29,717.9,57.87,265.37
Impact Credit Strategies Fund,2018-03-15,Vestas Wind Systems A/S,367290,4834,47600658.99,426.16,328.19,814.89
Global Cross Asset Fund,2017-11-10,Johnson & Johnson,118832,-4941,459639174.24,676.02,831.31,47.65
Fixed Maturity 2027 Bond Fund,2021-04-22,Toyota Motor Corp.,458721,-7916,131645959.83,401.95,740.43,58.55
Global Short Term Credit Fund,2021-05-13,HSBC Holdings Plc,626868,-4547,192223285.24,332.63,412.87,792.9
Global Cross Asset Fund,2018-09-12,"Berkshire Hathaway, Inc.",952576,-8108,248606153.24,984.31,962.71,908.51
Community Savings Bond Fund,2022-04-17,Nestlé SA,990176,2509,50864421.23,587.1,760.13,260.24
International Fixed Duration Fund,2019-06-22,AXA SA,420872,9547,168699322.94,528.13,430.0,404.91
Fixed Maturity 2027 Bond Fund,2020-12-05,Volkswagen AG,220661,72,408497563.75,471.17,58.23,261.93
Global Cross Asset Fund,2018-04-01,Johnson & Johnson,40015,-9368,226910931.16,151.85,745.22,246.04
Sustainable Retail Fund,2017-04-05,"Tesla, Inc.",740581,-2301,208465821.78,964.09,400.15,512.4
Global Short Term Credit Fund,2020-05-30,HSBC Holdings Plc,635680,-1577,105095228.31,333.98,949.72,231.92
Community Savings Bond Fund,2020-11-20,Procter & Gamble Co.,143213,9725,478586980.55,470.93,94.17,701.73
Fixed Maturity 2027 Bond Fund,2019-06-28,Volkswagen AG,125524,5156,34056537.33,711.01,958.39,91.76
Community Savings Bond Fund,2019-03-31,Procter & Gamble Co.,382254,8023,106977532.97,865.02,308.32,355.99
Target Maturity 2029 Bond Fund,2017-04-20,Microsoft Corp.,738069,-9481,301284424.47,575.02,817.73,546.28
Fixed Maturity 2025 Bond Fund,2017-10-12,BP Plc,284751,2716,43003672.25,202.82,391.2,621.45
Fixed Maturity 2027 Bond Fund,2017-03-05,Toyota Motor Corp.,759207,-6818,170133509.07,875.67,164.97,565.7
Fixed Maturity 2025 Bond Fund,2018-05-04,Chevron Corp.,221240,6662,372110386.75,612.12,774.46,506.29
Fixed Maturity 2025 Bond Fund,2019-12-27,Exxon Mobil Corp.,450560,-179,448294497.86,521.21,290.39,398.53
Fixed Maturity 2025 Bond Fund,2022-07-11,Chevron Corp.,588837,-4092,79499675.69,520.53,966.05,116.56
Fixed Maturity 2025 Bond Fund,2020-11-26,Exxon Mobil Corp.,116761,2504,89523832.02,165.65,233.78,798.13
Impact Credit Strategies Fund,2018-01-02,Vestas Wind Systems A/S,119743,-4180,199022184.33,154.37,610.85,855.61
Fixed Maturity 2025 Bond Fund,2018-12-03,BP Plc,396363,-9379,224656481.54,606.79,773.9,859.18
Subordinated Financials Fund,2020-01-26,Morgan Stanley,290378,6579,498552422.54,66.59,56.42,525.48
Global Short Term Credit Fund,2018-02-07,HSBC Holdings Plc,379373,6330,10711703.08,401.0,593.91,165.19
Global Cross Asset Fund,2017-02-11,"Berkshire Hathaway, Inc.",842561,-5530,406331538.93,331.64,432.84,477.01
Global Short Term Credit Fund,2019-06-29,Bank of America Corp.,345649,9070,440925303.01,352.35,902.45,735.89
Fixed Maturity 2025 Bond Fund,2022-12-09,Exxon Mobil Corp.,105405,9012,298614548.96,605.28,34.67,857.88
Fixed Maturity 2027 Bond Fund,2020-10-21,Volkswagen AG,310780,-4416,173917507.02,715.82,844.93,939.94
Impact Credit Strategies Fund,2020-12-03,"First Solar, Inc.",555183,-889,95557906.69,692.16,214.47,392.24
Global Cross Asset Fund,2022-11-29,Alibaba Group Holding Ltd.,305086,-511,476295446.88,222.87,706.91,661.76
Fixed Maturity 2027 Bond Fund,2018-10-24,Volkswagen AG,499206,-3065,258599066.68,592.04,272.27,945.41
Community Savings Bond Fund,2022-09-23,Procter & Gamble Co.,169746,2707,167215075.9,653.62,797.29,778.82
Subordinated Financials Fund,2018-02-26,Morgan Stanley,469937,8609,266145492.87,690.05,161.58,421.56
Impact Credit Strategies Fund,2017-09-10,"SolarEdge Technologies, Inc.",900624,2200,127475474.9,700.42,711.59,94.57
Global Short Term Credit Fund,2017-09-01,Bank of America Corp.,690217,-6363,154055212.55,851.67,190.03,475.4
Sustainable Retail Fund,2018-07-22,"Beyond Meat, Inc.",827141,-9985,94309803.33,926.16,869.0,484.61
Equity Diversified Selection Fund,2021-02-15,Google LLC,43575,-9130,494103952.79,908.69,631.51,871.78
Sustainable Retail Fund,2017-01-03,"Tesla, Inc.",187123,-2950,466864260.62,784.81,716.98,316.74
Target Maturity 2029 Bond Fund,2022-12-06,Microsoft Corp.,763675,-825,185841716.49,573.75,619.64,926.78
Equity Diversified Selection Fund,2019-10-04,"Facebook, Inc.",758658,-1848,25436704.81,18.57,392.2,846.75
Fixed Maturity 2025 Bond Fund,2020-05-24,BP Plc,773552,-8747,407701651.88,156.39,653.02,424.06
Global Cross Asset Fund,2020-08-28,Johnson & Johnson,579169,-9458,14791370.09,968.1,653.82,424.64
Global Short Term Credit Fund,2022-11-07,Bank of America Corp.,600852,4628,167595222.25,750.18,389.03,317.4
Community Savings Bond Fund,2019-09-28,Procter & Gamble Co.,356107,6599,295854954.51,828.97,825.19,505.66
Impact Credit Strategies Fund,2019-03-18,"SolarEdge Technologies, Inc.",250042,2554,158278521.87,24.06,921.55,881.0
Fixed Maturity 2027 Bond Fund,2019-09-25,Ford Motor Co.,690132,-6281,160005740.39,803.72,534.36,367.63
Community Savings Bond Fund,2018-06-14,Procter & Gamble Co.,813968,-2887,14536033.6,113.7,305.59,30.43
Target Maturity 2029 Bond Fund,2022-06-02,"Apple, Inc.",70597,-6281,327905669.75,343.83,158.2,944.98
Target Maturity 2029 Bond Fund,2017-10-04,Microsoft Corp.,596533,-4083,339620765.21,158.12,904.83,347.09
Community Savings Bond Fund,2022-05-12,Procter & Gamble Co.,888042,-6902,160295068.31,766.91,450.88,201.43
Global Short Term Credit Fund,2017-07-23,HSBC Holdings Plc,464172,5391,262038523.21,553.91,109.59,372.26
Subordinated Financials Fund,2017-03-14,Morgan Stanley,670612,-5235,76779732.51,681.66,989.44,881.81
Fixed Maturity 2027 Bond Fund,2021-06-19,Volkswagen AG,923883,2435,268188890.03,535.84,84.26,253.58
International Fixed Duration Fund,2022-09-13,Allianz SE,737453,1581,251313635.17,282.74,640.97,75.91
Fixed Maturity 2025 Bond Fund,2021-11-08,Exxon Mobil Corp.,591603,-4673,438885755.64,786.46,775.43,435.99
Fixed Maturity 2027 Bond Fund,2020-07-06,Ford Motor Co.,140022,-965,99116291.92,521.79,859.47,149.41
Impact Credit Strategies Fund,2022-05-27,"First Solar, Inc.",611179,9685,382195705.79,289.99,868.94,769.38
Global Cross Asset Fund,2017-06-28,Johnson & Johnson,144533,-7924,205223566.68,827.95,440.76,42.51
Impact Credit Strategies Fund,2017-09-30,"First Solar, Inc.",776340,3421,131063288.51,152.74,439.18,994.25
International Fixed Duration Fund,2020-10-26,Allianz SE,422132,-1216,400045464.57,253.37,315.7,768.46
Equity Diversified Selection Fund,2020-12-16,"Facebook, Inc.",723351,4881,481167394.42,327.06,988.77,475.14
Fixed Maturity 2027 Bond Fund,2018-02-25,Volkswagen AG,840399,6931,414729850.66,671.5,375.4,279.01
Equity Diversified Selection Fund,2018-07-21,"Facebook, Inc.",355321,7528,196054548.05,38.04,345.82,543.65
Impact Credit Strategies Fund,2021-11-13,"First Solar, Inc.",151305,-2282,285880524.43,979.56,779.38,929.18
Global Cross Asset Fund,2021-10-06,"Berkshire Hathaway, Inc.",129539,-4441,16071966.13,119.7,457.98,610.05
Fixed Maturity 2025 Bond Fund,2020-05-16,BP Plc,563902,-9234,285688194.45,988.39,599.15,154.5
Impact Credit Strategies Fund,2019-04-25,"First Solar, Inc.",475142,4564,90022080.94,100.49,349.78,560.07
Target Maturity 2029 Bond Fund,2018-01-17,"Apple, Inc.",205669,-5320,429230959.49,917.08,952.09,419.14
Target Maturity 2029 Bond Fund,2021-02-10,Microsoft Corp.,567776,2035,447336837.83,261.87,79.92,877.82
Fixed Maturity 2025 Bond Fund,2017-08-30,BP Plc,231378,-1746,52348671.77,979.98,43.32,13.0
Global Cross Asset Fund,2021-09-25,"Berkshire Hathaway, Inc.",541777,-5176,395848481.22,120.34,11.61,265.08
Impact Credit Strategies Fund,2017-07-10,"SolarEdge Technologies, Inc.",365356,-9137,258711855.9,210.41,805.35,342.82
Sustainable Retail Fund,2022-05-02,"Beyond Meat, Inc.",716180,-8761,266995073.37,298.23,58.26,768.34
Target Maturity 2029 Bond Fund,2019-10-27,Microsoft Corp.,377369,-9023,286195173.84,682.43,925.28,702.48
International Fixed Duration Fund,2020-09-22,Ping An Insurance (Group) Co. of China Ltd.,501978,-530,459070882.92,750.41,216.55,497.99
Impact Credit Strategies Fund,2021-01-13,"SolarEdge Technologies, Inc.",380335,7684,222388036.19,171.7,991.75,542.47
Community Savings Bond Fund,2017-08-31,Nestlé SA,330087,-4437,461042634.82,681.07,441.53,131.76
Global Short Term Credit Fund,2020-09-22,JPMorgan Chase & Co.,670637,-6005,322528274.17,96.83,677.34,263.42
Sustainable Retail Fund,2022-04-11,"The Hain Celestial Group, Inc.",771134,-9629,252630947.79,302.91,424.31,980.51
Sustainable Retail Fund,2019-08-23,"The Hain Celestial Group, Inc.",992181,-2082,104071164.9,885.26,540.16,604.52
Target Maturity 2029 Bond Fund,2021-08-28,"Amazon.com, Inc.",556823,-986,29570059.03,72.98,57.62,833.53
Global Short Term Credit Fund,2018-05-10,HSBC Holdings Plc,548167,-4448,450382725.59,574.96,914.84,369.75
International Fixed Duration Fund,2020-10-07,Allianz SE,638047,-8517,472904750.19,258.45,987.2,978.9
Subordinated Financials Fund,2020-04-11,Morgan Stanley,101587,-2577,229004925.2,772.77,774.77,224.02
Impact Credit Strategies Fund,2022-01-30,"SolarEdge Technologies, Inc.",193174,9119,259876330.29,100.7,203.84,794.76
International Fixed Duration Fund,2020-04-23,Ping An Insurance (Group) Co. of China Ltd.,281320,5974,362954851.15,876.38,355.09,560.89
Target Maturity 2029 Bond Fund,2018-03-10,"Amazon.com, Inc.",970930,-5438,373048716.94,358.75,258.18,636.92
Impact Credit Strategies Fund,2017-06-24,Vestas Wind Systems A/S,648997,-8807,414911993.46,863.94,647.58,904.9
Global Short Term Credit Fund,2017-02-10,Bank of America Corp.,397964,-6234,303696251.79,791.07,960.07,803.37
Target Maturity 2029 Bond Fund,2021-12-15,"Amazon.com, Inc.",23843,-9904,410499421.1,384.63,829.27,658.76
Sustainable Retail Fund,2020-01-29,"Tesla, Inc.",845723,-1095,356359589.0,820.42,704.3,379.88
Global Short Term Credit Fund,2017-12-18,HSBC Holdings Plc,741011,-8803,409867641.89,541.29,24.51,113.21
Impact Credit Strategies Fund,2018-07-10,"First Solar, Inc.",118506,-4117,155358856.92,216.44,508.76,363.26
International Fixed Duration Fund,2021-04-29,AXA SA,224812,9177,156738822.16,962.81,217.16,926.37
Community Savings Bond Fund,2017-05-02,Nestlé SA,586662,-3490,131876308.53,184.76,825.03,532.88
