FUND,DATE,COMPANY_NAME,TOTAL_SHARES,CHANGES_IN_SHARE,MARKET_CAP,PRICE,PRICE_50D_MOVING_AVERAGE,PRICE_200D_MOVING_AVERAGE
European High Yield Bond Fund,2019-10-11,Petróleo Brasileiro SA,476722,-3104,538336436,927,24,402
European High Yield Bond Fund,2021-03-18,Gazprom PJSC,142286,2099,703588535,977,364,121
Global Short Term Credit Fund,2018-07-30,Mercedes-Benz Group AG,603330,3488,797042057,463,337,248
European High Yield Bond Fund,2021-08-03,Industrial & Commercial Bank of China Ltd.,355396,4940,179223730,197,496,694
International Fixed Duration Fund,2021-09-07,Mercedes-Benz Group AG,900440,-2764,478548408,544,990,436
Fixed Maturity 2027 Bond Fund,2017-02-15,Reliance Industries Ltd.,851283,2349,202145079,222,496,579
Fixed Maturity 2025 Bond Fund,2017-11-25,Saudi Arabian Oil Co.,430483,-1351,52428124,25,14,939
International Fixed Duration Fund,2020-08-10,TotalEnergies SE,685468,1831,586282029,332,132,594
Impact Credit Strategies Fund,2022-06-20,Industrial & Commercial Bank of China Ltd.,252241,4202,310410645,444,375,279
Equity Diversified Selection Fund,2021-05-13,Mercedes-Benz Group AG,259818,4974,638802088,244,886,862
Global Cross Asset Fund,2019-02-19,Sony Group Corp.,547187,4862,787540971,495,789,307
Target Maturity 2029 Bond Fund,2019-03-22,Bayerische Motoren Werke AG,89814,147,35073729,282,128,280
European High Yield Bond Fund,2020-06-04,TotalEnergies SE,158500,4799,338077242,117,266,947
Target Maturity 2029 Bond Fund,2018-10-07,Saudi Arabian Oil Co.,259005,-3635,531564950,86,912,743
International Fixed Duration Fund,2022-01-28,TotalEnergies SE,441144,-3438,617355766,332,218,655
Equity Diversified Selection Fund,2019-07-31,Tencent Holdings Ltd.,636094,-4185,507862279,102,895,225
Community Savings Bond Fund,2019-03-01,Mercedes-Benz Group AG,925542,3745,686548850,739,21,184
Impact Credit Strategies Fund,2019-10-01,China Mobile Ltd.,921491,2469,406677801,209,995,229
International Fixed Duration Fund,2021-05-12,China Mobile Ltd.,362744,134,970925902,781,397,798
Equity Diversified Selection Fund,2018-06-22,Reliance Industries Ltd.,558350,1492,519699565,290,64,693
Global Short Term Credit Fund,2021-03-10,Deutsche Telekom AG,746372,-4456,674722346,546,597,231
Impact Credit Strategies Fund,2017-12-06,Reliance Industries Ltd.,839424,-1525,88881299,665,177,522
Community Savings Bond Fund,2018-12-06,TotalEnergies SE,624420,-1516,639856162,960,283,644
Fixed Maturity 2025 Bond Fund,2020-04-22,Tencent Holdings Ltd.,332498,3178,317762260,280,628,440
European High Yield Bond Fund,2022-04-03,Comcast Corp.,555099,427,105538189,786,513,416
Community Savings Bond Fund,2018-07-12,Bayerische Motoren Werke AG,936364,-3640,535528452,380,602,443
International Fixed Duration Fund,2019-01-02,"Verizon Communications, Inc.",356761,2933,518111368,216,62,124
Equity Diversified Selection Fund,2018-04-17,TotalEnergies SE,364545,3526,432183783,664,430,488
Global Cross Asset Fund,2018-03-21,China Mobile Ltd.,154010,2758,298138183,854,239,507
Sustainable Retail Fund,2022-04-16,Reliance Industries Ltd.,479490,2281,506942816,21,155,842
International Fixed Duration Fund,2022-03-01,"UnitedHealth Group, Inc.",879349,2332,982117155,38,663,517
Target Maturity 2029 Bond Fund,2020-11-12,Sony Group Corp.,947586,788,260338118,378,205,824
Global Short Term Credit Fund,2022-08-28,Deutsche Telekom AG,452239,1369,167085405,23,825,583
Community Savings Bond Fund,2018-03-09,Comcast Corp.,287586,-1189,145619886,290,728,915
International Fixed Duration Fund,2017-08-21,Industrial & Commercial Bank of China Ltd.,459301,-1785,754500898,928,704,883
Impact Credit Strategies Fund,2017-09-12,Gazprom PJSC,773968,-4241,199628403,920,870,384
European High Yield Bond Fund,2020-08-27,Tencent Holdings Ltd.,156998,-4186,584314243,22,429,756
European High Yield Bond Fund,2020-12-24,Mercedes-Benz Group AG,605668,4227,317763304,334,534,729
Fixed Maturity 2027 Bond Fund,2021-09-05,Bayerische Motoren Werke AG,908577,-431,770649082,18,535,533
Fixed Maturity 2025 Bond Fund,2021-02-22,Comcast Corp.,731953,-1546,641730724,968,977,934
European High Yield Bond Fund,2019-01-30,China Mobile Ltd.,399864,-925,165399262,228,836,991
Impact Credit Strategies Fund,2020-09-16,"Samsung Electronics Co., Ltd.",262829,4796,642398916,558,258,942
Target Maturity 2029 Bond Fund,2021-05-26,Intel Corp.,43578,864,670726151,498,942,455
International Fixed Duration Fund,2022-02-15,Saudi Arabian Oil Co.,277602,-1195,48555841,724,679,255
Sustainable Retail Fund,2020-09-06,Shell Plc,688860,4069,713600506,995,622,138
Fixed Maturity 2025 Bond Fund,2022-04-22,Petróleo Brasileiro SA,318922,-127,230400805,797,254,365
Global Short Term Credit Fund,2021-03-29,"UnitedHealth Group, Inc.",506955,1752,632884263,787,336,191
Global Short Term Credit Fund,2020-03-18,Industrial & Commercial Bank of China Ltd.,801170,4653,289239572,775,340,416
Fixed Maturity 2025 Bond Fund,2020-01-09,Pfizer Inc.,205867,-2932,772856320,714,581,12
Sustainable Retail Fund,2021-02-07,"Taiwan Semiconductor Manufacturing Co., Ltd.",376650,-1886,190854011,35,369,851
Target Maturity 2029 Bond Fund,2019-08-21,"AT&T, Inc.",823711,-2028,188663816,80,160,304
Sustainable Retail Fund,2017-07-30,Gazprom PJSC,967772,2960,275948132,240,709,405
Fixed Maturity 2027 Bond Fund,2019-05-23,"PetroChina Co., Ltd.",160545,1359,426455635,232,936,17
Global Short Term Credit Fund,2019-08-10,Comcast Corp.,222676,3814,341833492,713,917,60
Impact Credit Strategies Fund,2022-04-02,Mercedes-Benz Group AG,970409,680,865720026,69,996,552
Target Maturity 2029 Bond Fund,2022-02-16,China Mobile Ltd.,139544,-4993,115846280,975,742,613
Global Short Term Credit Fund,2020-11-26,Intel Corp.,300844,-1593,227963499,180,229,403
Equity Diversified Selection Fund,2021-10-25,Saudi Arabian Oil Co.,893498,4141,483723554,759,563,105
Global Cross Asset Fund,2018-02-20,Comcast Corp.,895404,4240,555305722,507,199,799
International Fixed Duration Fund,2021-05-05,"UnitedHealth Group, Inc.",771107,2991,215722867,839,718,385
Target Maturity 2029 Bond Fund,2022-07-24,"PetroChina Co., Ltd.",476840,3895,74616032,828,941,282
International Fixed Duration Fund,2021-04-01,Shell Plc,573337,-3860,107065874,150,316,546
Global Cross Asset Fund,2020-11-22,"Samsung Electronics Co., Ltd.",376120,3237,919030823,457,11,946
Impact Credit Strategies Fund,2017-12-12,"AbbVie, Inc.",213515,-4292,199525720,944,694,23
Fixed Maturity 2027 Bond Fund,2020-04-01,Saudi Arabian Oil Co.,992256,669,321930661,516,938,937
Sustainable Retail Fund,2021-11-21,"UnitedHealth Group, Inc.",200408,-4443,53978630,612,417,229
Impact Credit Strategies Fund,2021-05-02,"PetroChina Co., Ltd.",506979,-4308,119150461,794,322,265
Target Maturity 2029 Bond Fund,2022-12-14,Tencent Holdings Ltd.,580220,-1414,654121955,734,108,735
Community Savings Bond Fund,2022-10-16,"Samsung Electronics Co., Ltd.",148014,-4047,52478602,340,619,657
Fixed Maturity 2027 Bond Fund,2022-08-01,Comcast Corp.,592484,-3732,197460910,269,685,271
Target Maturity 2029 Bond Fund,2020-06-18,Intel Corp.,765632,4102,301823181,33,539,703
Impact Credit Strategies Fund,2021-12-11,"Samsung Electronics Co., Ltd.",661658,-4364,188704670,33,966,530
Target Maturity 2029 Bond Fund,2018-08-28,Sony Group Corp.,549567,3548,204513496,76,337,27
European High Yield Bond Fund,2018-12-14,Intel Corp.,751428,4720,16906560,795,910,453
International Fixed Duration Fund,2018-07-18,"Taiwan Semiconductor Manufacturing Co., Ltd.",174181,4451,313846599,86,941,359
Fixed Maturity 2025 Bond Fund,2020-09-21,Deutsche Telekom AG,229667,-4559,600027293,701,783,767
Global Cross Asset Fund,2021-09-11,Reliance Industries Ltd.,604553,213,607831269,475,678,883
Target Maturity 2029 Bond Fund,2019-06-04,Saudi Arabian Oil Co.,824701,-2080,360517490,337,350,310
Target Maturity 2029 Bond Fund,2019-03-16,Intel Corp.,233805,4930,796088263,929,852,573
European High Yield Bond Fund,2018-08-29,Intel Corp.,790972,-266,412273298,944,857,651
International Fixed Duration Fund,2018-05-12,"UnitedHealth Group, Inc.",538268,-3158,442656238,702,548,74
European High Yield Bond Fund,2019-05-27,Shell Plc,26259,-2145,768435028,44,816,739
Impact Credit Strategies Fund,2018-09-25,"UnitedHealth Group, Inc.",146587,-2412,843106843,977,85,268
European High Yield Bond Fund,2019-11-03,"AbbVie, Inc.",506883,954,887592352,506,843,212
Global Cross Asset Fund,2017-08-02,"Verizon Communications, Inc.",618630,4100,292582754,421,55,161
Impact Credit Strategies Fund,2017-10-19,Industrial & Commercial Bank of China Ltd.,48279,2855,713025001,570,465,971
Global Short Term Credit Fund,2017-04-25,Bayerische Motoren Werke AG,22958,379,164174335,789,291,618
Fixed Maturity 2025 Bond Fund,2021-02-08,Comcast Corp.,892928,4181,564236888,387,720,977
International Fixed Duration Fund,2021-02-02,"AT&T, Inc.",367286,-743,574530478,697,379,785
European High Yield Bond Fund,2019-02-15,Pfizer Inc.,302492,-2288,997385032,343,556,780
Fixed Maturity 2025 Bond Fund,2018-04-06,Saudi Arabian Oil Co.,504367,27,49690863,361,138,480
Community Savings Bond Fund,2017-11-15,"Samsung Electronics Co., Ltd.",601589,3150,362285949,180,606,652
Sustainable Retail Fund,2017-07-06,Shell Plc,494026,4262,211744544,219,303,669
Target Maturity 2029 Bond Fund,2022-08-27,"Verizon Communications, Inc.",879589,1024,324205077,78,138,775
Community Savings Bond Fund,2017-06-30,"Taiwan Semiconductor Manufacturing Co., Ltd.",802153,2079,409855928,128,486,626
Community Savings Bond Fund,2022-02-08,Petróleo Brasileiro SA,900628,3249,606454595,115,297,927
Target Maturity 2029 Bond Fund,2020-01-01,Saudi Arabian Oil Co.,585077,-2315,551802896,844,909,283
Global Cross Asset Fund,2017-05-14,Gazprom PJSC,621035,790,773851465,737,746,558
Global Cross Asset Fund,2018-10-22,Intel Corp.,330178,3512,980016723,673,229,658
Fixed Maturity 2025 Bond Fund,2020-03-20,Pfizer Inc.,175475,1208,931275149,258,961,643
Target Maturity 2029 Bond Fund,2020-08-05,Comcast Corp.,532725,1585,286407388,772,418,356
European High Yield Bond Fund,2017-11-27,"Taiwan Semiconductor Manufacturing Co., Ltd.",980333,3790,310093402,599,460,948
Impact Credit Strategies Fund,2018-01-17,Saudi Arabian Oil Co.,193811,-4231,631124564,551,272,682
International Fixed Duration Fund,2021-11-04,"PetroChina Co., Ltd.",206041,1765,796870170,695,975,786
Global Short Term Credit Fund,2022-01-04,Industrial & Commercial Bank of China Ltd.,17124,-1606,793910196,624,149,764
Global Cross Asset Fund,2017-12-14,Petróleo Brasileiro SA,730574,-2614,537181597,449,565,718
European High Yield Bond Fund,2019-12-01,Mercedes-Benz Group AG,844995,-480,139017660,429,947,149
Sustainable Retail Fund,2020-03-27,"Taiwan Semiconductor Manufacturing Co., Ltd.",871817,-4926,31773660,500,623,961
European High Yield Bond Fund,2020-02-04,TotalEnergies SE,999121,-1054,642323882,449,628,624
Impact Credit Strategies Fund,2019-12-13,"Verizon Communications, Inc.",697657,-3634,834506951,614,72,925
European High Yield Bond Fund,2022-01-08,"Taiwan Semiconductor Manufacturing Co., Ltd.",591350,2063,966977126,860,637,51
Impact Credit Strategies Fund,2019-10-01,Pfizer Inc.,913097,1693,949822780,349,788,779
Equity Diversified Selection Fund,2019-01-27,"Taiwan Semiconductor Manufacturing Co., Ltd.",75203,4422,598155845,549,534,79
International Fixed Duration Fund,2020-12-15,"AT&T, Inc.",351803,1377,948387308,968,557,857
European High Yield Bond Fund,2018-08-23,Gazprom PJSC,356940,1947,520053409,564,135,614
Global Short Term Credit Fund,2021-04-20,China Mobile Ltd.,370681,-3704,869133805,847,634,807
Fixed Maturity 2025 Bond Fund,2018-01-12,Mercedes-Benz Group AG,299190,1112,472186039,357,757,177
Community Savings Bond Fund,2019-03-23,Comcast Corp.,201857,1463,463661136,499,88,70
Global Short Term Credit Fund,2020-02-08,"Verizon Communications, Inc.",307965,-4032,135862362,807,324,555
Impact Credit Strategies Fund,2020-02-04,"PetroChina Co., Ltd.",568821,3015,121650459,418,473,380
Fixed Maturity 2027 Bond Fund,2020-08-23,Petróleo Brasileiro SA,581369,-2027,649985562,16,382,794
Global Short Term Credit Fund,2017-11-16,Industrial & Commercial Bank of China Ltd.,28871,-4113,62436187,85,855,364
Global Cross Asset Fund,2018-11-05,"UnitedHealth Group, Inc.",824233,1392,761242688,305,633,728
Global Short Term Credit Fund,2020-01-29,Gazprom PJSC,623429,-950,224611858,424,602,563
Global Short Term Credit Fund,2022-06-17,Sony Group Corp.,939453,4847,992542387,28,779,556
Fixed Maturity 2025 Bond Fund,2022-04-01,Comcast Corp.,479407,914,368476752,820,65,318
Global Cross Asset Fund,2022-02-09,"AT&T, Inc.",464597,984,779444124,955,667,783
Fixed Maturity 2027 Bond Fund,2022-06-01,Petróleo Brasileiro SA,718859,-2439,391925348,925,362,402
Fixed Maturity 2025 Bond Fund,2017-01-03,Gazprom PJSC,795810,-523,744830050,92,232,282
Equity Diversified Selection Fund,2018-07-01,Shell Plc,462381,1695,913610724,923,734,972
Sustainable Retail Fund,2019-07-13,"UnitedHealth Group, Inc.",230423,2208,55712949,667,334,538
European High Yield Bond Fund,2017-05-29,China Mobile Ltd.,626343,-549,899592621,660,148,884
Sustainable Retail Fund,2017-04-03,TotalEnergies SE,881602,1949,189880706,335,291,95
European High Yield Bond Fund,2022-06-08,Shell Plc,84800,3188,966974277,495,314,370
Target Maturity 2029 Bond Fund,2022-06-30,Bayerische Motoren Werke AG,454473,-1325,139039566,70,434,420
Community Savings Bond Fund,2020-10-07,"AT&T, Inc.",341280,-318,428857946,138,463,225
Fixed Maturity 2025 Bond Fund,2022-05-30,Mercedes-Benz Group AG,121933,-1359,917080073,922,639,678
Global Short Term Credit Fund,2021-01-06,"PetroChina Co., Ltd.",950827,-3341,880110252,101,466,985
Impact Credit Strategies Fund,2021-06-25,"Verizon Communications, Inc.",147083,1384,993471957,578,360,67
Community Savings Bond Fund,2019-01-19,"Verizon Communications, Inc.",212709,-4918,868171512,382,740,579
Impact Credit Strategies Fund,2021-06-09,"AbbVie, Inc.",309330,4630,993741696,182,16,125
Global Cross Asset Fund,2017-06-10,Shell Plc,701898,2001,469801148,416,732,50
Global Short Term Credit Fund,2017-07-06,"AT&T, Inc.",225228,-4347,991127993,605,392,878
Target Maturity 2029 Bond Fund,2019-07-17,"PetroChina Co., Ltd.",491898,2128,610690976,354,731,388
Impact Credit Strategies Fund,2022-03-08,"AbbVie, Inc.",186134,1244,712336412,173,320,997
Fixed Maturity 2025 Bond Fund,2022-03-27,TotalEnergies SE,352407,3694,921193741,762,425,699
European High Yield Bond Fund,2018-12-27,Reliance Industries Ltd.,893657,2559,420306702,429,757,368
Fixed Maturity 2027 Bond Fund,2018-11-19,"AbbVie, Inc.",314942,-189,890717429,80,718,668
International Fixed Duration Fund,2017-05-05,Gazprom PJSC,297336,-1292,364798530,696,734,192
Global Cross Asset Fund,2018-08-10,Industrial & Commercial Bank of China Ltd.,144915,1413,429147905,690,929,94
International Fixed Duration Fund,2017-04-08,TotalEnergies SE,684844,86,731177982,361,370,578
Community Savings Bond Fund,2020-03-22,Intel Corp.,20905,264,338006166,274,947,256
International Fixed Duration Fund,2021-10-25,"AbbVie, Inc.",458237,-2501,79116725,291,504,759
Sustainable Retail Fund,2022-02-22,Reliance Industries Ltd.,945127,488,590993275,828,433,409
Global Short Term Credit Fund,2017-01-09,Comcast Corp.,299396,1924,117227294,762,303,412
Target Maturity 2029 Bond Fund,2017-03-11,Mercedes-Benz Group AG,337177,-2467,888477247,243,161,497
Community Savings Bond Fund,2018-10-18,Gazprom PJSC,437678,1796,136509169,764,626,192
International Fixed Duration Fund,2020-08-29,Intel Corp.,976567,-1723,332596877,388,131,104
International Fixed Duration Fund,2019-02-23,"AbbVie, Inc.",254744,-986,197955170,845,748,577
Fixed Maturity 2027 Bond Fund,2022-01-23,"AbbVie, Inc.",160773,-4246,750227326,550,708,570
Sustainable Retail Fund,2020-04-14,"UnitedHealth Group, Inc.",685365,-2827,532949226,685,829,921
Global Cross Asset Fund,2018-10-11,Bayerische Motoren Werke AG,40235,-3182,14294595,19,280,960
Fixed Maturity 2027 Bond Fund,2017-12-28,"AT&T, Inc.",652856,1168,153192214,855,305,891
Fixed Maturity 2025 Bond Fund,2017-04-21,Reliance Industries Ltd.,919746,-4633,576858847,11,121,398
Fixed Maturity 2025 Bond Fund,2022-03-04,Reliance Industries Ltd.,775188,-3023,487512571,658,254,372
Fixed Maturity 2025 Bond Fund,2019-01-27,"AT&T, Inc.",34723,-2519,399026877,448,690,306
Global Cross Asset Fund,2017-11-08,"AbbVie, Inc.",217501,-2431,185712976,780,183,359
International Fixed Duration Fund,2020-10-30,Sony Group Corp.,425093,-4818,297547066,529,868,129
Sustainable Retail Fund,2017-12-25,Gazprom PJSC,159809,2963,256260210,708,801,511
Sustainable Retail Fund,2020-09-20,Deutsche Telekom AG,476543,-2134,815805042,851,459,608
Global Short Term Credit Fund,2020-09-10,"PetroChina Co., Ltd.",52227,4959,72321322,512,934,96
Impact Credit Strategies Fund,2019-03-24,Saudi Arabian Oil Co.,901694,-316,929628049,741,763,404
Community Savings Bond Fund,2021-12-06,Saudi Arabian Oil Co.,670065,-1987,343999372,202,74,360
European High Yield Bond Fund,2022-07-15,Bayerische Motoren Werke AG,252414,-1597,131559743,236,918,290
Equity Diversified Selection Fund,2019-07-23,Mercedes-Benz Group AG,216049,249,189383397,151,882,528
Target Maturity 2029 Bond Fund,2019-02-23,"Verizon Communications, Inc.",694016,-4581,219087632,540,830,149
Fixed Maturity 2027 Bond Fund,2020-08-16,Industrial & Commercial Bank of China Ltd.,138647,-1354,277536329,694,588,123
Target Maturity 2029 Bond Fund,2019-07-07,Intel Corp.,903536,1383,134175357,277,917,656
Community Savings Bond Fund,2017-12-09,Saudi Arabian Oil Co.,115898,-2376,569076987,220,48,583
Global Cross Asset Fund,2019-06-18,TotalEnergies SE,787154,1015,405084521,701,606,450
Global Short Term Credit Fund,2018-05-18,"PetroChina Co., Ltd.",997311,3786,128001464,584,542,822
Target Maturity 2029 Bond Fund,2017-05-10,Intel Corp.,49171,-3083,564589349,380,230,126
Fixed Maturity 2027 Bond Fund,2019-02-19,Reliance Industries Ltd.,718165,-2965,110300711,544,58,132
Equity Diversified Selection Fund,2021-03-26,"PetroChina Co., Ltd.",885823,1515,127755532,569,757,764
European High Yield Bond Fund,2018-10-24,"AbbVie, Inc.",296140,-3988,99898888,783,262,352
Fixed Maturity 2027 Bond Fund,2022-07-05,Comcast Corp.,977095,1665,602604569,840,555,707
Target Maturity 2029 Bond Fund,2019-03-23,Saudi Arabian Oil Co.,551954,-2663,867303466,942,276,953
European High Yield Bond Fund,2019-06-17,China Mobile Ltd.,464051,-4963,107138466,433,14,820
Sustainable Retail Fund,2021-04-17,Bayerische Motoren Werke AG,937881,3380,307023182,958,664,234
Global Short Term Credit Fund,2021-04-14,Petróleo Brasileiro SA,562295,4255,389218342,443,863,769
Sustainable Retail Fund,2017-03-05,Reliance Industries Ltd.,207270,2938,783115654,109,693,850
Sustainable Retail Fund,2021-05-02,Pfizer Inc.,314052,1111,920286697,679,128,14
Community Savings Bond Fund,2018-08-04,Tencent Holdings Ltd.,988421,-3658,28176784,766,650,749
Target Maturity 2029 Bond Fund,2022-08-22,"Verizon Communications, Inc.",510494,-1361,887522652,135,282,595
European High Yield Bond Fund,2020-05-06,TotalEnergies SE,190906,4302,846615536,342,412,991
Fixed Maturity 2027 Bond Fund,2017-06-05,TotalEnergies SE,643046,-4264,136863561,612,134,746
Community Savings Bond Fund,2018-10-12,Pfizer Inc.,665718,2749,528980638,137,738,354
Global Cross Asset Fund,2020-08-14,Intel Corp.,938188,-2194,949149700,505,831,725
Global Cross Asset Fund,2022-10-29,Pfizer Inc.,729800,-3813,735907366,882,608,165
Equity Diversified Selection Fund,2017-12-05,Intel Corp.,876998,-3464,608093058,791,86,597
Equity Diversified Selection Fund,2018-03-05,"Samsung Electronics Co., Ltd.",372496,-3427,818346644,873,696,290
Global Cross Asset Fund,2020-12-05,Petróleo Brasileiro SA,349230,2221,470621819,350,713,101
Target Maturity 2029 Bond Fund,2020-04-26,Sony Group Corp.,549649,-4739,546554700,317,311,986
Global Short Term Credit Fund,2019-02-11,Saudi Arabian Oil Co.,410814,-1261,291878618,261,773,195
Global Short Term Credit Fund,2021-11-19,China Mobile Ltd.,553610,2474,862368531,699,336,397
Fixed Maturity 2025 Bond Fund,2018-11-02,"UnitedHealth Group, Inc.",588561,-3579,339867021,816,93,549
Global Short Term Credit Fund,2018-11-23,"UnitedHealth Group, Inc.",89228,-3031,259350314,539,234,914
Sustainable Retail Fund,2022-06-13,Petróleo Brasileiro SA,383687,-4351,369778271,619,422,302
Fixed Maturity 2027 Bond Fund,2022-03-19,Saudi Arabian Oil Co.,416477,1065,578213842,550,643,571
Target Maturity 2029 Bond Fund,2022-01-06,"UnitedHealth Group, Inc.",551014,4031,633093602,328,406,256
International Fixed Duration Fund,2017-02-06,"AT&T, Inc.",395776,-4006,692573964,586,564,668
Target Maturity 2029 Bond Fund,2017-03-22,"Verizon Communications, Inc.",382379,-1122,49164960,764,444,771
International Fixed Duration Fund,2019-04-25,"UnitedHealth Group, Inc.",455338,2092,768064828,450,897,373
International Fixed Duration Fund,2017-06-23,Bayerische Motoren Werke AG,53189,4995,857797955,652,623,606
European High Yield Bond Fund,2017-07-21,Saudi Arabian Oil Co.,708022,3570,155054365,777,261,98
Target Maturity 2029 Bond Fund,2020-04-19,TotalEnergies SE,658991,-2930,561564147,281,652,753
Target Maturity 2029 Bond Fund,2020-04-02,Gazprom PJSC,776334,1395,478446600,365,880,838
Community Savings Bond Fund,2017-12-15,Reliance Industries Ltd.,149742,1697,352972968,88,460,107
Target Maturity 2029 Bond Fund,2018-07-12,Gazprom PJSC,37418,-4646,344418563,390,93,34
Global Short Term Credit Fund,2020-06-27,Shell Plc,114899,3947,387826766,958,472,813
Fixed Maturity 2027 Bond Fund,2017-08-21,Reliance Industries Ltd.,707096,-1564,916497473,177,235,22
Equity Diversified Selection Fund,2022-08-05,Reliance Industries Ltd.,105135,3441,859404041,921,745,838
Global Cross Asset Fund,2020-06-28,Mercedes-Benz Group AG,273753,-4603,284422487,130,267,20
Sustainable Retail Fund,2020-03-16,Mercedes-Benz Group AG,323360,-4830,56473717,68,70,20
Equity Diversified Selection Fund,2017-03-23,Intel Corp.,303575,-3675,419352430,359,323,893
International Fixed Duration Fund,2021-03-26,Sony Group Corp.,586052,-1580,290461796,435,540,829
Global Short Term Credit Fund,2017-10-07,Comcast Corp.,239325,183,165736193,629,406,217
Fixed Maturity 2025 Bond Fund,2017-01-04,"AT&T, Inc.",640092,2906,952270500,265,332,316
Community Savings Bond Fund,2019-02-13,China Mobile Ltd.,917449,1947,811688875,692,623,350
Global Short Term Credit Fund,2022-10-31,Sony Group Corp.,413392,2494,629920858,687,297,848
International Fixed Duration Fund,2018-05-04,Sony Group Corp.,102928,1844,844597403,148,214,350
Global Short Term Credit Fund,2021-07-29,"UnitedHealth Group, Inc.",889389,4499,825467099,550,964,73
Fixed Maturity 2025 Bond Fund,2022-06-14,"Verizon Communications, Inc.",209077,1949,246878949,795,659,784
Sustainable Retail Fund,2022-01-18,"AT&T, Inc.",113952,4433,288348654,753,704,941
Global Short Term Credit Fund,2017-08-24,TotalEnergies SE,842290,-3618,862208899,973,967,211
