FUND,DATE,COMPANY_NAME,TOTAL_SHARES,CHANGES_IN_SHARE,MARKET_CAP,PRICE,PRICE_50D_MOVING_AVERAGE,PRICE_200D_MOVING_AVERAGE
Subordinated Financials Fund,2017-08-19,"Goldman Sachs Group, Inc.",498717,-5622,349450927.01,272.79,448.87,202.49
International Fixed Duration Fund,2017-05-27,Allianz SE,212674,-5342,113092538.8,755.15,149.38,335.87
Fixed Maturity 2025 Bond Fund,2021-06-06,BP Plc,597200,7747,139988943.07,860.57,329.83,611.71
Global Cross Asset Fund,2021-03-05,Alibaba Group Holding Ltd.,11705,914,342589926.57,774.37,614.82,145.5
Target Maturity 2029 Bond Fund,2020-01-31,Microsoft Corp.,233780,8077,238525869.97,698.31,950.18,227.9
Subordinated Financials Fund,2017-07-28,Morgan Stanley,845629,-7249,331758550.33,38.07,237.94,385.17
Equity Diversified Selection Fund,2019-10-23,"Facebook, Inc.",750447,1099,253776181.03,253.47,275.68,738.97
Target Maturity 2029 Bond Fund,2021-04-11,Microsoft Corp.,650713,4341,398505623.36,214.89,746.3,234.82
Impact Credit Strategies Fund,2021-07-12,"SolarEdge Technologies, Inc.",549571,-2490,432779256.25,31.67,227.33,139.37
Fixed Maturity 2025 Bond Fund,2019-11-18,Exxon Mobil Corp.,880868,-2948,40141739.73,931.2,481.42,992.38
Community Savings Bond Fund,2017-12-26,"Walmart, Inc.",542209,-6455,437821949.01,878.12,361.81,618.36
Subordinated Financials Fund,2018-11-29,Citigroup Inc.,700843,4372,239576021.31,573.84,249.06,829.89
Fixed Maturity 2025 Bond Fund,2019-08-13,Exxon Mobil Corp.,864376,1866,152323191.55,386.07,175.24,725.12
Impact Credit Strategies Fund,2019-09-05,Vestas Wind Systems A/S,910138,-9895,225664149.69,570.23,172.18,579.19
Subordinated Financials Fund,2020-01-23,Morgan Stanley,960786,1722,340698481.2,180.97,470.31,976.23
Subordinated Financials Fund,2020-10-14,Citigroup Inc.,979315,7355,76934858.26,20.32,455.43,748.1
Target Maturity 2029 Bond Fund,2022-02-24,Microsoft Corp.,993692,8968,3286854.77,55.0,372.07,757.42
Global Cross Asset Fund,2022-08-08,Johnson & Johnson,597462,8197,274100005.03,727.21,500.45,769.49
Fixed Maturity 2025 Bond Fund,2018-03-03,Chevron Corp.,995175,114,447477485.54,878.7,804.38,935.85
Community Savings Bond Fund,2018-01-06,Procter & Gamble Co.,185645,-373,228357642.62,125.9,449.92,772.79
Impact Credit Strategies Fund,2022-09-06,"First Solar, Inc.",152337,1683,283134594.85,889.82,31.02,607.19
Subordinated Financials Fund,2021-07-21,"Goldman Sachs Group, Inc.",699868,3745,272482419.67,418.65,440.01,756.69
Target Maturity 2029 Bond Fund,2018-10-07,"Apple, Inc.",854243,-185,489012818.39,346.62,703.51,585.48
Subordinated Financials Fund,2021-09-06,"Goldman Sachs Group, Inc.",152828,5792,479685812.48,723.97,222.41,310.95
Sustainable Retail Fund,2021-04-06,"The Hain Celestial Group, Inc.",353378,-2899,279824218.49,897.69,466.26,142.93
Community Savings Bond Fund,2018-12-18,"Walmart, Inc.",495713,-4814,91840174.95,628.44,390.88,805.24
Fixed Maturity 2025 Bond Fund,2020-12-22,Chevron Corp.,166836,-6949,428375485.99,844.68,901.31,947.92
Sustainable Retail Fund,2022-03-03,"The Hain Celestial Group, Inc.",263292,-2465,353613243.06,875.53,850.95,50.89
Impact Credit Strategies Fund,2019-12-01,Vestas Wind Systems A/S,521402,1860,499094504.87,62.47,447.07,514.03
Target Maturity 2029 Bond Fund,2020-10-02,"Amazon.com, Inc.",62061,-7613,65894101.4,736.49,909.25,399.43
Fixed Maturity 2027 Bond Fund,2019-07-20,Toyota Motor Corp.,584285,5926,115396627.04,470.32,230.55,839.36
Impact Credit Strategies Fund,2021-09-09,Vestas Wind Systems A/S,667863,-7768,76763209.11,251.81,443.82,905.91
Target Maturity 2029 Bond Fund,2018-06-18,Microsoft Corp.,135456,9589,470762603.75,544.49,296.7,633.61
Global Short Term Credit Fund,2021-04-10,JPMorgan Chase & Co.,563901,5887,54358669.42,978.8,37.47,896.3
Fixed Maturity 2027 Bond Fund,2021-01-28,Volkswagen AG,389713,-9915,446013713.0,32.22,151.98,906.54
Equity Diversified Selection Fund,2020-11-08,"Netflix, Inc.",388625,3693,196397585.27,702.32,419.69,345.14
Sustainable Retail Fund,2018-05-11,"Tesla, Inc.",268497,5945,68102922.63,350.86,583.92,55.94
Impact Credit Strategies Fund,2017-03-23,"SolarEdge Technologies, Inc.",907931,385,27971381.02,774.5,257.8,650.52
Subordinated Financials Fund,2020-03-20,Morgan Stanley,265912,-1312,286758398.87,102.95,553.23,599.73
Fixed Maturity 2027 Bond Fund,2021-11-18,Volkswagen AG,327365,8307,458643236.96,426.75,680.8,127.39
Equity Diversified Selection Fund,2021-12-28,"Facebook, Inc.",394586,-8400,50974743.39,899.16,159.86,112.88
International Fixed Duration Fund,2022-02-24,AXA SA,14811,3965,176486474.67,847.93,131.57,314.4
Fixed Maturity 2027 Bond Fund,2019-02-08,Ford Motor Co.,971187,3334,402563621.08,477.4,534.49,535.43
Sustainable Retail Fund,2020-04-28,"Tesla, Inc.",825400,-6784,316051127.23,124.71,567.26,786.93
Target Maturity 2029 Bond Fund,2019-08-07,"Apple, Inc.",588939,829,477365596.67,972.81,340.39,600.28
Fixed Maturity 2027 Bond Fund,2022-04-02,Ford Motor Co.,356135,-7329,27586137.76,51.01,214.09,395.47
Fixed Maturity 2027 Bond Fund,2017-06-30,Ford Motor Co.,734618,-1210,54324247.1,599.86,508.72,745.82
Target Maturity 2029 Bond Fund,2017-01-15,"Apple, Inc.",557504,827,372657110.76,906.71,529.32,342.57
Fixed Maturity 2025 Bond Fund,2019-05-15,Chevron Corp.,515691,-589,374580170.11,766.23,713.25,527.69
Global Short Term Credit Fund,2022-07-11,Bank of America Corp.,768054,3373,221839462.6,527.21,588.17,970.84
Subordinated Financials Fund,2017-10-10,"Goldman Sachs Group, Inc.",965216,2762,198141606.61,641.86,490.35,524.63
Target Maturity 2029 Bond Fund,2021-04-14,"Amazon.com, Inc.",507235,-809,135724331.84,674.45,158.41,555.98
Global Short Term Credit Fund,2018-07-06,Bank of America Corp.,375468,-9397,309033424.62,549.28,912.09,455.14
Equity Diversified Selection Fund,2021-09-06,Google LLC,965892,-10,72303345.11,387.25,169.61,978.49
Impact Credit Strategies Fund,2020-10-16,Vestas Wind Systems A/S,766049,-8738,326702040.04,860.01,753.55,593.44
Equity Diversified Selection Fund,2022-10-03,Google LLC,508663,-1805,325551346.32,268.73,220.48,695.4
Target Maturity 2029 Bond Fund,2019-05-20,"Apple, Inc.",473327,-4692,105569722.32,965.74,70.33,389.28
Fixed Maturity 2025 Bond Fund,2017-07-21,Chevron Corp.,880345,-4735,173113786.06,554.6,375.34,218.93
Subordinated Financials Fund,2022-09-30,Morgan Stanley,20180,1547,69148432.06,385.58,79.78,120.93
Subordinated Financials Fund,2022-10-19,Citigroup Inc.,414690,-7857,440372523.74,627.96,727.09,739.24
Equity Diversified Selection Fund,2018-02-17,Google LLC,223390,947,373750175.3,93.55,223.68,246.49
Sustainable Retail Fund,2017-04-16,"Beyond Meat, Inc.",558206,2435,233130856.09,214.47,48.28,943.06
Fixed Maturity 2027 Bond Fund,2021-09-29,Toyota Motor Corp.,193557,-4840,159969351.04,981.56,98.53,974.17
Community Savings Bond Fund,2020-11-17,Nestlé SA,999471,4966,19644971.75,97.26,790.92,549.25
Fixed Maturity 2027 Bond Fund,2017-08-22,Toyota Motor Corp.,803629,2450,316627070.07,919.36,325.15,959.72
Equity Diversified Selection Fund,2020-06-10,"Netflix, Inc.",373302,-3819,131464950.84,506.63,249.16,263.79
Sustainable Retail Fund,2017-05-26,"Beyond Meat, Inc.",283691,-4695,48286140.89,965.69,521.19,940.96
Global Cross Asset Fund,2022-06-07,Johnson & Johnson,386093,-7311,19927639.62,883.34,620.16,979.53
International Fixed Duration Fund,2020-06-10,Allianz SE,975801,-5703,453882195.41,525.03,846.23,690.9
Fixed Maturity 2027 Bond Fund,2018-11-22,Ford Motor Co.,509455,9750,419961985.46,975.2,111.14,30.62
Target Maturity 2029 Bond Fund,2022-06-18,Microsoft Corp.,746413,2871,178317957.67,543.46,867.94,153.3
Global Cross Asset Fund,2017-12-31,Alibaba Group Holding Ltd.,785395,3325,317955129.13,309.94,479.22,88.98
Global Short Term Credit Fund,2020-01-16,JPMorgan Chase & Co.,455946,1330,38560218.0,824.57,630.88,636.7
Fixed Maturity 2027 Bond Fund,2022-10-11,Ford Motor Co.,133540,-6795,157792177.85,399.57,878.76,234.44
Sustainable Retail Fund,2019-01-09,"The Hain Celestial Group, Inc.",698606,183,477191570.52,817.12,822.65,255.55
Target Maturity 2029 Bond Fund,2022-03-07,"Amazon.com, Inc.",184847,9169,368798634.0,906.16,536.25,83.4
Equity Diversified Selection Fund,2021-01-04,Google LLC,565667,-2935,239430436.3,456.69,204.0,787.35
International Fixed Duration Fund,2018-11-25,Ping An Insurance (Group) Co. of China Ltd.,160249,-5184,496391288.6,940.87,372.45,161.14
Impact Credit Strategies Fund,2018-08-10,"SolarEdge Technologies, Inc.",48512,7380,490198190.02,786.71,551.79,597.63
Target Maturity 2029 Bond Fund,2018-11-13,Microsoft Corp.,353786,7540,233946242.21,869.7,175.2,811.42
International Fixed Duration Fund,2020-01-26,Ping An Insurance (Group) Co. of China Ltd.,926436,8162,102777322.28,733.51,64.23,423.9
Fixed Maturity 2025 Bond Fund,2019-02-19,Exxon Mobil Corp.,861798,5692,177313580.68,759.74,700.89,230.73
Impact Credit Strategies Fund,2020-10-21,Vestas Wind Systems A/S,195768,2631,164727204.88,901.33,96.81,50.32
Community Savings Bond Fund,2021-12-27,Procter & Gamble Co.,178732,-1208,117381157.7,373.72,234.43,286.91
International Fixed Duration Fund,2018-07-11,AXA SA,680381,-4729,277895274.71,787.23,293.6,870.72
Target Maturity 2029 Bond Fund,2019-11-20,Microsoft Corp.,799609,-5000,68417896.14,431.28,558.71,159.86
Global Cross Asset Fund,2017-03-13,Alibaba Group Holding Ltd.,864743,-4382,374409575.81,181.0,387.72,424.59
Subordinated Financials Fund,2022-01-16,Citigroup Inc.,180777,-5528,113369395.09,395.83,429.27,992.28
Community Savings Bond Fund,2017-07-05,"Walmart, Inc.",45569,-1480,90509296.65,886.6,999.06,415.93
Sustainable Retail Fund,2020-11-11,"Beyond Meat, Inc.",745485,8451,380305539.79,132.13,866.03,671.28
Global Cross Asset Fund,2020-07-03,Alibaba Group Holding Ltd.,552462,7170,186804732.42,500.71,544.35,594.41
Target Maturity 2029 Bond Fund,2022-09-23,Microsoft Corp.,930522,-2111,270964044.37,974.39,264.91,175.25
Impact Credit Strategies Fund,2017-05-14,"SolarEdge Technologies, Inc.",123673,2700,253323757.82,816.09,16.21,548.85
Target Maturity 2029 Bond Fund,2018-08-21,"Apple, Inc.",788037,778,144362738.08,528.05,364.22,543.53
Fixed Maturity 2025 Bond Fund,2021-09-24,Exxon Mobil Corp.,719862,-2274,94580579.64,268.45,698.23,371.61
Subordinated Financials Fund,2017-04-18,Citigroup Inc.,515310,-7737,80321970.51,703.6,162.71,934.17
Community Savings Bond Fund,2017-03-17,Nestlé SA,600601,5312,188172680.42,191.18,117.49,695.4
Sustainable Retail Fund,2022-05-12,"The Hain Celestial Group, Inc.",615171,503,8311654.85,453.18,127.24,277.42
International Fixed Duration Fund,2018-10-25,Ping An Insurance (Group) Co. of China Ltd.,229976,-7727,260933165.46,700.7,20.68,928.12
Global Short Term Credit Fund,2018-08-02,Bank of America Corp.,703612,-2163,304732862.01,104.64,781.22,569.61
Community Savings Bond Fund,2020-07-13,Procter & Gamble Co.,463493,-7217,339066802.61,419.86,523.46,33.89
International Fixed Duration Fund,2018-09-12,AXA SA,674106,-9984,101378412.47,669.0,636.73,383.6
International Fixed Duration Fund,2020-07-08,AXA SA,400046,4242,246331528.62,779.71,712.1,509.32
Community Savings Bond Fund,2019-02-05,Nestlé SA,441487,3788,274081634.0,599.97,909.81,732.48
Community Savings Bond Fund,2020-08-15,"Walmart, Inc.",742969,-692,473448592.23,675.52,338.01,94.52
Impact Credit Strategies Fund,2020-12-13,"SolarEdge Technologies, Inc.",953774,-4362,333821446.66,654.37,365.35,351.36
Fixed Maturity 2025 Bond Fund,2022-11-29,Exxon Mobil Corp.,932126,-3319,220686508.12,364.11,29.62,665.01
Equity Diversified Selection Fund,2019-08-19,"Facebook, Inc.",273921,-3821,306704017.26,269.31,897.93,375.98
Sustainable Retail Fund,2019-11-06,"Beyond Meat, Inc.",970027,716,57505596.2,551.47,84.24,933.44
Sustainable Retail Fund,2020-11-26,"Beyond Meat, Inc.",526002,2199,405966733.88,648.93,332.35,777.46
International Fixed Duration Fund,2019-03-19,Allianz SE,179999,-8322,338487762.5,69.23,334.22,607.75
Fixed Maturity 2025 Bond Fund,2019-01-14,BP Plc,21068,-8358,268233979.12,948.15,625.86,824.99
Subordinated Financials Fund,2020-10-13,Citigroup Inc.,771547,5780,232913143.35,362.12,640.48,386.23
International Fixed Duration Fund,2020-01-18,Ping An Insurance (Group) Co. of China Ltd.,735110,-8751,264167127.41,428.28,927.83,471.61
Sustainable Retail Fund,2021-05-03,"Beyond Meat, Inc.",190492,5430,360577700.68,285.75,108.39,261.32
Target Maturity 2029 Bond Fund,2022-07-16,"Amazon.com, Inc.",471863,3454,164331593.47,841.88,661.78,363.81
Subordinated Financials Fund,2022-02-01,Morgan Stanley,759536,-3382,263634764.53,765.48,154.73,103.98
Sustainable Retail Fund,2019-09-05,"Beyond Meat, Inc.",243499,-8226,59122488.32,849.36,125.29,506.61
Global Cross Asset Fund,2019-09-18,"Berkshire Hathaway, Inc.",633658,7321,3123888.27,342.76,90.39,420.0
Community Savings Bond Fund,2020-02-13,Nestlé SA,544506,1179,403941949.53,818.73,521.09,222.94
Target Maturity 2029 Bond Fund,2021-12-05,Microsoft Corp.,275053,2172,195233911.2,892.23,46.9,516.99
Sustainable Retail Fund,2020-06-09,"Tesla, Inc.",401250,6440,499403854.05,530.39,324.81,25.43
Fixed Maturity 2025 Bond Fund,2017-01-05,Chevron Corp.,312146,490,399666571.42,857.9,992.5,848.74
Global Short Term Credit Fund,2020-04-12,JPMorgan Chase & Co.,910538,-3131,26145166.5,818.59,148.97,211.35
Global Cross Asset Fund,2021-12-09,Johnson & Johnson,79846,-9738,62344417.63,591.98,926.02,956.23
Impact Credit Strategies Fund,2018-05-04,Vestas Wind Systems A/S,261497,-2527,18454997.8,264.01,888.86,118.86
Subordinated Financials Fund,2022-04-10,Morgan Stanley,693960,-7299,205689874.55,306.79,853.27,98.34
Fixed Maturity 2025 Bond Fund,2022-03-26,Chevron Corp.,773938,430,495474034.66,57.2,508.0,539.62
Fixed Maturity 2027 Bond Fund,2017-10-23,Volkswagen AG,930966,5887,94949370.44,695.1,267.02,644.22
Global Short Term Credit Fund,2022-09-29,HSBC Holdings Plc,944672,1511,390287685.03,52.93,141.51,936.56
Subordinated Financials Fund,2018-03-27,Citigroup Inc.,585887,-7475,58429070.41,850.22,775.31,921.21
International Fixed Duration Fund,2019-09-01,Ping An Insurance (Group) Co. of China Ltd.,832952,5797,440361115.63,201.19,90.14,903.22
Subordinated Financials Fund,2017-06-30,"Goldman Sachs Group, Inc.",31110,6701,205468070.84,901.16,15.78,517.34
Fixed Maturity 2027 Bond Fund,2019-06-10,Ford Motor Co.,65728,-6804,373866430.97,831.67,455.56,200.49
Global Short Term Credit Fund,2019-08-02,HSBC Holdings Plc,390271,-6798,180444295.18,451.07,437.3,649.04
International Fixed Duration Fund,2021-02-08,Allianz SE,259807,-8201,96342144.54,504.23,138.1,55.3
Impact Credit Strategies Fund,2019-07-18,Vestas Wind Systems A/S,679258,7627,13233075.13,804.69,80.95,591.19
Subordinated Financials Fund,2021-09-17,Morgan Stanley,736019,2973,128283057.3,90.96,978.89,28.78
Fixed Maturity 2027 Bond Fund,2021-09-11,Ford Motor Co.,248259,4807,5084426.65,852.82,275.0,197.13
Target Maturity 2029 Bond Fund,2022-10-05,"Apple, Inc.",545786,161,213860617.15,650.9,142.06,331.72
Sustainable Retail Fund,2018-04-26,"The Hain Celestial Group, Inc.",726338,625,42143559.63,260.09,525.34,175.26
Sustainable Retail Fund,2019-11-09,"The Hain Celestial Group, Inc.",770692,8617,72581221.95,574.07,407.51,90.86
Subordinated Financials Fund,2020-04-13,Citigroup Inc.,378422,5788,379142858.43,217.77,736.35,125.6
Fixed Maturity 2025 Bond Fund,2017-06-02,BP Plc,47266,-5527,47607854.39,305.43,297.99,375.27
Global Short Term Credit Fund,2018-02-28,Bank of America Corp.,87191,8594,490621977.08,22.19,882.12,875.25
Sustainable Retail Fund,2021-09-26,"Tesla, Inc.",211528,-8594,283124405.84,573.16,279.88,360.53
Global Cross Asset Fund,2020-01-18,"Berkshire Hathaway, Inc.",753800,8818,231449816.41,363.99,398.66,432.64
Impact Credit Strategies Fund,2018-10-18,"First Solar, Inc.",769293,-6841,323402351.78,592.87,849.81,824.05
Global Short Term Credit Fund,2022-08-10,Bank of America Corp.,842484,8662,120984558.71,865.55,762.16,475.45
Global Cross Asset Fund,2021-05-19,Johnson & Johnson,337005,2586,483688223.12,45.14,311.74,930.6
Fixed Maturity 2025 Bond Fund,2021-04-23,BP Plc,629063,-1117,137449399.63,659.3,372.28,554.85
Impact Credit Strategies Fund,2021-01-11,"First Solar, Inc.",994490,1914,278382921.35,21.03,45.4,512.42
Target Maturity 2029 Bond Fund,2021-04-10,"Amazon.com, Inc.",209705,4659,443034872.81,686.46,606.23,881.92
Subordinated Financials Fund,2017-12-29,Citigroup Inc.,768709,8810,318206632.81,78.48,405.35,323.07
Fixed Maturity 2027 Bond Fund,2018-03-14,Volkswagen AG,526088,-7480,271931085.28,886.42,807.66,733.75
Equity Diversified Selection Fund,2019-11-09,"Netflix, Inc.",412266,-8162,318127520.41,391.17,482.33,987.98
Equity Diversified Selection Fund,2018-05-09,"Netflix, Inc.",849298,74,321145325.66,790.87,59.32,460.67
Equity Diversified Selection Fund,2020-04-16,"Facebook, Inc.",604026,8086,212203530.33,242.0,364.83,420.47
Target Maturity 2029 Bond Fund,2018-07-10,Microsoft Corp.,132553,7600,394842716.64,822.84,873.47,947.6
Fixed Maturity 2027 Bond Fund,2022-03-08,Toyota Motor Corp.,292488,9564,11461105.82,364.55,342.37,691.81
Global Cross Asset Fund,2022-01-21,"Berkshire Hathaway, Inc.",332098,-7751,8286178.5,725.09,439.12,741.73
Impact Credit Strategies Fund,2019-10-14,"First Solar, Inc.",218337,-6250,10584006.87,356.48,562.06,504.78
Global Cross Asset Fund,2017-08-03,"Berkshire Hathaway, Inc.",894594,6729,444471370.07,537.99,378.89,831.62
Sustainable Retail Fund,2020-04-09,"Beyond Meat, Inc.",663232,-328,283865555.0,966.77,63.07,288.04
Subordinated Financials Fund,2019-07-10,"Goldman Sachs Group, Inc.",610281,1499,190229411.01,883.63,644.46,613.66
Community Savings Bond Fund,2017-11-19,Nestlé SA,674512,-6317,299576736.32,954.1,891.62,401.47
Global Short Term Credit Fund,2019-08-17,HSBC Holdings Plc,940527,-4662,361955237.6,42.11,720.03,139.1
Subordinated Financials Fund,2021-03-01,Morgan Stanley,436922,8500,56488682.47,544.29,529.78,928.8
Fixed Maturity 2027 Bond Fund,2021-08-05,Toyota Motor Corp.,750854,-5779,249889732.61,355.95,272.31,846.0
Fixed Maturity 2027 Bond Fund,2017-10-18,Toyota Motor Corp.,453965,3798,293386112.23,609.05,402.67,696.1
Fixed Maturity 2027 Bond Fund,2019-01-11,Toyota Motor Corp.,725754,-8814,401997733.33,590.1,217.73,807.56
Sustainable Retail Fund,2017-07-02,"Tesla, Inc.",907036,-6411,485542116.51,799.2,932.81,39.5
Equity Diversified Selection Fund,2017-11-30,Google LLC,538711,5548,271828553.73,518.83,379.74,197.67
Global Short Term Credit Fund,2022-07-30,Bank of America Corp.,547210,-8556,159857186.34,964.82,538.51,259.63
Equity Diversified Selection Fund,2019-03-15,"Facebook, Inc.",43443,9558,271626159.31,262.41,358.92,195.11
Subordinated Financials Fund,2019-06-06,Morgan Stanley,544033,-4111,303816593.23,247.24,763.29,478.3
Community Savings Bond Fund,2019-02-28,Nestlé SA,687281,-1766,334490157.86,801.28,758.3,631.12
Fixed Maturity 2025 Bond Fund,2022-09-30,Chevron Corp.,453414,8559,88625369.23,272.56,441.56,417.82
Impact Credit Strategies Fund,2022-11-08,"First Solar, Inc.",447811,-8316,45700338.77,318.9,616.56,836.79
Fixed Maturity 2025 Bond Fund,2018-01-04,BP Plc,253176,6437,142735634.27,956.3,561.57,797.6
International Fixed Duration Fund,2017-12-06,Allianz SE,618924,-3957,29507604.96,179.75,919.77,612.15
Global Cross Asset Fund,2022-01-12,"Berkshire Hathaway, Inc.",877428,-3318,369537804.76,773.7,623.11,585.01
Target Maturity 2029 Bond Fund,2021-04-26,Microsoft Corp.,142113,-8060,404296925.89,785.85,992.44,130.51
Subordinated Financials Fund,2019-08-16,Morgan Stanley,608209,-3932,35696097.68,804.85,11.16,202.22
Fixed Maturity 2027 Bond Fund,2021-11-26,Ford Motor Co.,922779,-9147,64497001.26,180.62,341.69,764.28
Sustainable Retail Fund,2022-07-07,"Tesla, Inc.",825856,3559,479504123.11,534.35,205.49,155.31
Global Cross Asset Fund,2019-06-06,Alibaba Group Holding Ltd.,546377,-9940,311294496.68,873.96,727.22,534.52
Target Maturity 2029 Bond Fund,2019-11-10,Microsoft Corp.,137453,9065,352035736.7,794.49,884.63,198.28
Fixed Maturity 2025 Bond Fund,2021-12-10,BP Plc,955119,-2237,16157098.83,275.33,155.22,427.2
Impact Credit Strategies Fund,2018-10-19,"SolarEdge Technologies, Inc.",263754,1067,9417105.87,17.86,904.42,767.68
Sustainable Retail Fund,2019-10-31,"The Hain Celestial Group, Inc.",747853,-4995,155751409.54,402.98,773.76,161.02
Fixed Maturity 2025 Bond Fund,2020-10-29,BP Plc,31078,2716,156608845.59,477.41,859.21,551.08
International Fixed Duration Fund,2022-04-01,Allianz SE,389836,-9845,479654405.92,425.12,319.16,842.93
Target Maturity 2029 Bond Fund,2022-04-10,"Amazon.com, Inc.",256906,2234,21321403.85,982.92,585.43,843.64
Fixed Maturity 2025 Bond Fund,2018-06-16,Exxon Mobil Corp.,619394,-222,45566376.98,500.51,440.25,548.92
Subordinated Financials Fund,2020-10-07,"Goldman Sachs Group, Inc.",444930,-4616,312217727.91,195.03,334.68,663.55
Fixed Maturity 2025 Bond Fund,2019-03-09,Exxon Mobil Corp.,703522,-3998,355247139.66,652.7,323.49,636.57
Community Savings Bond Fund,2017-03-08,Procter & Gamble Co.,881759,-8573,483264527.6,722.69,341.66,902.52
Community Savings Bond Fund,2018-06-30,Nestlé SA,573395,1164,316852184.35,975.62,707.36,401.17
Global Cross Asset Fund,2022-03-18,"Berkshire Hathaway, Inc.",676795,-8641,195678310.18,563.91,893.44,512.71
Impact Credit Strategies Fund,2022-07-04,"First Solar, Inc.",443191,3220,230669857.54,90.97,959.02,910.21
International Fixed Duration Fund,2021-06-11,Ping An Insurance (Group) Co. of China Ltd.,205498,-2556,128570012.44,87.3,443.08,489.53
Target Maturity 2029 Bond Fund,2019-11-12,Microsoft Corp.,744811,3463,67654586.58,654.2,316.17,860.13
Impact Credit Strategies Fund,2020-08-20,"SolarEdge Technologies, Inc.",216120,912,149921930.09,512.27,636.59,862.54
Community Savings Bond Fund,2017-04-25,Procter & Gamble Co.,305711,-4550,310991745.78,605.02,905.15,157.35
Fixed Maturity 2027 Bond Fund,2022-03-18,Toyota Motor Corp.,198401,-7060,88456945.67,660.52,263.42,27.24
International Fixed Duration Fund,2021-01-06,Allianz SE,825814,5559,372411002.73,856.29,409.38,831.82
Global Cross Asset Fund,2017-06-08,"Berkshire Hathaway, Inc.",99002,7880,451594802.99,237.8,540.78,101.3
Fixed Maturity 2027 Bond Fund,2020-02-16,Ford Motor Co.,546133,-9467,495484798.56,458.1,881.67,238.08
Equity Diversified Selection Fund,2022-10-22,"Facebook, Inc.",372609,6367,19502322.4,482.4,330.97,97.05
Fixed Maturity 2025 Bond Fund,2022-09-07,Chevron Corp.,176164,-9040,229437992.21,921.76,100.38,686.09
Sustainable Retail Fund,2019-07-01,"The Hain Celestial Group, Inc.",330787,9287,480538213.45,528.23,808.0,890.27
Equity Diversified Selection Fund,2022-06-26,"Netflix, Inc.",766854,2481,44932953.06,735.36,402.82,174.12
Equity Diversified Selection Fund,2021-09-12,"Facebook, Inc.",26314,6633,190116518.82,655.6,719.75,764.26
Global Cross Asset Fund,2022-09-09,Alibaba Group Holding Ltd.,717004,-4763,372690639.89,240.42,416.54,913.22
Global Cross Asset Fund,2019-01-23,Alibaba Group Holding Ltd.,400064,6172,85546337.24,123.56,409.93,339.45
Fixed Maturity 2025 Bond Fund,2021-12-14,BP Plc,828269,6297,458181539.75,478.9,833.05,572.74
Global Short Term Credit Fund,2018-08-14,HSBC Holdings Plc,838091,6952,435402674.05,250.73,767.57,305.69
Global Cross Asset Fund,2018-04-04,"Berkshire Hathaway, Inc.",703179,-1288,33454567.3,545.15,471.7,289.72
Target Maturity 2029 Bond Fund,2022-09-19,Microsoft Corp.,942020,-4097,481065723.19,386.77,782.77,351.58
Global Short Term Credit Fund,2017-10-16,HSBC Holdings Plc,783083,6310,244565349.46,723.2,903.92,871.13
