FUND,DATE,COMPANY_NAME,TOTAL_SHARES,CHANGES_IN_SHARE,MARKET_CAP,PRICE,PRICE_50D_MOVING_AVERAGE,PRICE_200D_MOVING_AVERAGE
Equity Diversified Selection Fund,2020-04-11,"Facebook, Inc.",521867,-4578,42890394.27,838.96,341.18,369.07
Sustainable Retail Fund,2022-02-23,"Beyond Meat, Inc.",185992,9933,107467384.57,169.04,889.12,941.77
Impact Credit Strategies Fund,2019-02-15,Vestas Wind Systems A/S,45740,-4929,22294519.93,288.97,918.33,371.09
Global Cross Asset Fund,2022-01-27,Alibaba Group Holding Ltd.,78613,783,271344615.04,508.47,506.99,418.3
Community Savings Bond Fund,2017-12-26,"Walmart, Inc.",975041,-1766,293079196.19,838.09,617.91,753.33
Global Short Term Credit Fund,2021-10-24,HSBC Holdings Plc,142340,-3174,411542285.15,883.59,873.75,783.98
Global Short Term Credit Fund,2017-07-07,Bank of America Corp.,271915,8602,430399436.03,329.08,697.31,156.43
International Fixed Duration Fund,2020-05-04,Ping An Insurance (Group) Co. of China Ltd.,381315,1653,85411952.88,139.29,473.63,545.26
Target Maturity 2029 Bond Fund,2019-10-06,"Amazon.com, Inc.",906100,-2921,142919853.4,881.95,427.05,565.02
Sustainable Retail Fund,2019-04-06,"Beyond Meat, Inc.",658101,-2063,495021242.41,293.51,639.13,619.22
Global Cross Asset Fund,2022-02-14,Johnson & Johnson,869643,3431,254066938.32,640.8,762.74,769.81
International Fixed Duration Fund,2020-08-24,Ping An Insurance (Group) Co. of China Ltd.,504484,-9792,96669610.26,823.63,676.77,476.93
Impact Credit Strategies Fund,2020-03-03,"First Solar, Inc.",448367,-6129,229736907.14,437.85,474.85,698.82
Equity Diversified Selection Fund,2019-11-01,"Netflix, Inc.",916826,-5861,116136552.11,257.02,340.41,17.96
Global Short Term Credit Fund,2019-10-07,HSBC Holdings Plc,171003,7471,240044866.79,630.77,978.5,312.97
Impact Credit Strategies Fund,2020-09-14,"SolarEdge Technologies, Inc.",327726,9495,431263786.28,109.29,237.85,374.53
Global Short Term Credit Fund,2022-11-03,JPMorgan Chase & Co.,787867,9891,235972540.39,834.88,821.41,137.78
Fixed Maturity 2027 Bond Fund,2018-01-22,Toyota Motor Corp.,972217,-4758,339001449.55,160.87,679.7,896.27
Impact Credit Strategies Fund,2018-04-01,"SolarEdge Technologies, Inc.",46244,-4063,111882379.21,601.34,178.88,219.04
Global Cross Asset Fund,2018-07-26,Johnson & Johnson,649996,3676,219927844.37,48.81,97.94,647.62
Equity Diversified Selection Fund,2020-05-10,"Netflix, Inc.",869478,-4435,31867945.19,224.24,200.97,23.94
Global Short Term Credit Fund,2017-01-09,Bank of America Corp.,564492,7104,299016572.87,804.01,983.54,38.86
Subordinated Financials Fund,2018-08-30,"Goldman Sachs Group, Inc.",778339,-5734,465636781.89,271.97,176.48,11.56
Target Maturity 2029 Bond Fund,2018-09-26,Microsoft Corp.,823747,3399,131820117.39,599.75,734.46,156.69
Global Cross Asset Fund,2017-05-13,"Berkshire Hathaway, Inc.",655309,-4225,70738580.41,599.98,318.01,548.54
Target Maturity 2029 Bond Fund,2022-05-30,"Apple, Inc.",757954,8575,275418516.82,156.72,982.67,145.04
Fixed Maturity 2025 Bond Fund,2019-01-24,Chevron Corp.,505037,3653,460722020.61,485.76,383.07,146.55
Impact Credit Strategies Fund,2019-08-18,Vestas Wind Systems A/S,308426,8667,416954716.19,706.7,264.45,375.84
Target Maturity 2029 Bond Fund,2022-06-11,"Amazon.com, Inc.",138473,-4461,264328461.79,452.66,409.77,867.8
Sustainable Retail Fund,2020-06-03,"Beyond Meat, Inc.",964684,8963,173641688.98,75.26,788.71,443.51
Fixed Maturity 2025 Bond Fund,2022-02-05,Exxon Mobil Corp.,479217,9944,56726125.2,841.63,202.73,994.49
Global Cross Asset Fund,2022-08-04,"Berkshire Hathaway, Inc.",960436,-4135,65439007.29,827.46,987.47,544.72
Global Cross Asset Fund,2019-08-11,"Berkshire Hathaway, Inc.",204641,-3855,451207587.99,578.51,612.2,392.66
International Fixed Duration Fund,2020-12-20,AXA SA,955513,-2024,435850947.07,762.49,434.28,819.61
International Fixed Duration Fund,2019-07-15,Allianz SE,491421,-3181,311468517.45,312.13,411.13,156.93
Global Short Term Credit Fund,2017-03-31,JPMorgan Chase & Co.,108956,4997,237830682.96,512.97,30.06,83.39
Global Short Term Credit Fund,2018-11-23,JPMorgan Chase & Co.,219168,-8229,192839478.1,816.59,565.89,699.68
Impact Credit Strategies Fund,2021-10-14,"First Solar, Inc.",48453,7260,107086035.64,122.3,952.73,632.67
Global Short Term Credit Fund,2020-06-16,JPMorgan Chase & Co.,295748,4939,78587707.45,938.11,387.86,221.42
Global Short Term Credit Fund,2021-01-21,HSBC Holdings Plc,317165,-7714,50596479.1,482.89,714.17,941.98
Target Maturity 2029 Bond Fund,2020-02-16,"Apple, Inc.",858370,5452,441218939.77,84.34,285.29,143.33
Sustainable Retail Fund,2019-12-05,"The Hain Celestial Group, Inc.",696417,922,460618088.47,460.33,891.88,483.25
Impact Credit Strategies Fund,2022-05-03,"First Solar, Inc.",981982,2033,22497157.39,779.61,233.86,404.87
Community Savings Bond Fund,2020-10-09,Procter & Gamble Co.,940197,-763,236206672.86,696.82,290.2,650.14
Impact Credit Strategies Fund,2020-03-11,Vestas Wind Systems A/S,61810,-3356,406340679.88,46.79,133.27,408.36
Fixed Maturity 2025 Bond Fund,2017-03-12,BP Plc,240449,-9813,482208540.16,420.33,666.96,364.48
Fixed Maturity 2025 Bond Fund,2020-05-08,Exxon Mobil Corp.,757251,-8990,174366019.46,706.85,342.52,11.75
International Fixed Duration Fund,2021-01-25,Allianz SE,315054,-2855,368390171.68,947.52,281.44,440.85
Fixed Maturity 2027 Bond Fund,2020-03-18,Ford Motor Co.,31350,-7858,303455096.9,388.79,192.73,318.17
Community Savings Bond Fund,2017-10-17,Procter & Gamble Co.,279937,6373,290543147.77,708.28,278.75,325.77
Fixed Maturity 2025 Bond Fund,2020-09-18,Chevron Corp.,469895,7311,239070536.22,489.11,231.37,402.37
Subordinated Financials Fund,2018-12-15,Morgan Stanley,349740,4920,90891613.38,378.29,790.84,134.84
Fixed Maturity 2025 Bond Fund,2020-12-27,BP Plc,630127,-1237,435248226.95,416.45,125.8,640.13
Subordinated Financials Fund,2020-09-18,Citigroup Inc.,929799,-6462,4460153.79,544.66,109.71,209.68
Global Short Term Credit Fund,2021-10-30,JPMorgan Chase & Co.,644124,-7844,122847423.51,415.85,62.99,746.06
Impact Credit Strategies Fund,2020-08-01,"First Solar, Inc.",849207,-8804,172119608.24,581.39,933.11,481.54
International Fixed Duration Fund,2021-03-12,Allianz SE,874472,7237,90794506.55,341.6,488.61,530.43
Subordinated Financials Fund,2018-07-03,"Goldman Sachs Group, Inc.",801865,7149,386956224.81,934.11,206.45,390.3
Community Savings Bond Fund,2019-01-24,"Walmart, Inc.",476888,3683,459193843.73,175.09,894.74,92.69
Community Savings Bond Fund,2020-11-24,Procter & Gamble Co.,364852,8653,143362184.46,215.88,152.73,596.31
Sustainable Retail Fund,2017-10-08,"Beyond Meat, Inc.",476207,-8580,50394528.99,634.05,94.55,814.58
Equity Diversified Selection Fund,2020-07-10,"Netflix, Inc.",927493,4922,25399176.35,634.3,563.48,812.72
Sustainable Retail Fund,2021-06-29,"Tesla, Inc.",478381,-1391,472545018.84,297.77,246.45,219.58
International Fixed Duration Fund,2018-01-02,AXA SA,625939,-691,286039680.88,198.05,926.7,443.13
Global Cross Asset Fund,2020-12-26,"Berkshire Hathaway, Inc.",617679,7183,134644536.09,493.78,61.65,836.58
Fixed Maturity 2027 Bond Fund,2022-02-09,Ford Motor Co.,279422,6907,265140092.12,333.92,917.64,125.8
Global Cross Asset Fund,2018-12-27,Johnson & Johnson,136509,5890,345060197.19,491.36,633.95,803.63
Target Maturity 2029 Bond Fund,2019-04-29,Microsoft Corp.,709515,1642,194936196.88,992.78,744.64,640.78
Global Short Term Credit Fund,2019-05-15,HSBC Holdings Plc,884133,-4268,121636886.26,690.09,800.04,545.77
Fixed Maturity 2027 Bond Fund,2020-12-02,Volkswagen AG,514906,7151,240237162.33,97.36,621.28,622.64
Subordinated Financials Fund,2021-09-12,Morgan Stanley,563338,-2131,68933368.63,179.05,312.26,395.12
Sustainable Retail Fund,2020-06-26,"Beyond Meat, Inc.",585529,7579,177254961.22,484.28,879.9,529.11
Global Short Term Credit Fund,2017-05-19,Bank of America Corp.,327601,2905,189366220.71,744.05,696.15,715.57
Global Cross Asset Fund,2018-08-31,Alibaba Group Holding Ltd.,759163,872,132223312.52,54.52,812.28,684.78
Equity Diversified Selection Fund,2017-01-04,"Netflix, Inc.",545850,4533,443783412.38,172.62,831.62,765.25
Fixed Maturity 2027 Bond Fund,2020-02-02,Volkswagen AG,147023,79,370657987.89,965.63,260.82,667.24
Impact Credit Strategies Fund,2019-08-23,"SolarEdge Technologies, Inc.",398189,300,286768755.99,222.98,121.95,203.38
Equity Diversified Selection Fund,2019-03-13,"Facebook, Inc.",207798,-7263,283622251.03,387.89,31.29,132.51
Sustainable Retail Fund,2019-12-28,"Tesla, Inc.",655735,-3723,26715330.09,639.54,382.63,283.67
Fixed Maturity 2025 Bond Fund,2018-11-04,BP Plc,48441,6645,412846364.05,317.4,198.22,373.91
Sustainable Retail Fund,2022-03-02,"Tesla, Inc.",972335,3842,402868636.68,692.16,22.8,540.63
Global Short Term Credit Fund,2021-05-12,Bank of America Corp.,136578,-8131,322584031.19,447.31,307.76,413.54
Equity Diversified Selection Fund,2017-08-29,"Netflix, Inc.",486304,5607,111771932.84,563.87,839.81,116.76
Global Cross Asset Fund,2018-09-29,Johnson & Johnson,807602,-3909,208307759.01,547.22,495.73,221.75
Subordinated Financials Fund,2018-05-06,Morgan Stanley,457750,9985,5002003.77,699.95,118.63,763.25
Subordinated Financials Fund,2018-01-10,"Goldman Sachs Group, Inc.",531468,-5762,463437074.98,671.66,853.46,135.7
Sustainable Retail Fund,2019-05-11,"The Hain Celestial Group, Inc.",604989,6395,35535770.38,766.28,241.44,237.4
Fixed Maturity 2027 Bond Fund,2017-10-13,Toyota Motor Corp.,182469,6737,413812542.57,679.28,101.53,140.55
Community Savings Bond Fund,2022-06-06,Nestlé SA,624870,-9571,283907289.67,832.81,164.26,624.17
Global Cross Asset Fund,2022-09-09,Alibaba Group Holding Ltd.,677799,-3146,338360401.32,743.86,805.77,573.9
Impact Credit Strategies Fund,2017-03-22,"First Solar, Inc.",83960,472,91852293.57,59.66,843.78,200.5
International Fixed Duration Fund,2018-05-03,AXA SA,353626,-3373,145626249.96,332.37,282.87,163.34
Equity Diversified Selection Fund,2022-06-02,"Facebook, Inc.",956966,-9832,256610207.18,964.51,473.59,137.31
Community Savings Bond Fund,2018-02-07,"Walmart, Inc.",404779,3776,427293124.04,495.14,325.91,798.62
Community Savings Bond Fund,2017-04-19,Nestlé SA,961405,-7818,55061072.41,821.99,787.41,149.56
Subordinated Financials Fund,2018-07-16,Citigroup Inc.,32245,-6284,91682074.66,998.87,263.03,414.08
Target Maturity 2029 Bond Fund,2020-09-18,"Apple, Inc.",712926,5199,247175442.78,938.53,604.43,726.23
Equity Diversified Selection Fund,2019-05-27,Google LLC,557790,-3873,167279906.49,250.28,399.97,727.21
Fixed Maturity 2025 Bond Fund,2020-04-30,BP Plc,819802,-6289,450864190.46,397.32,995.42,85.23
Global Cross Asset Fund,2018-04-23,Alibaba Group Holding Ltd.,754976,8076,7167751.31,829.41,805.7,787.3
Subordinated Financials Fund,2019-09-02,Morgan Stanley,135866,-3835,453322841.43,959.16,462.28,219.83
Community Savings Bond Fund,2020-09-27,"Walmart, Inc.",182396,-2026,207185959.7,84.43,371.56,129.36
Target Maturity 2029 Bond Fund,2020-07-07,"Amazon.com, Inc.",849218,-4113,339660028.45,685.91,931.09,903.36
Fixed Maturity 2025 Bond Fund,2021-12-15,Exxon Mobil Corp.,858787,-1170,232136343.36,288.8,985.36,783.11
International Fixed Duration Fund,2020-12-14,Allianz SE,428115,2703,161094715.96,305.97,194.98,803.23
Fixed Maturity 2025 Bond Fund,2021-03-04,BP Plc,743787,-3431,490849152.55,830.71,686.18,147.25
Target Maturity 2029 Bond Fund,2019-01-23,"Amazon.com, Inc.",433565,1246,158950637.93,974.51,304.58,692.8
Impact Credit Strategies Fund,2017-05-30,"First Solar, Inc.",735536,-870,388692122.43,93.13,952.77,372.15
Target Maturity 2029 Bond Fund,2018-12-12,Microsoft Corp.,296284,1524,335479490.46,393.64,40.02,914.71
Global Cross Asset Fund,2018-06-08,"Berkshire Hathaway, Inc.",852221,4994,286492370.51,807.68,406.89,34.33
Impact Credit Strategies Fund,2022-11-15,"First Solar, Inc.",732703,-195,161938766.69,701.27,434.57,243.02
Subordinated Financials Fund,2022-01-05,Morgan Stanley,599583,-2551,240090147.59,638.15,966.22,469.78
Subordinated Financials Fund,2022-06-14,"Goldman Sachs Group, Inc.",853995,-2358,484650188.53,602.27,11.55,52.72
Global Short Term Credit Fund,2020-07-28,JPMorgan Chase & Co.,716584,-6976,449539125.52,696.54,566.35,668.71
Global Cross Asset Fund,2017-09-22,"Berkshire Hathaway, Inc.",257494,4481,258363332.83,382.44,160.0,514.65
Target Maturity 2029 Bond Fund,2022-02-25,"Amazon.com, Inc.",490636,9803,357137228.78,374.6,240.27,662.45
Subordinated Financials Fund,2017-01-15,"Goldman Sachs Group, Inc.",771475,-3339,29374740.74,875.77,520.14,539.54
Sustainable Retail Fund,2022-11-01,"Beyond Meat, Inc.",108273,-9515,248043947.55,514.88,925.51,606.36
Target Maturity 2029 Bond Fund,2019-06-15,"Apple, Inc.",241455,-9410,192495419.31,982.26,368.16,429.27
Fixed Maturity 2025 Bond Fund,2022-05-26,BP Plc,657045,8200,415936738.72,922.42,762.22,227.49
Sustainable Retail Fund,2022-02-16,"Beyond Meat, Inc.",688987,9724,171969740.15,259.87,532.45,160.41
Global Cross Asset Fund,2022-11-01,Johnson & Johnson,236301,-2824,471995895.62,191.38,989.43,40.8
Fixed Maturity 2027 Bond Fund,2022-06-07,Ford Motor Co.,233313,-8563,248214407.54,384.19,318.95,328.19
Global Cross Asset Fund,2019-09-12,Johnson & Johnson,712773,1528,279326664.45,649.23,458.51,715.51
Fixed Maturity 2027 Bond Fund,2018-09-21,Volkswagen AG,962225,-5619,46385235.86,964.21,652.09,530.92
International Fixed Duration Fund,2022-02-12,Allianz SE,233581,3408,372787977.4,188.04,851.47,996.11
Global Short Term Credit Fund,2021-09-24,HSBC Holdings Plc,439728,2953,344165408.58,700.81,125.81,137.5
Impact Credit Strategies Fund,2017-11-19,"First Solar, Inc.",192797,6249,417270677.4,957.35,872.59,535.78
Fixed Maturity 2027 Bond Fund,2020-07-05,Volkswagen AG,376551,9044,250024429.64,985.66,657.95,688.02
Global Short Term Credit Fund,2019-06-09,Bank of America Corp.,785727,6262,491854537.01,682.08,980.64,501.29
Sustainable Retail Fund,2021-09-13,"The Hain Celestial Group, Inc.",273891,959,485227159.76,332.34,159.73,427.14
Global Short Term Credit Fund,2021-06-18,Bank of America Corp.,807006,5671,254451353.95,51.39,567.62,827.7
Target Maturity 2029 Bond Fund,2018-02-17,"Amazon.com, Inc.",817182,3980,483746031.2,127.33,149.7,613.57
Global Cross Asset Fund,2017-10-11,"Berkshire Hathaway, Inc.",555001,-7806,321161201.54,716.77,279.38,726.33
Global Short Term Credit Fund,2017-03-31,Bank of America Corp.,17022,4326,416447889.66,28.96,562.1,247.83
Target Maturity 2029 Bond Fund,2017-10-20,"Apple, Inc.",271613,-8373,83824365.18,855.8,608.29,479.01
Community Savings Bond Fund,2022-12-08,"Walmart, Inc.",671106,-3788,487377474.85,36.4,390.33,233.42
Fixed Maturity 2025 Bond Fund,2019-12-01,Exxon Mobil Corp.,239602,2984,329716445.39,569.54,850.88,728.13
Impact Credit Strategies Fund,2021-10-11,"First Solar, Inc.",285527,2089,473867502.05,267.8,800.15,509.26
Target Maturity 2029 Bond Fund,2019-04-21,"Amazon.com, Inc.",908662,8521,302145679.77,606.87,405.78,912.98
Fixed Maturity 2025 Bond Fund,2022-09-03,BP Plc,968002,-4118,203103548.64,250.47,685.7,298.0
Equity Diversified Selection Fund,2022-09-01,"Facebook, Inc.",910192,356,393862492.94,225.25,468.0,29.74
Subordinated Financials Fund,2021-11-19,"Goldman Sachs Group, Inc.",922727,-3039,364718976.41,910.89,163.03,352.19
Community Savings Bond Fund,2020-04-13,Nestlé SA,394863,9489,92735798.18,801.17,726.5,95.56
Fixed Maturity 2027 Bond Fund,2022-11-03,Toyota Motor Corp.,845141,-4297,340625225.2,416.77,80.7,247.17
Equity Diversified Selection Fund,2020-02-21,Google LLC,489144,9142,91662488.46,622.78,182.47,534.09
International Fixed Duration Fund,2022-08-22,Ping An Insurance (Group) Co. of China Ltd.,168771,-4788,98808935.03,983.57,634.24,752.96
Global Cross Asset Fund,2021-01-02,"Berkshire Hathaway, Inc.",182804,8319,436185548.5,601.61,406.59,102.12
Fixed Maturity 2025 Bond Fund,2019-04-10,Exxon Mobil Corp.,782209,2885,4458098.87,682.42,632.93,31.74
Subordinated Financials Fund,2021-04-13,Citigroup Inc.,525251,1006,266209930.98,161.72,731.38,922.07
Target Maturity 2029 Bond Fund,2019-04-23,"Amazon.com, Inc.",194868,3597,316755081.15,959.74,424.65,487.91
Global Cross Asset Fund,2017-09-02,Johnson & Johnson,857848,-510,402377470.15,296.84,978.16,852.9
International Fixed Duration Fund,2020-02-03,Allianz SE,685970,4120,365629254.86,57.59,109.21,588.39
Sustainable Retail Fund,2020-10-24,"Tesla, Inc.",927769,8633,437824327.45,385.6,781.7,725.12
Global Short Term Credit Fund,2019-11-20,HSBC Holdings Plc,677708,-1377,246271344.11,837.44,804.49,13.51
Subordinated Financials Fund,2020-02-25,"Goldman Sachs Group, Inc.",163876,4092,52582649.52,451.33,727.02,517.11
Sustainable Retail Fund,2018-02-24,"Tesla, Inc.",462961,-4132,439999230.32,557.83,576.69,361.97
Equity Diversified Selection Fund,2017-11-10,Google LLC,768858,6896,93469350.86,276.02,292.22,214.66
Global Cross Asset Fund,2019-06-05,Johnson & Johnson,964177,-7545,153314174.67,954.45,631.39,432.37
Global Cross Asset Fund,2019-12-25,Alibaba Group Holding Ltd.,590679,-6701,119860727.78,591.87,669.02,125.91
Equity Diversified Selection Fund,2017-05-05,"Facebook, Inc.",569964,7411,260844243.51,476.75,52.3,552.99
International Fixed Duration Fund,2018-08-23,AXA SA,953154,-7725,361535643.17,688.86,556.81,212.61
Fixed Maturity 2027 Bond Fund,2021-06-08,Toyota Motor Corp.,380938,848,238326662.43,948.04,190.9,541.17
Fixed Maturity 2025 Bond Fund,2018-04-13,Exxon Mobil Corp.,640453,-5059,451682367.48,414.02,988.39,900.56
Fixed Maturity 2027 Bond Fund,2020-01-07,Ford Motor Co.,907377,-3228,237445447.59,469.83,110.52,369.76
International Fixed Duration Fund,2021-02-09,Ping An Insurance (Group) Co. of China Ltd.,792971,-3141,67992909.98,724.35,200.34,171.12
Global Short Term Credit Fund,2018-12-27,JPMorgan Chase & Co.,454096,2289,281614130.71,566.54,801.86,392.37
Sustainable Retail Fund,2021-05-04,"Beyond Meat, Inc.",342237,-1208,157759846.79,682.26,924.38,321.46
Target Maturity 2029 Bond Fund,2019-04-11,"Apple, Inc.",738101,4407,126504381.58,532.49,275.22,476.53
Impact Credit Strategies Fund,2021-07-28,"First Solar, Inc.",171733,-1587,346854839.77,272.8,133.42,361.37
Global Short Term Credit Fund,2021-10-08,Bank of America Corp.,178838,4138,278895242.8,856.73,150.54,369.58
Community Savings Bond Fund,2017-11-24,Nestlé SA,387055,6934,15255800.9,423.59,599.68,171.3
Equity Diversified Selection Fund,2022-06-24,Google LLC,310751,-5953,51890160.26,581.83,405.29,115.68
International Fixed Duration Fund,2022-01-09,AXA SA,935418,-439,304393336.63,275.42,134.54,316.7
Impact Credit Strategies Fund,2021-04-24,Vestas Wind Systems A/S,846577,-1975,402639072.54,313.24,871.72,676.52
Sustainable Retail Fund,2020-03-19,"The Hain Celestial Group, Inc.",557697,6834,61990113.76,862.88,779.45,992.29
Global Cross Asset Fund,2022-08-29,"Berkshire Hathaway, Inc.",301808,-4810,85549196.63,268.26,768.49,770.92
Target Maturity 2029 Bond Fund,2020-10-22,Microsoft Corp.,118929,8802,131694322.23,470.19,159.65,512.64
International Fixed Duration Fund,2020-04-29,Ping An Insurance (Group) Co. of China Ltd.,313979,-1382,7679291.24,812.34,431.83,449.67
Global Short Term Credit Fund,2017-07-01,JPMorgan Chase & Co.,91188,6097,166074834.86,72.38,70.59,960.75
Impact Credit Strategies Fund,2020-10-16,Vestas Wind Systems A/S,748341,7411,402108502.85,338.32,801.98,583.03
Global Short Term Credit Fund,2018-09-22,JPMorgan Chase & Co.,300180,3072,144641617.09,569.78,683.83,931.46
Sustainable Retail Fund,2022-12-28,"Tesla, Inc.",927582,2291,462551834.69,489.74,633.46,914.25
Community Savings Bond Fund,2021-04-16,"Walmart, Inc.",826720,2432,274197877.31,516.0,808.85,50.0
Community Savings Bond Fund,2017-01-24,Procter & Gamble Co.,59001,-4840,314354922.7,235.1,402.46,107.52
Sustainable Retail Fund,2022-08-05,"The Hain Celestial Group, Inc.",454255,1487,217148709.75,708.08,205.56,124.66
Sustainable Retail Fund,2019-11-26,"Tesla, Inc.",317829,4357,460176258.41,850.72,647.62,658.16
Subordinated Financials Fund,2019-12-25,"Goldman Sachs Group, Inc.",325509,8648,350606708.79,596.96,584.41,405.36
Sustainable Retail Fund,2022-04-05,"Tesla, Inc.",730721,-7105,365648379.29,59.01,144.4,675.04
Equity Diversified Selection Fund,2021-07-15,Google LLC,612567,-5930,16330873.74,44.65,633.06,555.4
International Fixed Duration Fund,2020-06-08,Ping An Insurance (Group) Co. of China Ltd.,654690,-1571,403310459.5,343.76,31.41,493.06
International Fixed Duration Fund,2021-07-13,Ping An Insurance (Group) Co. of China Ltd.,480590,-396,471625226.27,253.02,352.25,187.08
Equity Diversified Selection Fund,2017-01-31,Google LLC,249455,-6725,45207952.72,361.89,149.72,528.23
Equity Diversified Selection Fund,2018-04-06,"Netflix, Inc.",857848,8551,395500277.58,222.45,350.2,823.3
International Fixed Duration Fund,2022-03-11,AXA SA,454896,4810,311203021.07,811.63,318.57,644.51
Sustainable Retail Fund,2018-05-13,"Beyond Meat, Inc.",57893,-3802,412267425.11,599.2,741.03,474.76
Impact Credit Strategies Fund,2019-08-23,"SolarEdge Technologies, Inc.",752104,-1819,444817623.47,33.4,892.62,939.05
International Fixed Duration Fund,2020-08-21,AXA SA,181733,6474,267057911.62,892.77,887.54,253.87
Sustainable Retail Fund,2022-03-19,"The Hain Celestial Group, Inc.",993607,-1334,361335413.17,932.68,946.82,730.44
Subordinated Financials Fund,2018-06-13,Morgan Stanley,663552,1891,285943402.71,160.9,888.23,978.32
Fixed Maturity 2025 Bond Fund,2017-06-01,BP Plc,409159,3518,327792196.42,403.24,522.31,118.48
Global Short Term Credit Fund,2020-07-01,JPMorgan Chase & Co.,185685,786,228471216.42,181.87,725.62,19.73
Fixed Maturity 2027 Bond Fund,2019-12-21,Volkswagen AG,277686,-3343,464033972.39,709.63,495.67,427.14
International Fixed Duration Fund,2020-11-24,Allianz SE,511356,-9631,245318647.07,69.87,182.31,606.89
Global Short Term Credit Fund,2019-03-22,Bank of America Corp.,495052,4186,405175415.57,827.72,238.43,330.69
Equity Diversified Selection Fund,2021-07-03,"Facebook, Inc.",424793,4429,327262730.18,621.8,365.38,342.33
Sustainable Retail Fund,2017-03-08,"The Hain Celestial Group, Inc.",828792,4457,241385189.67,486.08,732.78,633.54
Equity Diversified Selection Fund,2022-12-29,Google LLC,129035,-11,482919199.85,304.12,745.34,715.1
Fixed Maturity 2025 Bond Fund,2021-12-25,Exxon Mobil Corp.,404405,-3227,377413065.8,812.61,40.99,650.97
Global Short Term Credit Fund,2018-04-12,HSBC Holdings Plc,744785,-1972,11745471.14,263.13,679.96,603.81
Global Cross Asset Fund,2017-05-06,Johnson & Johnson,781561,-7568,252031414.12,613.14,280.0,752.65
Impact Credit Strategies Fund,2021-09-22,"SolarEdge Technologies, Inc.",818238,5545,265890734.48,988.18,740.33,117.27
Impact Credit Strategies Fund,2018-04-04,"SolarEdge Technologies, Inc.",2773,-316,155225401.17,862.6,848.6,674.75
Community Savings Bond Fund,2017-06-04,Nestlé SA,276647,-5654,363321787.38,881.72,975.7,814.15
International Fixed Duration Fund,2018-03-15,Ping An Insurance (Group) Co. of China Ltd.,406166,3614,490137237.89,560.74,819.77,926.27
Fixed Maturity 2025 Bond Fund,2021-06-30,Exxon Mobil Corp.,247737,5768,393342584.89,16.34,66.46,191.68
Fixed Maturity 2027 Bond Fund,2018-12-26,Toyota Motor Corp.,221842,-7201,319751178.05,561.21,327.04,394.17
