FUND,DATE,COMPANY_NAME,TOTAL_SHARES,CHANGES_IN_SHARE,MARKET_CAP,PRICE,PRICE_50D_MOVING_AVERAGE,PRICE_200D_MOVING_AVERAGE
Equity Diversified Selection Fund,2019-07-08,"Netflix, Inc.",961342,-3170,44323847.02,518.16,139.84,456.46
Impact Credit Strategies Fund,2017-07-17,Vestas Wind Systems A/S,225086,-3625,22221932.37,357.8,229.7,960.1
Global Cross Asset Fund,2017-08-22,"Berkshire Hathaway, Inc.",350753,5643,241242200.23,949.35,435.34,457.8
Global Cross Asset Fund,2021-07-19,Alibaba Group Holding Ltd.,30978,9882,493280443.16,833.24,696.46,51.85
Impact Credit Strategies Fund,2022-10-26,"First Solar, Inc.",659179,4685,91891980.82,297.98,204.72,370.79
Equity Diversified Selection Fund,2018-07-14,"Facebook, Inc.",357984,-755,398759966.36,852.23,881.55,104.61
Global Cross Asset Fund,2020-07-18,Alibaba Group Holding Ltd.,743434,5039,10576858.13,670.07,165.83,592.67
International Fixed Duration Fund,2021-04-17,AXA SA,305229,-9820,416816946.48,380.79,333.21,16.75
International Fixed Duration Fund,2022-12-07,Ping An Insurance (Group) Co. of China Ltd.,913793,8830,158302259.9,819.85,928.69,162.39
Fixed Maturity 2027 Bond Fund,2017-08-17,Ford Motor Co.,349085,4443,238148015.02,285.21,209.43,405.72
Equity Diversified Selection Fund,2021-12-27,"Facebook, Inc.",903692,-424,73204423.34,867.16,112.19,837.73
Community Savings Bond Fund,2022-07-27,Procter & Gamble Co.,148583,-2258,162757060.56,514.35,382.23,254.83
Community Savings Bond Fund,2022-09-11,"Walmart, Inc.",982678,1167,153933844.25,443.21,498.63,418.02
Equity Diversified Selection Fund,2017-09-19,Google LLC,998755,5361,473771028.55,192.94,20.09,533.15
Sustainable Retail Fund,2022-04-06,"Tesla, Inc.",833183,-7826,31177891.35,979.1,595.34,754.8
Impact Credit Strategies Fund,2020-08-25,Vestas Wind Systems A/S,885241,-8973,124064949.55,225.27,979.79,797.27
Global Short Term Credit Fund,2019-06-11,JPMorgan Chase & Co.,701583,7870,369045467.95,156.87,639.59,367.77
Equity Diversified Selection Fund,2022-11-22,Google LLC,143098,2236,184961894.16,33.41,54.86,747.83
International Fixed Duration Fund,2018-04-27,AXA SA,967768,7555,87263733.38,432.27,64.68,428.62
International Fixed Duration Fund,2017-03-11,Allianz SE,507842,5013,202053200.91,230.07,673.38,430.77
International Fixed Duration Fund,2021-08-22,AXA SA,3959,-5664,419400356.08,60.67,230.14,870.03
Fixed Maturity 2025 Bond Fund,2022-06-08,BP Plc,631966,7126,76832032.63,169.94,305.62,85.92
Impact Credit Strategies Fund,2018-05-25,"SolarEdge Technologies, Inc.",601815,-5924,410701181.62,944.39,429.01,913.84
Subordinated Financials Fund,2018-03-06,Citigroup Inc.,172296,-4960,462157057.57,902.47,210.87,866.25
Fixed Maturity 2025 Bond Fund,2022-01-19,BP Plc,904969,-9784,207978223.78,230.76,272.07,589.81
Global Cross Asset Fund,2020-11-11,"Berkshire Hathaway, Inc.",848741,6150,327200068.64,755.99,216.09,385.89
Global Short Term Credit Fund,2020-02-28,Bank of America Corp.,450210,1388,6220098.98,170.06,383.04,648.82
Impact Credit Strategies Fund,2018-06-21,"First Solar, Inc.",626751,8531,437087068.89,625.3,956.32,201.78
Equity Diversified Selection Fund,2019-05-20,"Netflix, Inc.",75669,7315,135569730.16,135.94,217.66,430.03
Fixed Maturity 2025 Bond Fund,2018-03-26,BP Plc,635746,7673,260410506.63,921.01,474.52,934.88
Subordinated Financials Fund,2017-08-21,"Goldman Sachs Group, Inc.",274649,8202,240619520.2,210.47,456.57,360.82
Sustainable Retail Fund,2017-06-10,"The Hain Celestial Group, Inc.",811038,-7712,432632222.97,136.42,221.77,56.22
Equity Diversified Selection Fund,2020-05-17,"Netflix, Inc.",69956,4333,102479058.13,394.86,904.84,17.64
Equity Diversified Selection Fund,2020-05-11,Google LLC,487428,9164,349781294.89,981.45,309.45,250.87
Sustainable Retail Fund,2021-07-24,"Beyond Meat, Inc.",29531,-8244,382039491.34,976.91,516.93,678.78
Target Maturity 2029 Bond Fund,2019-08-31,"Apple, Inc.",420173,-3033,380137837.54,397.92,451.7,835.85
Subordinated Financials Fund,2019-01-04,Citigroup Inc.,721293,-6633,4570265.23,784.29,778.14,390.36
Equity Diversified Selection Fund,2019-07-01,"Facebook, Inc.",101459,1772,413928323.7,396.03,458.5,847.98
Subordinated Financials Fund,2018-11-03,Citigroup Inc.,273535,-7678,217292659.28,663.95,585.41,570.99
Community Savings Bond Fund,2020-02-28,"Walmart, Inc.",771928,-7934,77868995.83,308.34,244.81,356.25
Target Maturity 2029 Bond Fund,2018-04-01,"Apple, Inc.",657321,4753,157912960.67,739.16,361.44,333.13
Target Maturity 2029 Bond Fund,2017-07-31,Microsoft Corp.,547064,-9323,348169332.32,596.5,746.85,455.4
Target Maturity 2029 Bond Fund,2018-12-02,"Amazon.com, Inc.",914000,9073,81334847.28,157.55,427.07,650.84
Target Maturity 2029 Bond Fund,2020-03-24,Microsoft Corp.,607513,-5419,309273021.51,432.9,284.92,773.64
International Fixed Duration Fund,2019-03-20,Allianz SE,970829,-6249,96680332.47,189.08,22.6,244.35
Impact Credit Strategies Fund,2021-05-12,"SolarEdge Technologies, Inc.",762073,4445,306577799.99,638.67,571.4,546.96
Impact Credit Strategies Fund,2018-05-29,"SolarEdge Technologies, Inc.",358144,-9380,78155439.89,137.3,469.29,350.72
Equity Diversified Selection Fund,2022-06-02,"Facebook, Inc.",330213,-7853,400847581.4,888.48,939.05,577.28
Target Maturity 2029 Bond Fund,2019-09-21,"Amazon.com, Inc.",128575,-6437,47452961.13,199.81,785.77,461.49
Equity Diversified Selection Fund,2019-08-27,"Facebook, Inc.",737062,-3776,30707406.99,714.1,744.85,257.72
Global Short Term Credit Fund,2020-07-20,Bank of America Corp.,263454,-1278,451464584.46,863.48,634.81,340.23
Subordinated Financials Fund,2020-09-23,"Goldman Sachs Group, Inc.",998348,-6972,477784098.38,338.91,491.41,433.3
Equity Diversified Selection Fund,2017-01-21,"Facebook, Inc.",489399,7885,3912326.95,805.41,756.05,729.06
Fixed Maturity 2027 Bond Fund,2018-01-22,Volkswagen AG,744055,-5686,142117436.75,317.08,64.1,893.68
Impact Credit Strategies Fund,2017-04-27,"SolarEdge Technologies, Inc.",500478,-3020,113690833.98,273.61,528.26,827.75
Target Maturity 2029 Bond Fund,2022-02-06,Microsoft Corp.,302518,3984,88169707.51,618.66,226.03,967.24
Fixed Maturity 2027 Bond Fund,2017-12-26,Toyota Motor Corp.,20507,-5476,445060360.24,88.38,162.99,146.54
Community Savings Bond Fund,2018-08-30,Procter & Gamble Co.,259827,10,382830649.19,258.18,341.28,129.05
Global Cross Asset Fund,2022-04-05,Alibaba Group Holding Ltd.,431741,-1184,161254102.02,25.35,719.54,831.68
Fixed Maturity 2027 Bond Fund,2020-08-29,Volkswagen AG,309707,-4950,242978136.44,796.2,710.2,570.55
Subordinated Financials Fund,2019-08-11,"Goldman Sachs Group, Inc.",490607,-6263,290247792.56,994.12,361.78,856.41
International Fixed Duration Fund,2020-10-15,Allianz SE,728888,-8106,460816478.65,61.06,939.8,36.17
Equity Diversified Selection Fund,2018-05-19,"Netflix, Inc.",187644,9867,139655619.09,662.41,410.38,302.3
Fixed Maturity 2025 Bond Fund,2017-06-08,Chevron Corp.,939640,-1909,54757332.22,816.2,69.04,632.06
Sustainable Retail Fund,2022-03-01,"Tesla, Inc.",725740,-4707,491666415.25,322.48,987.95,756.05
Sustainable Retail Fund,2017-04-11,"Beyond Meat, Inc.",165023,7363,342192085.06,191.15,587.04,210.7
Impact Credit Strategies Fund,2017-02-08,Vestas Wind Systems A/S,630380,6142,375560645.98,857.65,646.54,251.77
Impact Credit Strategies Fund,2018-01-14,Vestas Wind Systems A/S,845379,6894,112633834.42,562.24,516.06,206.82
Community Savings Bond Fund,2021-12-27,Procter & Gamble Co.,571044,1286,365455977.94,298.79,328.15,383.6
Impact Credit Strategies Fund,2018-09-21,Vestas Wind Systems A/S,378385,2260,56429219.56,676.55,216.84,29.63
Impact Credit Strategies Fund,2018-11-04,Vestas Wind Systems A/S,400342,6578,21013542.82,623.49,667.63,821.26
Fixed Maturity 2027 Bond Fund,2020-04-16,Toyota Motor Corp.,365412,5194,8433919.85,779.79,539.03,789.24
Global Short Term Credit Fund,2019-09-11,Bank of America Corp.,324135,-3557,411431357.81,944.5,125.53,819.76
Subordinated Financials Fund,2017-07-29,Citigroup Inc.,118322,-851,60466911.01,233.22,507.89,303.21
Global Short Term Credit Fund,2020-03-18,Bank of America Corp.,329300,-2541,111909296.02,892.48,911.59,614.5
Fixed Maturity 2025 Bond Fund,2022-06-06,Chevron Corp.,949886,4636,210173166.49,529.63,497.46,90.06
Fixed Maturity 2027 Bond Fund,2021-12-16,Ford Motor Co.,489896,-9745,82934779.1,780.91,957.17,838.61
International Fixed Duration Fund,2017-08-15,Allianz SE,372038,-952,274911913.86,288.28,296.42,998.38
Sustainable Retail Fund,2019-03-22,"The Hain Celestial Group, Inc.",525208,7739,77996670.11,754.35,246.27,586.7
Fixed Maturity 2027 Bond Fund,2017-08-14,Volkswagen AG,279110,3660,414131803.42,313.67,674.88,772.63
Global Short Term Credit Fund,2022-01-10,JPMorgan Chase & Co.,932755,4722,373833224.6,900.0,647.68,71.65
Sustainable Retail Fund,2021-08-10,"Tesla, Inc.",30363,-1330,193977751.32,670.58,925.77,140.11
Impact Credit Strategies Fund,2022-04-05,"SolarEdge Technologies, Inc.",689665,-5888,366092478.74,527.13,781.88,283.98
Equity Diversified Selection Fund,2019-03-13,Google LLC,893775,-2419,94012722.98,665.41,433.52,840.82
Sustainable Retail Fund,2019-08-24,"The Hain Celestial Group, Inc.",801606,2047,380077825.71,294.6,141.12,244.66
Subordinated Financials Fund,2021-09-19,Morgan Stanley,202877,283,59775764.63,580.23,765.84,208.16
Target Maturity 2029 Bond Fund,2020-04-04,"Amazon.com, Inc.",201635,-1014,493347469.51,187.86,55.22,685.01
Impact Credit Strategies Fund,2020-08-11,Vestas Wind Systems A/S,980156,-9307,393819744.33,638.9,673.08,794.49
Fixed Maturity 2027 Bond Fund,2018-10-21,Ford Motor Co.,258902,7275,215645550.3,71.06,583.08,412.93
Subordinated Financials Fund,2019-12-15,Morgan Stanley,422384,-353,321087066.08,297.87,947.0,597.43
Global Cross Asset Fund,2021-09-16,"Berkshire Hathaway, Inc.",976395,-5434,175484797.95,703.33,875.06,137.14
Fixed Maturity 2025 Bond Fund,2022-12-22,Exxon Mobil Corp.,627261,-6952,175137153.45,687.29,787.22,533.01
Target Maturity 2029 Bond Fund,2020-06-01,"Apple, Inc.",439087,-8961,351389958.76,190.05,214.28,644.66
Sustainable Retail Fund,2020-05-02,"The Hain Celestial Group, Inc.",203235,1524,8481200.6,286.9,41.09,325.88
Equity Diversified Selection Fund,2019-10-18,Google LLC,717986,5185,220257386.43,853.22,716.38,891.87
Sustainable Retail Fund,2021-11-20,"Beyond Meat, Inc.",921840,9513,88946680.37,345.18,87.27,548.18
Fixed Maturity 2025 Bond Fund,2018-02-06,Chevron Corp.,964996,-4194,40262132.16,313.46,10.07,468.16
Equity Diversified Selection Fund,2022-11-09,Google LLC,134858,4410,212890725.89,699.57,459.67,330.53
Equity Diversified Selection Fund,2017-01-17,"Netflix, Inc.",551092,-349,498199760.03,59.2,807.66,381.45
Target Maturity 2029 Bond Fund,2019-12-24,"Apple, Inc.",174141,-5690,239894909.27,571.68,338.32,217.06
Community Savings Bond Fund,2022-08-18,Nestlé SA,992041,7121,357349016.12,128.44,73.83,570.89
Sustainable Retail Fund,2017-11-15,"Beyond Meat, Inc.",84852,-9984,250826685.53,167.68,278.73,597.79
Subordinated Financials Fund,2021-12-05,Morgan Stanley,171340,1684,221714104.91,280.4,588.39,605.04
Equity Diversified Selection Fund,2020-08-13,"Netflix, Inc.",345546,-8947,439545825.92,225.71,959.67,160.61
Equity Diversified Selection Fund,2022-06-17,Google LLC,901861,-8864,254297925.83,458.65,959.91,317.5
Impact Credit Strategies Fund,2019-01-04,"First Solar, Inc.",213178,6519,87706124.1,40.76,600.91,522.97
Global Cross Asset Fund,2019-09-22,Johnson & Johnson,231117,2947,126350378.48,721.3,786.62,251.3
International Fixed Duration Fund,2020-07-05,Allianz SE,868345,-272,400581610.62,470.81,172.83,534.4
Subordinated Financials Fund,2017-09-25,Morgan Stanley,405079,-4083,457281400.93,346.32,558.65,531.2
Subordinated Financials Fund,2018-12-05,"Goldman Sachs Group, Inc.",181933,-4425,285416796.43,703.15,70.96,708.78
Impact Credit Strategies Fund,2017-04-06,"SolarEdge Technologies, Inc.",814135,-4773,436525222.61,932.93,85.93,442.22
Community Savings Bond Fund,2017-05-11,"Walmart, Inc.",125817,-7598,86207442.7,810.05,698.46,88.72
Sustainable Retail Fund,2020-11-30,"Tesla, Inc.",144293,1791,113177850.4,73.38,377.91,394.5
Fixed Maturity 2025 Bond Fund,2017-07-14,Exxon Mobil Corp.,683172,8449,342864549.53,974.4,839.99,624.41
Global Cross Asset Fund,2022-01-07,Johnson & Johnson,475993,2354,215050831.26,22.91,282.24,923.83
Equity Diversified Selection Fund,2021-06-17,"Facebook, Inc.",114234,-9103,220531522.01,348.54,427.64,470.71
Global Short Term Credit Fund,2021-01-05,HSBC Holdings Plc,877363,6913,483492379.59,580.8,300.06,98.58
International Fixed Duration Fund,2020-01-09,AXA SA,9505,2570,105330868.64,35.39,548.18,713.25
Fixed Maturity 2027 Bond Fund,2018-03-26,Toyota Motor Corp.,734882,-3691,451378719.91,608.5,881.45,496.87
Global Short Term Credit Fund,2021-03-15,Bank of America Corp.,881005,8060,315984342.74,723.94,518.51,368.89
Community Savings Bond Fund,2019-02-20,"Walmart, Inc.",544160,-859,270114401.17,597.84,914.98,197.35
Fixed Maturity 2025 Bond Fund,2017-02-16,Exxon Mobil Corp.,176152,-1593,154871950.34,453.74,526.13,251.41
Global Cross Asset Fund,2020-07-23,Johnson & Johnson,575678,5145,373152436.43,985.46,483.44,954.53
Community Savings Bond Fund,2020-06-12,Procter & Gamble Co.,853565,7772,295142486.03,290.01,255.48,844.33
International Fixed Duration Fund,2022-04-08,Allianz SE,5798,9722,95531853.64,474.13,707.65,274.49
Equity Diversified Selection Fund,2020-01-31,"Netflix, Inc.",94927,727,432192093.01,706.8,548.23,129.48
Fixed Maturity 2025 Bond Fund,2020-03-29,BP Plc,982082,1159,172799913.8,881.2,266.37,856.83
Equity Diversified Selection Fund,2020-02-11,"Netflix, Inc.",303042,-5423,40801078.44,842.02,325.83,421.97
Global Cross Asset Fund,2021-11-12,"Berkshire Hathaway, Inc.",127511,8250,339897207.69,794.82,244.14,445.86
Global Short Term Credit Fund,2017-05-23,HSBC Holdings Plc,307287,-2593,352434331.06,377.13,59.72,367.83
Global Short Term Credit Fund,2021-11-21,JPMorgan Chase & Co.,993957,340,383290392.68,65.84,235.1,752.73
Equity Diversified Selection Fund,2020-05-27,Google LLC,224238,9550,218455093.23,958.73,494.26,325.98
Equity Diversified Selection Fund,2020-08-07,Google LLC,581715,-5110,488806279.98,774.9,307.06,982.76
Subordinated Financials Fund,2020-07-01,"Goldman Sachs Group, Inc.",686924,3170,470913827.85,295.03,902.7,177.5
Equity Diversified Selection Fund,2017-03-05,Google LLC,382792,-6790,113347023.73,189.71,481.03,202.39
Community Savings Bond Fund,2017-07-21,"Walmart, Inc.",652798,3071,466629728.03,676.5,109.84,713.04
Fixed Maturity 2027 Bond Fund,2018-03-27,Volkswagen AG,302433,1497,143116081.88,323.92,239.21,841.08
Community Savings Bond Fund,2021-11-02,"Walmart, Inc.",30052,8596,234845546.69,428.68,162.94,148.39
Impact Credit Strategies Fund,2018-12-22,"SolarEdge Technologies, Inc.",291648,2361,419230152.41,512.04,543.97,807.7
Sustainable Retail Fund,2022-03-06,"Beyond Meat, Inc.",277782,4201,14395893.38,576.22,430.8,284.72
International Fixed Duration Fund,2021-09-03,AXA SA,443664,6066,68420280.63,762.78,237.06,702.32
Fixed Maturity 2025 Bond Fund,2017-03-29,Chevron Corp.,205352,-8204,189656896.18,423.95,884.95,822.71
Global Short Term Credit Fund,2022-05-26,JPMorgan Chase & Co.,159846,4824,168031048.68,139.43,354.74,160.21
Fixed Maturity 2025 Bond Fund,2021-06-08,Chevron Corp.,61343,1603,413040006.88,104.37,859.93,902.42
Fixed Maturity 2025 Bond Fund,2022-10-25,Chevron Corp.,538750,-7867,319784618.66,660.41,752.02,110.19
Impact Credit Strategies Fund,2022-12-21,Vestas Wind Systems A/S,317135,3620,460825753.11,210.94,64.17,824.21
International Fixed Duration Fund,2019-03-10,Ping An Insurance (Group) Co. of China Ltd.,692187,-1190,231012876.49,978.01,469.12,455.91
Impact Credit Strategies Fund,2019-03-26,"SolarEdge Technologies, Inc.",188350,703,424991147.05,873.37,173.36,309.01
Equity Diversified Selection Fund,2022-04-12,"Netflix, Inc.",34514,8531,61925354.32,974.21,939.61,779.3
International Fixed Duration Fund,2018-10-22,AXA SA,516481,6196,89449370.82,570.02,665.18,874.97
Target Maturity 2029 Bond Fund,2022-06-28,"Amazon.com, Inc.",403901,-1351,101821946.57,762.36,34.88,709.31
Subordinated Financials Fund,2019-05-13,"Goldman Sachs Group, Inc.",28515,6785,253885804.18,524.89,265.87,815.98
Subordinated Financials Fund,2018-11-20,Citigroup Inc.,776313,5590,433412628.25,478.05,135.8,742.26
Global Short Term Credit Fund,2021-07-19,HSBC Holdings Plc,243560,-8656,238341559.47,896.03,321.47,383.61
International Fixed Duration Fund,2018-11-21,Allianz SE,741749,4115,450611639.33,995.4,370.59,26.26
Global Short Term Credit Fund,2021-12-04,Bank of America Corp.,749695,4408,209535789.69,535.83,630.42,152.03
Global Cross Asset Fund,2017-02-10,"Berkshire Hathaway, Inc.",787426,-3910,354123156.5,903.2,998.96,886.13
Global Short Term Credit Fund,2020-11-15,HSBC Holdings Plc,519846,-6105,337517847.4,510.29,711.97,325.15
Sustainable Retail Fund,2019-08-06,"Tesla, Inc.",673292,-8175,307151032.76,609.1,315.65,598.52
International Fixed Duration Fund,2020-02-12,Ping An Insurance (Group) Co. of China Ltd.,493395,-4517,170318882.32,622.5,193.85,198.71
Community Savings Bond Fund,2020-04-02,Procter & Gamble Co.,729010,-9589,469459220.41,92.53,790.42,478.04
Community Savings Bond Fund,2020-09-07,Procter & Gamble Co.,202894,3540,380944278.39,57.73,541.15,859.07
Fixed Maturity 2025 Bond Fund,2019-09-26,Exxon Mobil Corp.,272988,6647,351519044.55,31.95,152.02,750.39
Subordinated Financials Fund,2020-06-23,"Goldman Sachs Group, Inc.",524274,-6145,118367405.6,962.6,296.43,61.05
Community Savings Bond Fund,2020-01-04,Nestlé SA,687075,6749,237071384.1,691.1,718.61,282.63
Impact Credit Strategies Fund,2017-03-23,"First Solar, Inc.",228782,3374,317034548.31,394.36,147.62,637.4
Equity Diversified Selection Fund,2022-01-15,Google LLC,284975,8221,248866127.87,228.3,426.14,266.29
Community Savings Bond Fund,2021-06-20,Procter & Gamble Co.,545321,-5406,343939236.81,696.27,418.67,196.61
Target Maturity 2029 Bond Fund,2022-03-17,"Amazon.com, Inc.",616932,8586,15112746.52,411.77,291.75,888.15
Subordinated Financials Fund,2021-08-02,Citigroup Inc.,90307,1596,163831929.0,254.45,121.92,987.61
Equity Diversified Selection Fund,2020-09-21,"Netflix, Inc.",346393,-2702,418905209.74,311.95,818.07,382.4
Subordinated Financials Fund,2017-11-16,Morgan Stanley,229165,-8708,382678460.56,704.41,688.62,514.4
Fixed Maturity 2027 Bond Fund,2019-07-25,Ford Motor Co.,53418,-3553,351845467.98,761.64,796.67,566.48
Sustainable Retail Fund,2021-05-05,"Tesla, Inc.",192461,-1674,234124598.56,237.68,655.66,197.51
Target Maturity 2029 Bond Fund,2021-01-12,"Apple, Inc.",52806,8662,172253192.57,453.86,551.01,59.48
Fixed Maturity 2025 Bond Fund,2021-04-14,BP Plc,185563,2289,243292903.77,705.72,318.25,640.97
Global Cross Asset Fund,2021-02-15,Alibaba Group Holding Ltd.,845080,229,199173355.08,691.73,548.18,564.79
Community Savings Bond Fund,2020-06-05,Procter & Gamble Co.,13709,9094,246597432.54,355.99,727.82,515.46
Impact Credit Strategies Fund,2020-12-30,"SolarEdge Technologies, Inc.",697866,139,300960761.98,63.32,913.15,236.02
Subordinated Financials Fund,2020-07-18,Morgan Stanley,469447,-1685,366630747.94,692.36,919.54,660.89
Target Maturity 2029 Bond Fund,2022-05-04,"Amazon.com, Inc.",871450,-160,468738986.91,973.86,892.26,711.64
Fixed Maturity 2025 Bond Fund,2022-05-06,Chevron Corp.,380967,-5592,72773033.22,965.24,822.65,477.1
Fixed Maturity 2025 Bond Fund,2017-03-27,Chevron Corp.,324941,9009,397671444.56,559.82,478.12,583.84
Fixed Maturity 2025 Bond Fund,2022-05-06,BP Plc,849702,4817,104556287.47,793.96,379.06,632.61
Global Short Term Credit Fund,2020-07-14,JPMorgan Chase & Co.,541096,-7255,366492255.36,700.97,143.36,261.66
Impact Credit Strategies Fund,2022-03-03,"First Solar, Inc.",910775,6402,339492947.74,600.0,25.14,95.53
Equity Diversified Selection Fund,2017-04-29,Google LLC,62777,-5955,146188864.09,64.8,138.34,79.76
Fixed Maturity 2027 Bond Fund,2022-08-04,Ford Motor Co.,952590,7363,317019655.53,955.84,640.18,743.7
Global Cross Asset Fund,2017-11-03,Johnson & Johnson,309813,417,167965651.84,299.82,447.64,164.41
Fixed Maturity 2027 Bond Fund,2020-08-04,Ford Motor Co.,6289,7273,47706280.77,113.89,406.42,107.77
Target Maturity 2029 Bond Fund,2022-02-19,"Apple, Inc.",346477,9319,177166695.15,665.5,351.47,260.18
Impact Credit Strategies Fund,2020-03-15,"SolarEdge Technologies, Inc.",873500,-1675,399154522.97,707.87,263.81,98.61
Fixed Maturity 2025 Bond Fund,2019-06-26,Exxon Mobil Corp.,340069,6827,374339083.6,795.69,413.52,63.08
Community Savings Bond Fund,2021-06-29,Nestlé SA,576157,-8343,167418232.64,519.27,599.51,529.0
Fixed Maturity 2025 Bond Fund,2019-09-14,BP Plc,253792,-4355,415076938.68,236.92,725.63,390.51
Impact Credit Strategies Fund,2022-10-24,"SolarEdge Technologies, Inc.",926979,4140,439277476.43,905.36,311.7,665.33
Target Maturity 2029 Bond Fund,2022-10-29,Microsoft Corp.,778265,-865,397878589.14,261.54,304.76,648.57
Target Maturity 2029 Bond Fund,2018-12-04,"Apple, Inc.",472956,-2080,64664692.76,307.73,543.95,711.01
Target Maturity 2029 Bond Fund,2021-08-28,Microsoft Corp.,727694,9882,116802030.51,86.07,140.49,816.9
Target Maturity 2029 Bond Fund,2019-02-20,"Amazon.com, Inc.",337732,-8173,46838476.36,876.55,536.11,260.64
International Fixed Duration Fund,2021-07-17,Allianz SE,587377,4486,74010290.25,23.51,89.25,740.85
Fixed Maturity 2027 Bond Fund,2021-04-11,Toyota Motor Corp.,886153,-4730,251467993.09,739.98,110.02,205.56
Sustainable Retail Fund,2018-03-11,"Tesla, Inc.",379812,3596,480358130.81,253.14,872.67,77.08
Impact Credit Strategies Fund,2018-09-29,Vestas Wind Systems A/S,245030,2297,314343812.9,881.39,938.29,156.31
Fixed Maturity 2025 Bond Fund,2017-10-09,Chevron Corp.,773732,4237,453829747.01,851.07,651.94,480.41
Impact Credit Strategies Fund,2017-07-01,"First Solar, Inc.",195253,-8056,249612742.13,726.32,543.12,500.05
Impact Credit Strategies Fund,2018-11-04,Vestas Wind Systems A/S,595635,-5451,38245635.32,546.34,666.47,444.53
Target Maturity 2029 Bond Fund,2020-01-13,"Amazon.com, Inc.",345163,-5443,493457898.95,836.21,152.01,243.96
Target Maturity 2029 Bond Fund,2019-11-18,"Amazon.com, Inc.",111668,7878,443261114.93,567.23,103.41,28.82
