FUND,DATE,COMPANY_NAME,TOTAL_SHARES,CHANGES_IN_SHARE,MARKET_CAP,PRICE,PRICE_50D_MOVING_AVERAGE,PRICE_200D_MOVING_AVERAGE
Target Maturity 2029 Bond Fund,2024-01-17,"UnitedHealth Group, Inc.",7361,-2868,874858.2513587072,533.1836561127958,943.1810684171729,258.2819960503178
European High Yield Bond Fund,2024-01-16,"Samsung Electronics Co., Ltd.",2245,4901,521855.6035966219,975.45934834441,709.0987198926215,466.03139391412293
Global Cross Asset Fund,2024-01-15,"AT&T, Inc.",3720,2225,152810.73638703267,593.5371681706009,269.28073824407323,169.195418913302
Community Savings Bond Fund,2024-01-14,Petróleo Brasileiro SA,9469,-4010,626068.4620792652,527.4611849901764,508.8825995640112,410.1588157536914
Fixed Maturity 2027 Bond Fund,2024-01-13,Bayerische Motoren Werke AG,8741,-4290,467608.6562487245,676.6226680800323,472.0060908614585,25.290656479920482
Community Savings Bond Fund,2024-01-12,"PetroChina Co., Ltd.",6105,-696,936315.1444509085,83.19108685057499,797.1020808095801,911.6217771749182
Target Maturity 2029 Bond Fund,2024-01-11,"AbbVie, Inc.",3922,367,397974.98172655434,817.2005928088621,835.0215629552405,679.806176050563
Fixed Maturity 2027 Bond Fund,2024-01-10,Saudi Arabian Oil Co.,3513,-4962,408837.081758603,650.4107478860091,290.60839451430815,339.485580458424
Global Cross Asset Fund,2024-01-09,Intel Corp.,3801,-3725,654265.6558837942,179.47976279461992,822.939939367174,882.386277455463
Target Maturity 2029 Bond Fund,2024-01-08,"Samsung Electronics Co., Ltd.",7981,2069,531716.3561431637,634.4082669874359,187.70639123809144,191.1003331387138
International Fixed Duration Fund,2024-01-07,Petróleo Brasileiro SA,9221,-143,380705.3787630505,600.2458829402116,765.1428489923185,87.9463945371176
European High Yield Bond Fund,2024-01-06,"AT&T, Inc.",7502,-3564,989876.6715232886,74.20445563985255,256.2966983633471,943.1953653344335
Global Cross Asset Fund,2024-01-05,Pfizer Inc.,7038,4661,309163.65489942266,274.2628758672987,304.95184583916296,315.9267921185348
International Fixed Duration Fund,2024-01-04,Reliance Industries Ltd.,7229,-2901,284753.5040651783,397.03220666038845,853.9431617871039,936.6136601673691
Sustainable Retail Fund,2024-01-03,Industrial & Commercial Bank of China Ltd.,1364,3565,865783.3522368824,252.43964418221034,425.874116405734,641.2367900800787
Global Cross Asset Fund,2024-01-02,Industrial & Commercial Bank of China Ltd.,2800,2693,13339.214115049952,250.7300709174864,990.6601666077331,980.2425034873166
Sustainable Retail Fund,2024-01-01,Petróleo Brasileiro SA,6958,-749,209240.62929585855,577.2189889604441,160.42359960836671,755.8949200902962
Fixed Maturity 2027 Bond Fund,2023-12-31,"AT&T, Inc.",8436,-975,594542.2213793563,476.1504268898346,468.7155476592866,114.42902825901506
International Fixed Duration Fund,2023-12-30,"PetroChina Co., Ltd.",5793,4305,170826.0225662182,670.6192599107279,735.1258275998468,853.7063803057275
European High Yield Bond Fund,2023-12-29,Industrial & Commercial Bank of China Ltd.,9160,1212,985945.8834963524,956.8430162388177,15.313387398722377,156.3997373026886
Target Maturity 2029 Bond Fund,2023-12-28,Mercedes-Benz Group AG,1179,-1766,469553.66619741474,663.9504841551998,160.3367254110872,695.2756297165708
Impact Credit Strategies Fund,2023-12-27,"Taiwan Semiconductor Manufacturing Co., Ltd.",4873,4457,601390.4342109454,586.2749729597164,30.15318191687051,505.4033749291306
Community Savings Bond Fund,2023-12-26,"PetroChina Co., Ltd.",4960,2662,168769.7304541412,849.0838967488428,992.9490867289262,710.6477580630391
Global Short Term Credit Fund,2023-12-25,Gazprom PJSC,2186,2550,296484.31986320857,635.7523794613654,763.0184157972558,767.3396373415163
European High Yield Bond Fund,2023-12-24,"PetroChina Co., Ltd.",1773,-1877,618478.5348526214,173.90565760571295,379.8235067691342,805.6285592991829
International Fixed Duration Fund,2023-12-23,Shell Plc,5460,-4347,554057.8395535337,321.6012124638782,164.72208534980797,836.6303313687579
Impact Credit Strategies Fund,2023-12-22,"AT&T, Inc.",1352,-842,786520.3059867544,736.0266798575605,99.47941037541617,848.7522763341474
European High Yield Bond Fund,2023-12-21,TotalEnergies SE,7943,3700,276540.846788573,740.9985591967499,536.5881285454028,418.4486822571955
International Fixed Duration Fund,2023-12-20,TotalEnergies SE,6202,4879,657006.7252394686,987.1386628058696,976.1324050172068,890.3357914702855
Fixed Maturity 2025 Bond Fund,2023-12-19,Industrial & Commercial Bank of China Ltd.,6344,543,298065.7506913768,630.7051296182835,677.8648352111863,722.3844510101308
Fixed Maturity 2025 Bond Fund,2023-12-18,"Verizon Communications, Inc.",5507,4580,590885.0935486591,900.5497362050464,371.48698457614216,840.5812221041396
Sustainable Retail Fund,2023-12-17,Deutsche Telekom AG,5830,-2803,608980.6580083565,64.03450748363178,505.8424635051134,989.299439335954
European High Yield Bond Fund,2023-12-16,"UnitedHealth Group, Inc.",1117,-1089,130620.72024094389,570.560121362542,998.9143342600573,125.25059471122536
Fixed Maturity 2025 Bond Fund,2023-12-15,Sony Group Corp.,1481,235,553146.7795794035,920.6495444551737,523.5785665956059,376.873900708554
International Fixed Duration Fund,2023-12-14,Deutsche Telekom AG,5287,-201,21818.91695464067,294.3717928264136,964.5594709185922,808.4815504992025
Sustainable Retail Fund,2023-12-13,Comcast Corp.,7802,3707,506198.6438609446,163.32783775626712,26.198101629647738,95.44043668229536
International Fixed Duration Fund,2023-12-12,Pfizer Inc.,9298,360,700546.6697219942,357.0050584957927,723.7534969518308,545.3732548177356
Sustainable Retail Fund,2023-12-11,"Taiwan Semiconductor Manufacturing Co., Ltd.",5477,3221,82104.40170008883,794.3138055718262,630.8898347209854,859.8139793388493
European High Yield Bond Fund,2023-12-10,"UnitedHealth Group, Inc.",7533,-4675,939323.7082528569,93.85380653450247,688.4765598727485,28.80135057608414
Impact Credit Strategies Fund,2023-12-09,Industrial & Commercial Bank of China Ltd.,1243,-1234,464167.9766695597,604.3352717853935,574.8614183648783,940.1237095734817
Target Maturity 2029 Bond Fund,2023-12-08,Intel Corp.,8012,-889,939032.1128678214,144.2752897858337,53.735008479239276,978.3633756655568
Global Cross Asset Fund,2023-12-07,Shell Plc,1865,3302,116324.43945422118,441.1771171317738,158.06829613690763,329.0581204111557
Impact Credit Strategies Fund,2023-12-06,Bayerische Motoren Werke AG,6329,2015,950403.5684753393,966.3172315361392,923.0287576318624,769.1232794761506
Fixed Maturity 2027 Bond Fund,2023-12-05,"Taiwan Semiconductor Manufacturing Co., Ltd.",1603,1856,118105.12843109325,203.19282714841762,240.59575828344543,135.90434163780694
International Fixed Duration Fund,2023-12-04,"PetroChina Co., Ltd.",6756,-4894,466880.8404668227,43.676383357572014,993.0078966336723,775.1356278219031
Fixed Maturity 2027 Bond Fund,2023-12-03,Shell Plc,5018,-2574,938612.146059597,432.9313055882622,682.7925995506707,486.70646402566507
Impact Credit Strategies Fund,2023-12-02,TotalEnergies SE,6192,-622,240381.1183849828,581.9186318132533,449.9109452249227,861.6703477429301
Sustainable Retail Fund,2023-12-01,"Taiwan Semiconductor Manufacturing Co., Ltd.",3015,-636,44437.13105014671,304.5425576810807,920.8483678716797,220.4803630034388
Global Cross Asset Fund,2023-11-30,"AbbVie, Inc.",4380,-2469,795179.5682779386,546.3503233429254,797.0363277212809,675.9313737098171
Global Cross Asset Fund,2023-11-29,Industrial & Commercial Bank of China Ltd.,4770,1810,599924.8012923198,953.8679267894673,434.675428789053,788.2579826716922
Global Short Term Credit Fund,2023-11-28,"Taiwan Semiconductor Manufacturing Co., Ltd.",6829,316,518781.98097242624,318.6530795419592,77.9070425446825,210.4673425998044
Global Cross Asset Fund,2023-11-27,Gazprom PJSC,2613,362,43999.95050968619,316.3327608872979,869.6215287891558,820.1044047941232
Target Maturity 2029 Bond Fund,2023-11-26,Shell Plc,2879,-307,656698.9561187767,487.94021890214475,767.3895320447577,958.4056459324505
Global Cross Asset Fund,2023-11-25,Deutsche Telekom AG,6372,3990,179907.11836571913,520.1631725324409,792.8274889178075,619.9178139214247
Impact Credit Strategies Fund,2023-11-24,"Taiwan Semiconductor Manufacturing Co., Ltd.",5108,268,931884.7134026485,11.352266616334365,747.4101453983,787.0019126226449
Global Short Term Credit Fund,2023-11-23,Deutsche Telekom AG,9978,-2989,688869.6815649252,619.7163798927915,282.99694448430205,537.2580207660492
Impact Credit Strategies Fund,2023-11-22,"AbbVie, Inc.",1148,-4575,709963.5491534981,997.3837751780637,860.2572624726441,602.1223273856745
Impact Credit Strategies Fund,2023-11-21,Deutsche Telekom AG,2754,-1956,240254.46988516764,299.087968975752,12.210227612667664,23.218910180422455
Equity Diversified Selection Fund,2023-11-20,"Verizon Communications, Inc.",8378,1229,881946.2996761511,634.5019458038638,244.90351559991512,529.0443941676668
Community Savings Bond Fund,2023-11-19,Comcast Corp.,7681,-3761,542355.245075369,14.575438483666622,56.09400283595374,579.8081123257997
Global Short Term Credit Fund,2023-11-18,"Taiwan Semiconductor Manufacturing Co., Ltd.",4756,1566,858513.3360360882,608.2833461739292,119.49049210227041,673.3470703077327
Impact Credit Strategies Fund,2023-11-17,Tencent Holdings Ltd.,6392,-1609,278238.00008395326,452.5976263335398,537.0553461423303,177.69670274436174
Community Savings Bond Fund,2023-11-16,China Mobile Ltd.,4052,-787,757907.0959672636,534.9902219300269,46.88362804162407,248.96051976124159
Community Savings Bond Fund,2023-11-15,"UnitedHealth Group, Inc.",6692,-1003,578821.2346234471,548.4659178174599,189.56723722337574,758.4445853753401
Global Short Term Credit Fund,2023-11-14,Shell Plc,5218,-1994,57935.11275247581,185.1834396068552,240.41274591691945,175.96243182709196
Equity Diversified Selection Fund,2023-11-13,"PetroChina Co., Ltd.",5803,2025,411288.90053555404,772.2684406604974,658.7854170858494,421.8658116618995
Fixed Maturity 2027 Bond Fund,2023-11-12,China Mobile Ltd.,3377,-1961,192071.3604722302,559.9149248002357,474.13231920374955,257.98531679900657
Sustainable Retail Fund,2023-11-11,Pfizer Inc.,6086,1558,365581.8519999685,277.4925149020242,463.82839782490373,549.7322625855358
Target Maturity 2029 Bond Fund,2023-11-10,Tencent Holdings Ltd.,4182,3790,389518.1179225702,938.0077310997781,770.7482287150482,987.0021723433944
Sustainable Retail Fund,2023-11-09,Shell Plc,4160,-3816,480179.0694981009,22.645972904015466,462.1541979535918,853.5175187015103
Global Cross Asset Fund,2023-11-08,Intel Corp.,7576,-2416,604287.5383011785,728.6778418597913,355.00385548886584,276.7795965619742
Target Maturity 2029 Bond Fund,2023-11-07,China Mobile Ltd.,9903,3102,575267.8759732172,387.42283380053277,962.8265351482895,374.92569247265817
Global Cross Asset Fund,2023-11-06,"Verizon Communications, Inc.",3586,2116,48601.49065794512,527.3193829981939,18.21037634347843,919.4472466728611
Impact Credit Strategies Fund,2023-11-05,Reliance Industries Ltd.,3648,-617,753182.3263038346,298.5946519511258,312.33907007463,899.3120226311912
International Fixed Duration Fund,2023-11-04,"Taiwan Semiconductor Manufacturing Co., Ltd.",8313,-1064,949692.0456280406,328.0396545007197,613.2987892159258,168.92275806416674
Global Short Term Credit Fund,2023-11-03,Bayerische Motoren Werke AG,2717,-3301,355194.476095117,25.01455246479238,784.9811436922772,830.9784204369881
Target Maturity 2029 Bond Fund,2023-11-02,Reliance Industries Ltd.,6308,-493,187949.43232487596,732.5466378247833,818.2488252109786,304.63182573957727
Target Maturity 2029 Bond Fund,2023-11-01,Industrial & Commercial Bank of China Ltd.,8407,-4865,544601.5474842314,713.6904266927113,55.612400536620754,548.3651277250868
Impact Credit Strategies Fund,2023-10-31,"AT&T, Inc.",1870,-2975,707863.7989617026,657.8146184031499,712.040735002012,15.047405397296142
Fixed Maturity 2027 Bond Fund,2023-10-30,Mercedes-Benz Group AG,4574,-1465,682115.8455823866,879.1711737781678,723.0511070370989,998.6042889871935
Community Savings Bond Fund,2023-10-29,Sony Group Corp.,6827,-146,615988.4817258497,902.2549047528497,221.93862724170543,763.4855049519641
Impact Credit Strategies Fund,2023-10-28,Saudi Arabian Oil Co.,8986,367,154769.92960692648,560.8798762310029,121.6472781853911,249.31572929973726
Fixed Maturity 2025 Bond Fund,2023-10-27,Industrial & Commercial Bank of China Ltd.,9462,-2110,838456.6454589684,687.9752571463921,752.1892961183491,686.9569451976697
Equity Diversified Selection Fund,2023-10-26,"AT&T, Inc.",9741,-2243,431365.3467946272,20.8884170597552,257.0050061749053,300.3742891952451
Community Savings Bond Fund,2023-10-25,Petróleo Brasileiro SA,6769,-1227,229253.8972015513,847.8796282864466,11.65706604284046,98.56125584615637
Global Short Term Credit Fund,2023-10-24,Industrial & Commercial Bank of China Ltd.,6733,3572,95403.47965246552,818.2492898882026,231.33687754109243,431.056856803459
Community Savings Bond Fund,2023-10-23,Saudi Arabian Oil Co.,4240,1652,422551.92382331856,30.046132239259954,40.75732872814943,617.5816738192087
Fixed Maturity 2027 Bond Fund,2023-10-22,Sony Group Corp.,5893,-3472,621793.3163788343,547.396964574301,256.6948198271873,98.87968362896751
Community Savings Bond Fund,2023-10-21,China Mobile Ltd.,1886,-429,668723.9320599927,907.5890147328968,341.6693865085027,523.2222355436533
Global Short Term Credit Fund,2023-10-20,Deutsche Telekom AG,6854,49,963109.5422832841,189.57410716096766,278.686157942572,519.7155901210549
Fixed Maturity 2027 Bond Fund,2023-10-19,Petróleo Brasileiro SA,6318,-4152,161616.60282711984,359.11847234152714,920.737696507452,632.358788207566
Sustainable Retail Fund,2023-10-18,Intel Corp.,3258,-873,985915.9285455765,337.74314173349427,240.20761791143178,252.19918214515909
Target Maturity 2029 Bond Fund,2023-10-17,"Samsung Electronics Co., Ltd.",5382,2351,658129.1217665056,362.381070645754,472.85947455032033,30.43506841340768
Target Maturity 2029 Bond Fund,2023-10-16,Saudi Arabian Oil Co.,2785,866,459686.76713012945,51.46717015055106,957.8533179056064,331.6089316583489
Equity Diversified Selection Fund,2023-10-15,Petróleo Brasileiro SA,8727,869,889312.2835896778,286.22750692771274,880.4074964565199,404.59538060043985
Global Cross Asset Fund,2023-10-14,"Verizon Communications, Inc.",1295,-2879,697534.9445338589,301.9077495732332,316.16588978743374,639.3836441336224
Sustainable Retail Fund,2023-10-13,Reliance Industries Ltd.,3597,-319,355230.0427084451,867.2133280046952,333.225392007894,930.8701436524989
Sustainable Retail Fund,2023-10-12,Pfizer Inc.,1680,-4528,885244.839610697,358.5948470603855,597.3961084843553,211.35166755568267
Community Savings Bond Fund,2023-10-11,"AbbVie, Inc.",5890,-3213,669949.3022513394,452.74457249461585,918.6842222466876,690.4602924806566
Target Maturity 2029 Bond Fund,2023-10-10,Bayerische Motoren Werke AG,5298,-4887,701848.9822362773,386.9306792815848,19.899797501245285,106.42690027953714
Global Short Term Credit Fund,2023-10-09,"UnitedHealth Group, Inc.",1324,4528,897425.9892051659,129.46671510556595,399.18859426332943,198.71553799926892
European High Yield Bond Fund,2023-10-08,Mercedes-Benz Group AG,8952,1473,453932.0458893647,990.4531901483678,851.2777314986016,514.0431664538957
European High Yield Bond Fund,2023-10-07,Intel Corp.,1986,3530,660335.064900159,827.5669387976835,416.3652786029081,711.293803368175
Fixed Maturity 2027 Bond Fund,2023-10-06,Tencent Holdings Ltd.,4118,-2715,747242.1314214026,545.5111039570932,722.8543264677397,859.9828505815293
Target Maturity 2029 Bond Fund,2023-10-05,Industrial & Commercial Bank of China Ltd.,1760,-3804,459400.6575494737,481.60084944527966,695.0056533880803,746.4643976599012
Target Maturity 2029 Bond Fund,2023-10-04,Mercedes-Benz Group AG,8758,-4922,92617.59458041549,652.762178208379,213.4041225340636,25.199258991913148
Equity Diversified Selection Fund,2023-10-03,"Taiwan Semiconductor Manufacturing Co., Ltd.",1906,-441,773725.3714034171,333.1668370380058,455.0985593233134,687.0920126601635
European High Yield Bond Fund,2023-10-02,Bayerische Motoren Werke AG,6499,1017,57338.18921592821,59.780041650933754,570.5248456845452,826.4111266633035
Target Maturity 2029 Bond Fund,2023-10-01,Comcast Corp.,1364,-2348,720735.2577055108,410.2736454785403,718.3083058916488,530.2781426152467
Equity Diversified Selection Fund,2023-09-30,Bayerische Motoren Werke AG,8769,-682,911766.4564393075,984.1378016337821,824.1657352593344,965.9427040567451
Community Savings Bond Fund,2023-09-29,Saudi Arabian Oil Co.,4413,385,353499.3083863183,190.52333781894555,762.3338790577984,14.269298219394788
Fixed Maturity 2025 Bond Fund,2023-09-28,Shell Plc,9027,4448,111041.16728644856,532.4282392314426,38.02835271137786,820.4713711180609
International Fixed Duration Fund,2023-09-27,"Samsung Electronics Co., Ltd.",8939,2054,240535.3498929327,18.43618235836288,673.9314631856488,341.4715346000025
Sustainable Retail Fund,2023-09-26,Bayerische Motoren Werke AG,4081,-4173,566658.7484841385,130.81120002679893,502.34230921711645,653.9452839204491
Global Cross Asset Fund,2023-09-25,Petróleo Brasileiro SA,6448,-77,943233.1456750255,591.3197834624459,578.1231184950509,696.5470754743147
Fixed Maturity 2027 Bond Fund,2023-09-24,Intel Corp.,4258,-1615,517159.90258725564,304.43979021275663,379.23655061841816,313.18652621348934
Fixed Maturity 2025 Bond Fund,2023-09-23,TotalEnergies SE,3107,1056,121609.9153147293,906.6276415960186,716.8859524410364,995.4702548153726
European High Yield Bond Fund,2023-09-22,Petróleo Brasileiro SA,8928,-3035,631505.3419791745,412.1080682976624,677.1496269979419,112.21752778966948
Equity Diversified Selection Fund,2023-09-21,"Samsung Electronics Co., Ltd.",3933,-2573,735516.487420062,215.953261159742,583.6916166418018,165.4587943169668
Sustainable Retail Fund,2023-09-20,"AbbVie, Inc.",3829,-2159,399350.83329286304,550.1358515918565,862.9894772634215,893.2697881985514
Target Maturity 2029 Bond Fund,2023-09-19,"Verizon Communications, Inc.",9633,3805,724298.9237019604,797.023898824203,110.88102464272302,127.9880776804231
Global Cross Asset Fund,2023-09-18,Sony Group Corp.,6006,3754,331574.58698779787,29.225499235420862,308.0130431610808,387.4734020985089
Target Maturity 2029 Bond Fund,2023-09-17,Tencent Holdings Ltd.,2559,1563,791199.2500804493,510.4649174437409,500.1791110507996,735.8107897772394
Global Short Term Credit Fund,2023-09-16,Petróleo Brasileiro SA,2741,840,347661.4379743683,775.6922911598748,959.0187631865401,793.5769422273809
Global Short Term Credit Fund,2023-09-15,"Verizon Communications, Inc.",6830,2810,263546.02068461967,112.55276808570886,81.243752419001,955.1224850446645
Global Cross Asset Fund,2023-09-14,China Mobile Ltd.,8523,1064,880389.5918326592,903.770533743814,343.70671508498873,791.6780963274581
Equity Diversified Selection Fund,2023-09-13,"Verizon Communications, Inc.",1625,2144,552988.6869636422,271.87223586718085,926.6316481886904,846.0870602785599
Global Cross Asset Fund,2023-09-12,Saudi Arabian Oil Co.,2690,-648,292304.7258542679,178.8975716356985,898.9680917746716,949.8822456374667
European High Yield Bond Fund,2023-09-11,"Verizon Communications, Inc.",9282,-4816,935736.0207505967,593.3635121736478,866.5931150005263,558.150815351373
Global Cross Asset Fund,2023-09-10,Saudi Arabian Oil Co.,7310,809,693942.6637113887,183.28083435984863,315.30655144137006,349.9991254975589
Community Savings Bond Fund,2023-09-09,"AT&T, Inc.",4006,-935,228493.39565901153,682.9045051674703,848.3674219534954,763.9970132198381
Target Maturity 2029 Bond Fund,2023-09-08,"UnitedHealth Group, Inc.",5302,2181,618495.9310468528,495.2010611784457,510.2860177769595,171.90617055734114
Fixed Maturity 2025 Bond Fund,2023-09-07,"AbbVie, Inc.",2088,3437,871655.2429761343,118.85640214455812,623.5810556019387,77.54935330401605
Impact Credit Strategies Fund,2023-09-06,Bayerische Motoren Werke AG,7007,2504,699191.6111146569,913.3652332362276,246.4366564062604,787.4775564715413
Equity Diversified Selection Fund,2023-09-05,TotalEnergies SE,5611,2426,252311.55925252914,676.4733558639147,709.6071500299101,951.1646444822233
Global Cross Asset Fund,2023-09-04,Tencent Holdings Ltd.,8928,4057,652359.8454075697,550.5330962684303,334.42013321308286,448.0224755167116
Fixed Maturity 2027 Bond Fund,2023-09-03,Shell Plc,5490,-2913,622967.7789929988,380.5972091966294,350.441621859445,169.52211891363729
Global Short Term Credit Fund,2023-09-02,Tencent Holdings Ltd.,9378,-4400,822635.2269429017,143.511305623767,640.4490043326397,502.05076632599395
Community Savings Bond Fund,2023-09-01,"UnitedHealth Group, Inc.",2597,2804,186351.2710267328,710.4431873507089,247.4336029523302,399.3846734338773
Sustainable Retail Fund,2023-08-31,TotalEnergies SE,4747,537,702638.3203313462,815.5192618287688,232.19433601335842,378.7492003609108
Impact Credit Strategies Fund,2023-08-30,"AT&T, Inc.",3670,-1967,37096.985212365005,134.56066143892946,375.47131317011673,631.8000315774435
Equity Diversified Selection Fund,2023-08-29,Tencent Holdings Ltd.,9431,-2944,699213.5476294099,499.621948292761,780.2829888086412,182.98835756320307
Fixed Maturity 2025 Bond Fund,2023-08-28,Deutsche Telekom AG,3580,3724,960832.9308991714,489.9977251225647,232.43522857251776,386.67673321040644
Impact Credit Strategies Fund,2023-08-27,"Samsung Electronics Co., Ltd.",8432,84,182644.38358712127,356.41259113776795,789.4452066481165,869.9900707156631
Global Cross Asset Fund,2023-08-26,Reliance Industries Ltd.,9330,-2958,318186.7750908188,791.448476437887,698.6492243931025,732.3684466409503
European High Yield Bond Fund,2023-08-25,Tencent Holdings Ltd.,3506,2960,587042.8563082657,108.5344859687785,682.289081665448,65.03258212090125
Global Short Term Credit Fund,2023-08-24,"Samsung Electronics Co., Ltd.",5725,-4643,735071.0953986831,212.96903262336912,480.0081169762764,518.7647580028624
Global Short Term Credit Fund,2023-08-23,Reliance Industries Ltd.,5300,-4623,350927.676500489,11.58674122932168,748.4289550257577,100.3823647278095
Sustainable Retail Fund,2023-08-22,TotalEnergies SE,9759,-512,667616.3873687362,379.2555342021847,23.384324902840234,957.9214646590776
European High Yield Bond Fund,2023-08-21,Comcast Corp.,8002,-203,900286.0046109697,298.2663862213683,312.5511855837677,252.19423447417526
Target Maturity 2029 Bond Fund,2023-08-20,Deutsche Telekom AG,7131,-1693,729293.1993520194,868.3240439205749,682.3460891855763,933.2948154562794
International Fixed Duration Fund,2023-08-19,Shell Plc,9831,-2404,713912.4904262216,748.3521416353933,987.4224700226299,835.6683244065995
Community Savings Bond Fund,2023-08-18,"PetroChina Co., Ltd.",5537,-4217,388150.95183244976,93.62747459664918,12.48919767343319,555.8507903503264
Global Short Term Credit Fund,2023-08-17,Saudi Arabian Oil Co.,3335,924,912315.0157498189,743.5463559117467,514.8725423833707,342.94152711453887
Fixed Maturity 2027 Bond Fund,2023-08-16,Petróleo Brasileiro SA,5321,-2621,284549.712541467,678.6462192053615,924.5980647466541,859.367213883744
Global Short Term Credit Fund,2023-08-15,"Samsung Electronics Co., Ltd.",3985,2831,213227.55305350368,288.90703086432643,864.903990968507,161.25586392717597
