CUSTOMER_ID,ORDER_ID,ORDER_TS,ORDER_CURRENCY,ORDER_AMOUNT,ORDER_TAX,ORDER_TOTAL
905,86051067,2020-05-29,USD,9.05,2.2625,11.3125
646,86051068,2020-05-29,USD,10.64,2.66,13.3
508,86051069,2020-05-29,USD,9.63,2.4075,12.0375
7,86051070,2020-05-29,USD,44.16,11.04,55.2
533,86051071,2020-05-29,USD,9.63,2.4075,12.0375
95,86051072,2020-05-29,USD,9.44,2.36,11.8
679,86051073,2020-05-29,USD,5.01,1.2525,6.2625
287,86051074,2020-05-29,USD,57.38,14.345,71.725
752,86051075,2020-05-29,USD,14.17,3.5425,17.7125
391,86051076,2020-05-29,USD,11.49,2.8725,14.3625
293,86051077,2020-05-29,USD,3.15,0.7875,3.9375
916,86051078,2020-05-29,USD,6.39,1.5975,7.9875
737,86051079,2020-05-29,USD,15.58,3.895,19.475
150,86051080,2020-05-29,USD,16.03,4.0075,20.0375
670,86051081,2020-05-29,USD,25.74,6.435,32.175
393,86051082,2020-05-29,USD,22.25,5.5625,27.8125
843,86051083,2020-05-29,USD,28.31,7.0775,35.3875
347,86051084,2020-05-29,USD,13.57,3.3925,16.9625
307,86051085,2020-05-29,USD,18.92,4.73,23.65
963,86051086,2020-05-29,USD,35.61,8.9025,44.5125
695,86051087,2020-05-29,USD,6.98,1.745,8.725
699,86051088,2020-05-29,USD,39.15,9.7875,48.9375
769,86051089,2020-05-29,USD,44.11,11.0275,55.1375
87,86051090,2020-05-29,USD,89.27,22.3175,111.5875
644,86051091,2020-05-29,USD,6.39,1.5975,7.9875
90,86051093,2020-05-29,USD,9.79,2.4475,12.2375
114,86051094,2020-05-29,USD,17.8,4.45,22.25
660,86051095,2020-05-29,USD,16.93,4.2325,21.1625
579,86051096,2020-05-29,USD,11.21,2.8025,14.0125
847,86051097,2020-05-29,USD,6.24,1.56,7.8
676,86051098,2020-05-29,USD,4.73,1.1825,5.9125
646,86051099,2020-05-29,USD,4.93,1.2325,6.1625
338,86051100,2020-05-29,USD,15.63,3.9075,19.5375
564,86051101,2020-05-29,USD,17.39,4.3475,21.7375
143,86051102,2020-05-29,USD,38.86,9.715,48.575
245,86051103,2020-05-29,USD,20.56,5.14,25.7
556,86051104,2020-05-29,USD,4.33,1.0825,5.4125
352,86051105,2020-05-29,USD,10.02,2.505,12.525
106,86051106,2020-05-29,USD,15.97,3.9925,19.9625
948,86051107,2020-05-29,USD,3.55,0.8875,4.4375
681,86051108,2020-05-29,USD,10.64,2.66,13.3
186,86051109,2020-05-29,USD,23.22,5.805,29.025
882,86051110,2020-05-29,USD,2.55,0.6375,3.1875
713,86051111,2020-05-29,USD,20.89,5.2225,26.1125
5,86051112,2020-05-29,USD,6.59,1.6475,8.2375
829,86051113,2020-05-29,USD,23.25,5.8125,29.0625
202,86051114,2020-05-29,USD,4.58,1.145,5.725
821,86051115,2020-05-29,USD,12.48,3.12,15.6
442,86051116,2020-05-29,USD,21.41,5.3525,26.7625
341,86051117,2020-05-29,USD,31.53,7.8825,39.4125
823,86051118,2020-05-29,USD,39.15,9.7875,48.9375
448,86051119,2020-05-29,USD,19.26,4.815,24.075
156,86051120,2020-05-29,USD,16.03,4.0075,20.0375
244,86051121,2020-05-29,USD,25.74,6.435,32.175
492,86051122,2020-05-29,USD,2.55,0.6375,3.1875
235,86051123,2020-05-29,USD,22.38,5.595,27.975
687,86051124,2020-05-29,USD,27.15,6.7875,33.9375
648,86051125,2020-05-29,USD,69.35,17.3375,86.6875
521,86051126,2020-05-29,USD,21.04,5.26,26.3
285,86051127,2020-05-29,USD,11.5,2.875,14.375
224,86051128,2020-05-29,USD,16.81,4.2025,21.0125
62,86051129,2020-05-29,USD,10.97,2.7425,13.7125
560,86051130,2020-05-29,USD,62.47,15.6175,78.0875
946,86051131,2020-05-29,USD,9.63,2.4075,12.0375
10,86051133,2020-05-29,USD,17.01,4.2525,21.2625
417,86051134,2020-05-29,USD,37.44,9.36,46.8
810,86051135,2020-05-29,USD,26.8,6.7,33.5
606,86051136,2020-05-29,USD,15.15,3.7875,18.9375
927,86051137,2020-05-29,USD,14.19,3.5475,17.7375
811,86051138,2020-05-29,USD,13.57,3.3925,16.9625
536,86051139,2020-05-29,USD,12.1,3.025,15.125
294,86051140,2020-05-29,USD,5.16,1.29,6.45
383,86051141,2020-05-29,USD,19.41,4.8525,24.2625
865,86051142,2020-05-29,USD,38.85,9.7125,48.5625
589,86051143,2020-05-29,USD,15.63,3.9075,19.5375
912,86051144,2020-05-29,USD,47.12,11.78,58.9
933,86051145,2020-05-29,USD,5.11,1.2775,6.3875
871,86051146,2020-05-29,USD,7.18,1.795,8.975
106,86051147,2020-05-29,USD,1.58,0.395,1.975
27,86051148,2020-05-29,USD,3.55,0.8875,4.4375
358,86051149,2020-05-29,USD,27.59,6.8975,34.4875
354,86051150,2020-05-29,USD,5.91,1.4775,7.3875
883,86051151,2020-05-29,USD,15.1,3.775,18.875
68,86051152,2020-05-29,USD,3.15,0.7875,3.9375
32,86051153,2020-05-29,USD,7.78,1.945,9.725
782,86051154,2020-05-29,USD,5.41,1.3525,6.7625
810,86051155,2020-05-29,USD,9.79,2.4475,12.2375
330,86051156,2020-05-29,USD,3.55,0.8875,4.4375
376,86051157,2020-05-29,USD,9.74,2.435,12.175
654,86051158,2020-05-29,USD,12.15,3.0375,15.1875
621,86051159,2020-05-29,USD,34.43,8.6075,43.0375
636,86051160,2020-05-29,USD,6.7,1.675,8.375
742,86051161,2020-05-29,USD,41.5,10.375,51.875
893,86051162,2020-05-29,USD,2.36,0.59,2.95
567,86051163,2020-05-29,USD,6.43,1.6075,8.0375
409,86051164,2020-05-29,USD,5,1.25,6.25
524,86051165,2020-05-29,USD,20.08,5.02,25.1
563,86051166,2020-05-29,USD,45.48,11.37,56.85
336,86051167,2020-05-29,USD,15.93,3.9825,19.9125
821,86051168,2020-05-29,USD,39.43,9.8575,49.2875
440,86051169,2020-05-29,USD,42.4,10.6,53
265,86051170,2020-05-29,USD,11.43,2.8575,14.2875
131,86051171,2020-05-29,USD,18.92,4.73,23.65
572,86051172,2020-05-29,USD,8.81,2.2025,11.0125
883,86051173,2020-05-29,USD,27.71,6.9275,34.6375
218,86051174,2020-05-29,USD,20.75,5.1875,25.9375
491,86051175,2020-05-29,USD,18.72,4.68,23.4
645,86051176,2020-05-29,USD,5.91,1.4775,7.3875
227,86051177,2020-05-29,USD,37.42,9.355,46.775
615,86051178,2020-05-29,USD,6.98,1.745,8.725
791,86051179,2020-05-29,USD,9.44,2.36,11.8
341,86051180,2020-05-29,USD,5.51,1.3775,6.8875
984,86051181,2020-05-29,USD,10.76,2.69,13.45
58,86051182,2020-05-29,USD,1.97,0.4925,2.4625
831,86051183,2020-05-29,USD,27.99,6.9975,34.9875
120,86051184,2020-05-29,USD,6.43,1.6075,8.0375
941,86051185,2020-05-29,USD,6.43,1.6075,8.0375
960,86051186,2020-05-29,USD,47.82,11.955,59.775
644,86051187,2020-05-29,USD,3.15,0.7875,3.9375
876,86051188,2020-05-29,USD,17.01,4.2525,21.2625
936,86051189,2020-05-29,USD,30.83,7.7075,38.5375
248,86051190,2020-05-29,USD,19.05,4.7625,23.8125
981,86051191,2020-05-29,USD,14.98,3.745,18.725
900,86051192,2020-05-29,USD,24.51,6.1275,30.6375
231,86051193,2020-05-29,USD,6.43,1.6075,8.0375
331,86051194,2020-05-29,USD,3.15,0.7875,3.9375
98,86051195,2020-05-29,USD,18.57,4.6425,23.2125
764,86051196,2020-05-29,USD,4.73,1.1825,5.9125
430,86051197,2020-05-29,USD,14.35,3.5875,17.9375
437,86051198,2020-05-29,USD,15.53,3.8825,19.4125
918,86051199,2020-05-29,USD,18.72,4.68,23.4
838,86051200,2020-05-29,USD,29.13,7.2825,36.4125
458,86051201,2020-05-29,USD,18.72,4.68,23.4
313,86051202,2020-05-29,USD,8.16,2.04,10.2
910,86051203,2020-05-29,USD,28.12,7.03,35.15
176,86051204,2020-05-29,USD,82.11,20.5275,102.6375
852,86051205,2020-05-29,USD,31.56,7.89,39.45
104,86051206,2020-05-29,USD,22.59,5.6475,28.2375
12,86051207,2020-05-29,USD,28.92,7.23,36.15
843,86051208,2020-05-29,USD,48.33,12.0825,60.4125
871,86051209,2020-05-29,USD,10.02,2.505,12.525
59,86051210,2020-05-29,USD,11.41,2.8525,14.2625
68,86051211,2020-05-29,USD,7.38,1.845,9.225
501,86051212,2020-05-29,USD,20.26,5.065,25.325
476,86051213,2020-05-29,USD,14.17,3.5425,17.7125
263,86051214,2020-05-29,USD,11.1,2.775,13.875
469,86051215,2020-05-29,USD,25.68,6.42,32.1
297,86051216,2020-05-29,USD,89.65,22.4125,112.0625
618,86051217,2020-05-29,USD,19.71,4.9275,24.6375
914,86051218,2020-05-29,USD,20.29,5.0725,25.3625
29,86051219,2020-05-29,USD,20.02,5.005,25.025
614,86051220,2020-05-29,USD,7.77,1.9425,9.7125
632,86051221,2020-05-29,USD,9.79,2.4475,12.2375
183,86051223,2020-05-29,USD,26.8,6.7,33.5
676,86051224,2020-05-29,USD,15.93,3.9825,19.9125
602,86051225,2020-05-29,USD,5.91,1.4775,7.3875
398,86051226,2020-05-29,USD,9.84,2.46,12.3
458,86051227,2020-05-29,USD,10.22,2.555,12.775
806,86051228,2020-05-29,USD,58.25,14.5625,72.8125
603,86051229,2020-05-29,USD,10.32,2.58,12.9
46,86051230,2020-05-29,USD,24.51,6.1275,30.6375
305,86051231,2020-05-29,USD,45.48,11.37,56.85
798,86051232,2020-05-29,USD,52.64,13.16,65.8
375,86051233,2020-05-29,USD,5.91,1.4775,7.3875
149,86051234,2020-05-29,USD,13.57,3.3925,16.9625
607,86051235,2020-05-29,USD,31.56,7.89,39.45
613,86051236,2020-05-29,USD,23.59,5.8975,29.4875
486,86051237,2020-05-29,USD,23.56,5.89,29.45
326,86051238,2020-05-29,USD,25.1,6.275,31.375
545,86051239,2020-05-29,USD,23.42,5.855,29.275
61,86051240,2020-05-29,USD,51.34,12.835,64.175
507,86051241,2020-05-29,USD,26.8,6.7,33.5
618,86051242,2020-05-29,USD,40.01,10.0025,50.0125
491,86051243,2020-05-29,USD,52.53,13.1325,65.6625
466,86051244,2020-05-29,USD,8.63,2.1575,10.7875
1,86051245,2020-05-29,USD,19.69,4.9225,24.6125
286,86051246,2020-05-29,USD,32.96,8.24,41.2
298,86051248,2020-05-29,USD,15.56,3.89,19.45
473,86051249,2020-05-29,USD,13.34,3.335,16.675
712,86051250,2020-05-29,USD,9.74,2.435,12.175
195,86051251,2020-05-29,USD,41.5,10.375,51.875
55,86051252,2020-05-29,USD,2.55,0.6375,3.1875
540,86051253,2020-05-29,USD,38.62,9.655,48.275
33,86051254,2020-05-29,USD,9.86,2.465,12.325
258,86051255,2020-05-29,USD,5.72,1.43,7.15
277,86051256,2020-05-29,USD,4.73,1.1825,5.9125
18,86051257,2020-05-29,USD,40.86,10.215,51.075
644,86051258,2020-05-29,USD,20.02,5.005,25.025
546,86051259,2020-05-29,USD,4.73,1.1825,5.9125
309,86051260,2020-05-29,USD,19.86,4.965,24.825
407,86051261,2020-05-29,USD,44.95,11.2375,56.1875
160,86051262,2020-05-29,USD,15.1,3.775,18.875
550,86051263,2020-05-29,USD,8.66,2.165,10.825
439,86051264,2020-05-29,USD,40.22,10.055,50.275
147,86051265,2020-05-29,USD,3.94,0.985,4.925
155,86051266,2020-05-29,USD,32.17,8.0425,40.2125
611,86051267,2020-05-29,USD,7.09,1.7725,8.8625
931,86051268,2020-05-29,USD,22.37,5.5925,27.9625
532,86051269,2020-05-29,USD,8.63,2.1575,10.7875
795,86051270,2020-05-29,USD,10.64,2.66,13.3
911,86051271,2020-05-29,USD,17.21,4.3025,21.5125
324,86051272,2020-05-29,USD,15.14,3.785,18.925
992,86051273,2020-05-29,USD,26.01,6.5025,32.5125
411,86051274,2020-05-29,USD,22.74,5.685,28.425
709,86051275,2020-05-29,USD,10.25,2.5625,12.8125
246,86051276,2020-05-29,USD,43.36,10.84,54.2
803,86051277,2020-05-29,USD,5.51,1.3775,6.8875
867,86051278,2020-05-29,USD,14.78,3.695,18.475
749,86051279,2020-05-29,USD,11.11,2.7775,13.8875
806,86051280,2020-05-29,USD,4.33,1.0825,5.4125
431,86051281,2020-05-29,USD,3.55,0.8875,4.4375
214,86051282,2020-05-29,USD,19.36,4.84,24.2
364,86051283,2020-05-29,USD,7.03,1.7575,8.7875
242,86051284,2020-05-29,USD,20.97,5.2425,26.2125
228,86051285,2020-05-29,USD,2.36,0.59,2.95
251,86051286,2020-05-29,USD,7.23,1.8075,9.0375
983,86051287,2020-05-29,USD,9.07,2.2675,11.3375
496,86051288,2020-05-29,USD,14.35,3.5875,17.9375
208,86051289,2020-05-29,USD,20.56,5.14,25.7
986,86051290,2020-05-29,USD,24.51,6.1275,30.6375
990,86051291,2020-05-29,USD,18.68,4.67,23.35
714,86051292,2020-05-29,USD,19.7,4.925,24.625
610,86051293,2020-05-29,USD,70.02,17.505,87.525
162,86051294,2020-05-29,USD,58.7,14.675,73.375
900,86051295,2020-05-29,USD,4.33,1.0825,5.4125
566,86051296,2020-05-29,USD,19.87,4.9675,24.8375
209,86051297,2020-05-29,USD,18.8,4.7,23.5
844,86051298,2020-05-29,USD,44.14,11.035,55.175
881,86051299,2020-05-29,USD,7.66,1.915,9.575
920,86051300,2020-05-29,USD,4.33,1.0825,5.4125
715,86051301,2020-05-29,USD,18.92,4.73,23.65
788,86051302,2020-05-29,USD,10.64,2.66,13.3
728,86051303,2020-05-29,USD,17.39,4.3475,21.7375
622,86051304,2020-05-29,USD,57.99,14.4975,72.4875
950,86051305,2020-05-29,USD,10.64,2.66,13.3
704,86051306,2020-05-29,USD,4.73,1.1825,5.9125
495,86051307,2020-05-29,USD,12.51,3.1275,15.6375
145,86051308,2020-05-29,USD,20.43,5.1075,25.5375
970,86051309,2020-05-29,USD,11.6,2.9,14.5
645,86051310,2020-05-29,USD,48.58,12.145,60.725
549,86051311,2020-05-29,USD,5.91,1.4775,7.3875
717,86051312,2020-05-29,USD,27.47,6.8675,34.3375
154,86051313,2020-05-29,USD,5.51,1.3775,6.8875
214,86051314,2020-05-29,USD,18.9,4.725,23.625
685,86051315,2020-05-29,USD,4.33,1.0825,5.4125
230,86051316,2020-05-29,USD,8.28,2.07,10.35
957,86051317,2020-05-29,USD,7.98,1.995,9.975
348,86051318,2020-05-29,USD,6.8,1.7,8.5
966,86051319,2020-05-29,USD,24.11,6.0275,30.1375
826,86051320,2020-05-29,USD,13.97,3.4925,17.4625
280,86051321,2020-05-29,USD,53.71,13.4275,67.1375
612,86051322,2020-05-29,USD,12.56,3.14,15.7
425,86051323,2020-05-29,USD,6.29,1.5725,7.8625
522,86051324,2020-05-29,USD,8.95,2.2375,11.1875
317,86051325,2020-05-29,USD,3.55,0.8875,4.4375
528,86051326,2020-05-29,USD,7.09,1.7725,8.8625
810,86051327,2020-05-29,USD,12.22,3.055,15.275
258,86051328,2020-05-29,USD,11.1,2.775,13.875
687,86051329,2020-05-29,USD,21.61,5.4025,27.0125
711,86051330,2020-05-29,USD,55.36,13.84,69.2
53,86051331,2020-05-29,USD,10.24,2.56,12.8
3,86051332,2020-05-29,USD,4.73,1.1825,5.9125
893,86051333,2020-05-29,USD,5.91,1.4775,7.3875
142,86051334,2020-05-29,USD,65.39,16.3475,81.7375
268,86051335,2020-05-29,USD,11.91,2.9775,14.8875
558,86051336,2020-05-29,USD,37.97,9.4925,47.4625
330,86051337,2020-05-29,USD,14.52,3.63,18.15
757,86051338,2020-05-29,USD,21.41,5.3525,26.7625
134,86051339,2020-05-29,USD,9.46,2.365,11.825
563,86051340,2020-05-29,USD,10.52,2.63,13.15
59,86051341,2020-05-29,USD,5.01,1.2525,6.2625
557,86051342,2020-05-29,USD,21.52,5.38,26.9
593,86051343,2020-05-29,USD,9.74,2.435,12.175
436,86051344,2020-05-29,USD,47.15,11.7875,58.9375
302,86051345,2020-05-29,USD,1.97,0.4925,2.4625
391,86051346,2020-05-29,USD,19.28,4.82,24.1
912,86051347,2020-05-29,USD,13.96,3.49,17.45
122,86051348,2020-05-29,USD,10.81,2.7025,13.5125
677,86051349,2020-05-29,USD,12.96,3.24,16.2
648,86051350,2020-05-29,USD,7.88,1.97,9.85
21,86051351,2020-05-29,USD,3.15,0.7875,3.9375
959,86051352,2020-05-29,USD,5.91,1.4775,7.3875
516,86051353,2020-05-29,USD,19.19,4.7975,23.9875
231,86051354,2020-05-29,USD,21.41,5.3525,26.7625
263,86051355,2020-05-29,USD,5.01,1.2525,6.2625
609,86051357,2020-05-29,USD,21.74,5.435,27.175
664,86051358,2020-05-29,USD,11.96,2.99,14.95
222,86051359,2020-05-29,USD,9.46,2.365,11.825
350,86051360,2020-05-29,USD,8.28,2.07,10.35
905,86051361,2020-05-29,USD,15.35,3.8375,19.1875
646,86051362,2020-05-29,USD,11.94,2.985,14.925
508,86051363,2020-05-29,USD,4.73,1.1825,5.9125
7,86051364,2020-05-29,USD,5.91,1.4775,7.3875
533,86051365,2020-05-29,USD,5.91,1.4775,7.3875
95,86051366,2020-05-29,USD,21.41,5.3525,26.7625
679,86051367,2020-05-29,USD,7.95,1.9875,9.9375
287,86051368,2020-05-29,USD,13.6,3.4,17
752,86051369,2020-05-29,USD,25.44,6.36,31.8
391,86051370,2020-05-29,USD,16.55,4.1375,20.6875
293,86051371,2020-05-29,USD,10.61,2.6525,13.2625
916,86051372,2020-05-29,USD,15.76,3.94,19.7
737,86051373,2020-05-29,USD,10.64,2.66,13.3
150,86051374,2020-05-29,USD,12.46,3.115,15.575
670,86051375,2020-05-29,USD,7.88,1.97,9.85
393,86051376,2020-05-29,USD,10.64,2.66,13.3
843,86051377,2020-05-29,USD,19.49,4.8725,24.3625
347,86051378,2020-05-29,USD,3.2,0.8,4
307,86051379,2020-05-29,USD,7.66,1.915,9.575
963,86051380,2020-05-29,USD,21.15,5.2875,26.4375
695,86051381,2020-05-29,USD,21.93,5.4825,27.4125
699,86051382,2020-05-29,USD,4.73,1.1825,5.9125
769,86051383,2020-05-29,USD,23.25,5.8125,29.0625
87,86051384,2020-05-29,USD,8.27,2.0675,10.3375
644,86051385,2020-05-29,USD,27.84,6.96,34.8
90,86051386,2020-05-29,USD,20.97,5.2425,26.2125
114,86051387,2020-05-29,USD,32.96,8.24,41.2
660,86051388,2020-05-29,USD,3.55,0.8875,4.4375
579,86051389,2020-05-29,USD,20.97,5.2425,26.2125
847,86051390,2020-05-29,USD,9.6,2.4,12
676,86051391,2020-05-29,USD,27.24,6.81,34.05
646,86051392,2020-05-29,USD,45.87,11.4675,57.3375
338,86051393,2020-05-29,USD,10.64,2.66,13.3
564,86051394,2020-05-29,USD,10.52,2.63,13.15
143,86051395,2020-05-29,USD,10.62,2.655,13.275
245,86051396,2020-05-29,USD,60.2,15.05,75.25
556,86051397,2020-05-29,USD,7.66,1.915,9.575
352,86051398,2020-05-29,USD,6.43,1.6075,8.0375
106,86051399,2020-05-29,USD,11.23,2.8075,14.0375
948,86051400,2020-05-29,USD,9.86,2.465,12.325
681,86051401,2020-05-29,USD,5.51,1.3775,6.8875
186,86051402,2020-05-29,USD,7.89,1.9725,9.8625
882,86051403,2020-05-29,USD,37.23,9.3075,46.5375
713,86051404,2020-05-29,USD,4.93,1.2325,6.1625
5,86051405,2020-05-29,USD,5.8,1.45,7.25
829,86051407,2020-05-29,USD,12.61,3.1525,15.7625
202,86051408,2020-05-29,USD,29.94,7.485,37.425
821,86051409,2020-05-29,USD,24.95,6.2375,31.1875
442,86051410,2020-05-29,USD,19.49,4.8725,24.3625
341,86051411,2020-05-29,USD,19.28,4.82,24.1
823,86051412,2020-05-29,USD,8.81,2.2025,11.0125
448,86051413,2020-05-29,USD,6.7,1.675,8.375
156,86051414,2020-05-29,USD,20.26,5.065,25.325
244,86051415,2020-05-29,USD,31.1,7.775,38.875
492,86051416,2020-05-29,USD,20.75,5.1875,25.9375
235,86051417,2020-05-29,USD,27.15,6.7875,33.9375
687,86051418,2020-05-29,USD,16.03,4.0075,20.0375
648,86051419,2020-05-29,USD,7.66,1.915,9.575
521,86051420,2020-05-29,USD,1.97,0.4925,2.4625
285,86051421,2020-05-29,USD,19.19,4.7975,23.9875
224,86051422,2020-05-29,USD,34.66,8.665,43.325
62,86051423,2020-05-29,USD,9.13,2.2825,11.4125
560,86051424,2020-05-29,USD,40.26,10.065,50.325
946,86051425,2020-05-29,USD,30.59,7.6475,38.2375
10,86051426,2020-05-29,USD,22.78,5.695,28.475
417,86051427,2020-05-29,USD,25.29,6.3225,31.6125
810,86051428,2020-05-29,USD,10.02,2.505,12.525
606,86051429,2020-05-29,USD,12,3,15
927,86051430,2020-05-29,USD,4.78,1.195,5.975
811,86051431,2020-05-29,USD,15.25,3.8125,19.0625
536,86051432,2020-05-29,USD,23.26,5.815,29.075
294,86051433,2020-05-29,USD,19.47,4.8675,24.3375
383,86051434,2020-05-29,USD,13.97,3.4925,17.4625
865,86051435,2020-05-29,USD,3.94,0.985,4.925
589,86051436,2020-05-29,USD,15.37,3.8425,19.2125
912,86051437,2020-05-29,USD,9.63,2.4075,12.0375
933,86051438,2020-05-29,USD,4.93,1.2325,6.1625
871,86051439,2020-05-29,USD,8.93,2.2325,11.1625
106,86051440,2020-05-29,USD,10.42,2.605,13.025
27,86051441,2020-05-29,USD,21.36,5.34,26.7
358,86051442,2020-05-29,USD,7.88,1.97,9.85
354,86051443,2020-05-29,USD,11.94,2.985,14.925
883,86051444,2020-05-29,USD,14.07,3.5175,17.5875
68,86051445,2020-05-29,USD,4.73,1.1825,5.9125
32,86051446,2020-05-29,USD,4.33,1.0825,5.4125
782,86051447,2020-05-29,USD,57.08,14.27,71.35
810,86051448,2020-05-29,USD,22.33,5.5825,27.9125
330,86051449,2020-05-29,USD,42.23,10.5575,52.7875
376,86051450,2020-05-29,USD,6.59,1.6475,8.2375
654,86051451,2020-05-29,USD,4.73,1.1825,5.9125
621,86051452,2020-05-29,USD,51.3,12.825,64.125
636,86051453,2020-05-29,USD,8.84,2.21,11.05
742,86051454,2020-05-29,USD,32.07,8.0175,40.0875
893,86051455,2020-05-29,USD,15.37,3.8425,19.2125
567,86051456,2020-05-29,USD,18.72,4.68,23.4
409,86051457,2020-05-29,USD,5.9,1.475,7.375
524,86051458,2020-05-29,USD,8.84,2.21,11.05
563,86051459,2020-05-29,USD,24.38,6.095,30.475
336,86051460,2020-05-29,USD,22.33,5.5825,27.9125
821,86051461,2020-05-29,USD,17.51,4.3775,21.8875
440,86051462,2020-05-29,USD,20.75,5.1875,25.9375
265,86051463,2020-05-29,USD,127.73,31.9325,159.6625
131,86051464,2020-05-29,USD,53.32,13.33,66.65
572,86051465,2020-05-29,USD,10.64,2.66,13.3
883,86051466,2020-05-29,USD,13.02,3.255,16.275
218,86051467,2020-05-29,USD,8.81,2.2025,11.0125
491,86051468,2020-05-29,USD,9.79,2.4475,12.2375
645,86051469,2020-05-29,USD,18.23,4.5575,22.7875
227,86051470,2020-05-29,USD,7.66,1.915,9.575
615,86051471,2020-05-29,USD,18.72,4.68,23.4
791,86051472,2020-05-29,USD,13.34,3.335,16.675
341,86051473,2020-05-29,USD,33.62,8.405,42.025
984,86051474,2020-05-29,USD,21.15,5.2875,26.4375
58,86051475,2020-05-29,USD,47.94,11.985,59.925
831,86051476,2020-05-29,USD,20.89,5.2225,26.1125
120,86051477,2020-05-29,USD,11.12,2.78,13.9
941,86051478,2020-05-29,USD,20.43,5.1075,25.5375
