LP,FUND,VINTAGE,TOTAL_COMMITMENT_EU,COMMITMENT_CALLED_EU,COMMITMENT_UNCALLED_EU,DISTRIBUTED_EU,RECALLABLE_EU,NAV_EU,SFDR,ASSET_CLASS,COMMENTAIRES
BNP PARIBAS REAL ESTATE,Target Maturity 2029 Bond Fund,2024,41,20,21,3,0,89,6,Private Equity,
BNP PARIBAS REAL ESTATE,Impact Credit Strategies Fund,2022,343,305,38,96,35,4,9,Private Equity,
BNP PARIBAS REAL ESTATE,Global Cross Asset Fund,2021,332,86,246,36,2,3,8,Private Equity,
BNP PARIBAS REAL ESTATE,Equity Diversified Selection Fund,2018,16,9,7,2,1,79,8,Private Debt,
BPCE SOLUTIONS IMMOBILIÈRES,Global Short Term Credit Fund,2024,250,170,81,53,20,21,8,Private Debt,
BPCE SOLUTIONS IMMOBILIÈRES,International Fixed Duration Fund,2019,222,173,49,33,3,57,9,Private Equity,
BPCE SOLUTIONS IMMOBILIÈRES,Community Savings Bond Fund,2018,128,74,54,34,10,72,9,Private Debt,
BPCE SOLUTIONS IMMOBILIÈRES,European High Yield Bond Fund,2022,224,163,61,28,7,98,8,Private Debt,
BPCE SOLUTIONS IMMOBILIÈRES,Fixed Maturity 2027 Bond Fund,2019,464,23,441,5,2,64,6,Private Equity,
BPCE SOLUTIONS IMMOBILIÈRES,Fixed Maturity 2025 Bond Fund,2022,88,76,12,35,10,96,9,Private Debt,
BPCE SOLUTIONS IMMOBILIÈRES,Target Maturity 2029 Bond Fund,2019,346,265,80,94,25,2,9,Private Debt,
BPCE SOLUTIONS IMMOBILIÈRES,Impact Credit Strategies Fund,2022,191,148,43,69,8,44,9,Private Debt,
BPCE SOLUTIONS IMMOBILIÈRES,Global Cross Asset Fund,2017,235,112,123,31,13,21,6,Private Debt,
BPCE SOLUTIONS IMMOBILIÈRES,Equity Diversified Selection Fund,2023,474,185,289,61,25,68,6,Private Equity,
SAVILLS,Global Short Term Credit Fund,2021,182,159,23,59,21,64,9,Private Equity,
SAVILLS,International Fixed Duration Fund,2023,336,158,177,29,3,36,8,Private Equity,
SAVILLS,Community Savings Bond Fund,2024,325,244,81,51,14,13,9,Private Equity,
SAVILLS,European High Yield Bond Fund,2021,221,51,169,10,5,31,9,Private Equity,
SAVILLS,Fixed Maturity 2027 Bond Fund,2018,478,213,264,47,3,15,9,Private Equity,
SAVILLS,Fixed Maturity 2025 Bond Fund,2017,194,161,33,8,2,82,8,Private Debt,
SAVILLS,Target Maturity 2029 Bond Fund,2019,343,76,267,4,1,75,6,Private Equity,
SAVILLS,Impact Credit Strategies Fund,2019,363,220,144,68,9,3,8,Private Equity,
SAVILLS,Global Cross Asset Fund,2022,64,46,18,0,0,4,6,Private Debt,
SAVILLS,Equity Diversified Selection Fund,2023,357,20,337,7,0,40,6,Private Equity,
CATELLA VALUATION,Global Short Term Credit Fund,2017,277,194,83,76,29,50,8,Private Debt,
CATELLA VALUATION,International Fixed Duration Fund,2020,100,71,29,34,4,88,6,Private Debt,
CATELLA VALUATION,Community Savings Bond Fund,2017,198,78,120,32,15,9,6,Private Equity,
CATELLA VALUATION,European High Yield Bond Fund,2017,216,28,188,13,6,13,8,Private Debt,
CATELLA VALUATION,Fixed Maturity 2027 Bond Fund,2024,135,61,74,19,1,42,8,Private Equity,
CATELLA VALUATION,Fixed Maturity 2025 Bond Fund,2021,307,263,44,109,20,39,9,Private Debt,
CATELLA VALUATION,Target Maturity 2029 Bond Fund,2019,429,28,401,1,0,84,6,Private Equity,
CATELLA VALUATION,Impact Credit Strategies Fund,2024,118,98,20,16,5,38,6,Private Debt,
CATELLA VALUATION,Global Cross Asset Fund,2024,135,36,99,4,0,32,6,Private Equity,
CATELLA VALUATION,Equity Diversified Selection Fund,2020,393,208,186,63,12,86,9,Private Equity,
COLLIERS FRANCE,Global Short Term Credit Fund,2017,441,63,379,16,8,42,9,Private Equity,
COLLIERS FRANCE,International Fixed Duration Fund,2022,423,213,209,21,8,100,6,Private Equity,
COLLIERS FRANCE,Community Savings Bond Fund,2020,458,178,280,27,10,22,9,Private Debt,
COLLIERS FRANCE,European High Yield Bond Fund,2021,356,229,126,65,16,48,9,Private Equity,
COLLIERS FRANCE,Fixed Maturity 2027 Bond Fund,2022,391,280,111,135,23,37,8,Private Debt,
COLLIERS FRANCE,Fixed Maturity 2025 Bond Fund,2017,205,58,147,27,12,87,6,Private Debt,
COLLIERS FRANCE,Target Maturity 2029 Bond Fund,2019,445,335,110,33,9,43,9,Private Debt,
COLLIERS FRANCE,Impact Credit Strategies Fund,2020,228,187,42,68,7,3,6,Private Equity,
COLLIERS FRANCE,Global Cross Asset Fund,2023,60,15,45,3,1,11,9,Private Debt,
COLLIERS FRANCE,Equity Diversified Selection Fund,2019,475,50,426,13,2,85,6,Private Debt,
COLOMER EXPERTISES,Global Short Term Credit Fund,2023,261,128,133,49,24,83,8,Private Debt,
COLOMER EXPERTISES,International Fixed Duration Fund,2023,407,5,403,1,0,20,9,Private Equity,
COLOMER EXPERTISES,Community Savings Bond Fund,2021,304,237,68,34,13,8,9,Private Equity,
COLOMER EXPERTISES,European High Yield Bond Fund,2017,334,276,58,103,1,41,9,Private Debt,
COLOMER EXPERTISES,Fixed Maturity 2027 Bond Fund,2020,56,49,7,2,0,8,8,Private Debt,
COLOMER EXPERTISES,Fixed Maturity 2025 Bond Fund,2024,157,46,111,19,7,62,8,Private Equity,
COLOMER EXPERTISES,Target Maturity 2029 Bond Fund,2023,115,89,26,2,0,7,8,Private Equity,
COLOMER EXPERTISES,Impact Credit Strategies Fund,2017,421,279,141,60,29,38,9,Private Equity,
COLOMER EXPERTISES,Global Cross Asset Fund,2018,414,226,189,46,1,45,6,Private Debt,
COLOMER EXPERTISES,Equity Diversified Selection Fund,2020,45,4,41,1,0,24,8,Private Equity,
EXPERTISES GALTIER,Global Short Term Credit Fund,2019,286,73,213,3,1,73,9,Private Debt,
EXPERTISES GALTIER,International Fixed Duration Fund,2019,259,52,207,3,1,8,8,Private Debt,
EXPERTISES GALTIER,Community Savings Bond Fund,2020,214,111,103,13,2,39,8,Private Equity,
EXPERTISES GALTIER,European High Yield Bond Fund,2022,94,49,45,1,0,78,9,Private Equity,
EXPERTISES GALTIER,Fixed Maturity 2027 Bond Fund,2021,371,9,362,1,0,20,9,Private Equity,
EXPERTISES GALTIER,Fixed Maturity 2025 Bond Fund,2024,69,36,33,5,1,62,8,Private Equity,
EXPERTISES GALTIER,Target Maturity 2029 Bond Fund,2024,331,71,260,4,2,91,6,Private Equity,
EXPERTISES GALTIER,Impact Credit Strategies Fund,2024,259,145,114,55,22,50,9,Private Equity,
EXPERTISES GALTIER,Global Cross Asset Fund,2024,190,43,148,16,0,87,6,Private Debt,
EXPERTISES GALTIER,Equity Diversified Selection Fund,2018,146,90,56,32,1,50,6,Private Equity,
KNIGHT FRANK,Global Short Term Credit Fund,2018,312,271,41,75,17,57,8,Private Equity,
KNIGHT FRANK,International Fixed Duration Fund,2021,42,15,27,7,4,37,8,Private Debt,
KNIGHT FRANK,Community Savings Bond Fund,2022,325,227,98,93,11,12,9,Private Equity,
KNIGHT FRANK,European High Yield Bond Fund,2019,166,32,135,4,2,75,8,Private Debt,
KNIGHT FRANK,Fixed Maturity 2027 Bond Fund,2020,68,2,66,0,0,35,8,Private Equity,
KNIGHT FRANK,Fixed Maturity 2025 Bond Fund,2022,476,164,312,79,22,8,8,Private Equity,
KNIGHT FRANK,Target Maturity 2029 Bond Fund,2021,74,40,33,7,3,95,9,Private Debt,
KNIGHT FRANK,Impact Credit Strategies Fund,2017,413,363,50,100,48,60,8,Private Debt,
KNIGHT FRANK,Global Cross Asset Fund,2019,435,169,265,54,11,9,6,Private Debt,
KNIGHT FRANK,Equity Diversified Selection Fund,2020,15,2,13,0,0,18,6,Private Equity,
KPMG,Global Short Term Credit Fund,2024,190,149,42,24,9,26,9,Private Equity,
KPMG,International Fixed Duration Fund,2022,447,212,235,98,29,10,8,Private Debt,
KPMG,Community Savings Bond Fund,2017,97,60,36,17,8,65,8,Private Debt,
KPMG,European High Yield Bond Fund,2019,87,22,66,2,0,86,8,Private Equity,
KPMG,Fixed Maturity 2027 Bond Fund,2022,129,97,32,22,1,38,9,Private Equity,
KPMG,Fixed Maturity 2025 Bond Fund,2020,490,36,454,9,2,76,6,Private Equity,
KPMG,Target Maturity 2029 Bond Fund,2024,74,37,36,13,3,97,8,Private Equity,
KPMG,Impact Credit Strategies Fund,2017,404,143,262,12,4,57,9,Private Equity,
KPMG,Global Cross Asset Fund,2021,316,255,61,120,11,18,9,Private Equity,
KPMG,Equity Diversified Selection Fund,2023,51,43,8,15,3,87,9,Private Equity,
MARC-OLIVIER PETIT EXPERTISES,Global Short Term Credit Fund,2021,215,179,36,84,22,44,6,Private Equity,
MARC-OLIVIER PETIT EXPERTISES,International Fixed Duration Fund,2017,480,64,416,9,3,50,9,Private Debt,
MARC-OLIVIER PETIT EXPERTISES,Community Savings Bond Fund,2019,325,252,73,24,10,46,6,Private Equity,
MARC-OLIVIER PETIT EXPERTISES,European High Yield Bond Fund,2023,124,66,58,10,2,24,9,Private Equity,
MARC-OLIVIER PETIT EXPERTISES,Fixed Maturity 2027 Bond Fund,2022,129,80,49,24,2,74,8,Private Equity,
MARC-OLIVIER PETIT EXPERTISES,Fixed Maturity 2025 Bond Fund,2022,142,53,89,18,1,16,6,Private Debt,
MARC-OLIVIER PETIT EXPERTISES,Target Maturity 2029 Bond Fund,2018,205,152,53,10,5,72,9,Private Equity,
MARC-OLIVIER PETIT EXPERTISES,Impact Credit Strategies Fund,2022,415,373,43,163,23,100,9,Private Debt,
MARC-OLIVIER PETIT EXPERTISES,Global Cross Asset Fund,2020,478,166,312,71,7,77,6,Private Debt,
MARC-OLIVIER PETIT EXPERTISES,Equity Diversified Selection Fund,2018,111,49,62,5,2,46,6,Private Equity,
VIF EXPERTISE,Global Short Term Credit Fund,2021,242,70,172,8,4,70,8,Private Equity,
VIF EXPERTISE,International Fixed Duration Fund,2023,257,120,137,11,1,65,8,Private Debt,
VIF EXPERTISE,Community Savings Bond Fund,2024,137,46,90,5,1,58,6,Private Equity,
VIF EXPERTISE,European High Yield Bond Fund,2019,290,205,85,48,13,7,8,Private Equity,
VIF EXPERTISE,Fixed Maturity 2027 Bond Fund,2022,424,194,230,68,1,43,8,Private Equity,
VIF EXPERTISE,Fixed Maturity 2025 Bond Fund,2021,325,163,162,69,7,85,6,Private Debt,
VIF EXPERTISE,Target Maturity 2029 Bond Fund,2017,334,126,207,1,0,37,9,Private Equity,
VIF EXPERTISE,Impact Credit Strategies Fund,2019,168,69,99,26,8,22,9,Private Equity,
VIF EXPERTISE,Global Cross Asset Fund,2017,191,164,27,72,4,56,8,Private Debt,
VIF EXPERTISE,Equity Diversified Selection Fund,2021,69,61,8,18,5,95,8,Private Equity,
CABINET MAIGNÉ-GABORIT & GARRAUD,Global Short Term Credit Fund,2024,394,252,142,97,38,84,9,Private Debt,
CABINET MAIGNÉ-GABORIT & GARRAUD,International Fixed Duration Fund,2020,255,149,106,10,0,91,8,Private Debt,
CABINET MAIGNÉ-GABORIT & GARRAUD,Community Savings Bond Fund,2018,159,7,152,1,0,64,9,Private Equity,
CABINET MAIGNÉ-GABORIT & GARRAUD,European High Yield Bond Fund,2020,36,17,19,4,1,77,8,Private Debt,
CABINET MAIGNÉ-GABORIT & GARRAUD,Fixed Maturity 2027 Bond Fund,2020,34,22,12,6,0,64,6,Private Equity,
CABINET MAIGNÉ-GABORIT & GARRAUD,Fixed Maturity 2025 Bond Fund,2021,97,81,16,38,4,9,9,Private Equity,
CABINET MAIGNÉ-GABORIT & GARRAUD,Target Maturity 2029 Bond Fund,2017,333,174,159,83,38,19,8,Private Equity,
CABINET MAIGNÉ-GABORIT & GARRAUD,Impact Credit Strategies Fund,2020,244,215,29,102,51,59,9,Private Debt,
CABINET MAIGNÉ-GABORIT & GARRAUD,Global Cross Asset Fund,2018,227,20,207,3,2,59,8,Private Debt,
CABINET MAIGNÉ-GABORIT & GARRAUD,Equity Diversified Selection Fund,2022,40,35,5,3,1,63,8,Private Equity,
CEI - CONSEIL EVALUATIONS IMMOBILIÈRES,Global Short Term Credit Fund,2022,187,40,147,14,6,36,8,Private Equity,
CEI - CONSEIL EVALUATIONS IMMOBILIÈRES,International Fixed Duration Fund,2017,113,53,60,21,8,57,8,Private Equity,
CEI - CONSEIL EVALUATIONS IMMOBILIÈRES,Community Savings Bond Fund,2020,335,167,169,80,18,34,6,Private Debt,
CEI - CONSEIL EVALUATIONS IMMOBILIÈRES,European High Yield Bond Fund,2017,193,47,146,16,5,30,6,Private Equity,
CEI - CONSEIL EVALUATIONS IMMOBILIÈRES,Fixed Maturity 2027 Bond Fund,2018,173,131,42,54,13,55,9,Private Equity,
CEI - CONSEIL EVALUATIONS IMMOBILIÈRES,Fixed Maturity 2025 Bond Fund,2022,488,328,159,75,2,48,6,Private Equity,
CEI - CONSEIL EVALUATIONS IMMOBILIÈRES,Target Maturity 2029 Bond Fund,2018,12,5,7,2,0,90,8,Private Debt,
CEI - CONSEIL EVALUATIONS IMMOBILIÈRES,Impact Credit Strategies Fund,2020,447,328,119,76,4,17,6,Private Equity,
CEI - CONSEIL EVALUATIONS IMMOBILIÈRES,Global Cross Asset Fund,2020,261,53,209,18,2,29,6,Private Debt,
CEI - CONSEIL EVALUATIONS IMMOBILIÈRES,Equity Diversified Selection Fund,2024,479,94,385,28,1,59,8,Private Equity,
DAXTER,Global Short Term Credit Fund,2022,44,19,24,1,0,8,8,Private Equity,
DAXTER,International Fixed Duration Fund,2021,452,254,198,36,9,13,9,Private Equity,
DAXTER,Community Savings Bond Fund,2022,137,71,66,23,4,13,9,Private Debt,
DAXTER,European High Yield Bond Fund,2023,443,327,116,53,11,95,6,Private Equity,
DAXTER,Fixed Maturity 2027 Bond Fund,2019,448,181,268,78,25,43,9,Private Debt,
DAXTER,Fixed Maturity 2025 Bond Fund,2020,211,120,91,40,18,5,6,Private Equity,
DAXTER,Target Maturity 2029 Bond Fund,2020,157,114,42,7,1,87,6,Private Equity,
DAXTER,Impact Credit Strategies Fund,2017,350,195,155,48,9,15,8,Private Debt,
DAXTER,Global Cross Asset Fund,2021,268,131,136,50,7,58,8,Private Equity,
DAXTER,Equity Diversified Selection Fund,2019,16,11,4,1,0,20,9,Private Equity,
DELOITTE,Global Short Term Credit Fund,2018,201,3,198,0,0,32,9,Private Debt,
DELOITTE,International Fixed Duration Fund,2017,92,63,28,4,0,16,8,Private Equity,
DELOITTE,Community Savings Bond Fund,2021,445,146,300,46,1,4,6,Private Debt,
DELOITTE,European High Yield Bond Fund,2020,288,72,216,23,5,39,6,Private Debt,
DELOITTE,Fixed Maturity 2027 Bond Fund,2020,220,194,27,14,6,65,9,Private Debt,
DELOITTE,Fixed Maturity 2025 Bond Fund,2022,354,215,139,100,6,94,8,Private Debt,
DELOITTE,Target Maturity 2029 Bond Fund,2024,307,73,234,33,10,96,6,Private Debt,
DELOITTE,Impact Credit Strategies Fund,2024,172,108,64,3,1,46,8,Private Equity,
DELOITTE,Global Cross Asset Fund,2023,449,53,396,15,4,70,6,Private Equity,
DELOITTE,Equity Diversified Selection Fund,2023,194,114,80,37,17,73,9,Private Equity,
FRÉRAULT EXPERTISES,Global Short Term Credit Fund,2022,266,169,97,80,35,100,6,Private Debt,
FRÉRAULT EXPERTISES,International Fixed Duration Fund,2022,466,29,437,1,1,9,6,Private Debt,
FRÉRAULT EXPERTISES,Community Savings Bond Fund,2019,261,14,248,3,0,41,6,Private Equity,
FRÉRAULT EXPERTISES,European High Yield Bond Fund,2018,395,35,360,7,0,18,6,Private Debt,
FRÉRAULT EXPERTISES,Fixed Maturity 2027 Bond Fund,2020,187,128,59,39,15,66,8,Private Equity,
FRÉRAULT EXPERTISES,Fixed Maturity 2025 Bond Fund,2018,373,88,285,28,1,31,8,Private Debt,
FRÉRAULT EXPERTISES,Target Maturity 2029 Bond Fund,2018,11,6,5,1,0,84,6,Private Debt,
FRÉRAULT EXPERTISES,Impact Credit Strategies Fund,2020,18,2,17,0,0,69,6,Private Equity,
FRÉRAULT EXPERTISES,Global Cross Asset Fund,2020,165,34,131,9,3,67,6,Private Debt,
FRÉRAULT EXPERTISES,Equity Diversified Selection Fund,2021,217,128,89,61,27,2,8,Private Equity,
MARTEL EXPERTISES,Global Short Term Credit Fund,2017,270,187,83,33,1,12,6,Private Equity,
MARTEL EXPERTISES,International Fixed Duration Fund,2020,86,57,29,4,2,28,9,Private Equity,
MARTEL EXPERTISES,Community Savings Bond Fund,2023,87,59,28,2,1,26,8,Private Debt,
MARTEL EXPERTISES,European High Yield Bond Fund,2020,128,52,76,3,1,83,6,Private Equity,
MARTEL EXPERTISES,Fixed Maturity 2027 Bond Fund,2023,166,142,25,48,14,32,9,Private Equity,
MARTEL EXPERTISES,Fixed Maturity 2025 Bond Fund,2018,460,306,154,111,20,66,6,Private Debt,
MARTEL EXPERTISES,Target Maturity 2029 Bond Fund,2024,392,168,223,64,8,72,9,Private Debt,
MARTEL EXPERTISES,Impact Credit Strategies Fund,2022,437,87,350,19,1,35,6,Private Debt,
MARTEL EXPERTISES,Global Cross Asset Fund,2018,406,218,188,103,46,48,8,Private Equity,
MARTEL EXPERTISES,Equity Diversified Selection Fund,2023,354,65,289,16,0,29,8,Private Debt,
MARTINS & ASSOCIÉS,Global Short Term Credit Fund,2020,296,53,244,10,5,33,9,Private Debt,
MARTINS & ASSOCIÉS,International Fixed Duration Fund,2021,208,14,194,2,0,5,8,Private Debt,
MARTINS & ASSOCIÉS,Community Savings Bond Fund,2022,366,198,168,55,3,17,6,Private Equity,
MARTINS & ASSOCIÉS,European High Yield Bond Fund,2021,81,31,50,7,1,93,9,Private Debt,
MARTINS & ASSOCIÉS,Fixed Maturity 2027 Bond Fund,2022,192,154,38,2,1,55,8,Private Debt,
MARTINS & ASSOCIÉS,Fixed Maturity 2025 Bond Fund,2018,152,29,124,1,0,47,6,Private Debt,
MARTINS & ASSOCIÉS,Target Maturity 2029 Bond Fund,2022,311,45,266,14,0,25,9,Private Equity,
MARTINS & ASSOCIÉS,Impact Credit Strategies Fund,2023,329,238,91,17,6,44,6,Private Equity,
MARTINS & ASSOCIÉS,Global Cross Asset Fund,2023,364,288,76,91,5,54,9,Private Equity,
MARTINS & ASSOCIÉS,Equity Diversified Selection Fund,2024,75,18,57,8,3,65,9,Private Equity,
PWC,Global Short Term Credit Fund,2021,432,282,150,37,15,43,8,Private Equity,
PWC,International Fixed Duration Fund,2024,79,55,25,0,0,70,6,Private Debt,
PWC,Community Savings Bond Fund,2020,428,323,105,15,5,74,8,Private Debt,
PWC,European High Yield Bond Fund,2021,275,100,175,49,18,80,9,Private Equity,
PWC,Fixed Maturity 2027 Bond Fund,2018,247,140,107,19,5,7,9,Private Equity,
PWC,Fixed Maturity 2025 Bond Fund,2023,288,204,84,95,27,97,6,Private Debt,
PWC,Target Maturity 2029 Bond Fund,2022,153,120,33,6,2,57,6,Private Equity,
PWC,Impact Credit Strategies Fund,2022,380,187,193,30,3,25,8,Private Equity,
PWC,Global Cross Asset Fund,2023,465,173,292,47,21,32,8,Private Debt,
PWC,Equity Diversified Selection Fund,2024,328,204,124,45,17,79,6,Private Debt,
QUADRAL EXPERTISE,Global Short Term Credit Fund,2019,255,14,241,4,2,82,9,Private Equity,
QUADRAL EXPERTISE,International Fixed Duration Fund,2024,56,27,29,10,3,28,6,Private Equity,
QUADRAL EXPERTISE,Community Savings Bond Fund,2018,70,54,16,5,3,66,8,Private Equity,
QUADRAL EXPERTISE,European High Yield Bond Fund,2020,289,120,170,9,3,31,8,Private Debt,
QUADRAL EXPERTISE,Fixed Maturity 2027 Bond Fund,2024,367,316,51,101,5,57,8,Private Debt,
QUADRAL EXPERTISE,Fixed Maturity 2025 Bond Fund,2022,352,132,220,18,6,26,6,Private Debt,
QUADRAL EXPERTISE,Target Maturity 2029 Bond Fund,2021,133,53,80,24,3,47,9,Private Debt,
QUADRAL EXPERTISE,Impact Credit Strategies Fund,2021,280,121,159,43,9,9,6,Private Equity,
QUADRAL EXPERTISE,Global Cross Asset Fund,2018,316,39,276,6,1,92,6,Private Equity,
QUADRAL EXPERTISE,Equity Diversified Selection Fund,2020,325,278,47,28,2,42,6,Private Equity,
ROBINE & ASSOCIÉS,Global Short Term Credit Fund,2023,444,93,351,21,3,18,6,Private Equity,
ROBINE & ASSOCIÉS,International Fixed Duration Fund,2018,382,321,60,75,34,75,6,Private Equity,
ROBINE & ASSOCIÉS,Community Savings Bond Fund,2023,328,212,116,25,2,97,6,Private Equity,
ROBINE & ASSOCIÉS,European High Yield Bond Fund,2019,76,13,63,1,0,74,8,Private Equity,
ROBINE & ASSOCIÉS,Fixed Maturity 2027 Bond Fund,2018,220,148,72,52,3,75,8,Private Equity,
CUSHMAN & WAKEFIELD,Sustainable Retail Fund,2019,97,12,85,1,0,52,6,Private Equity,
JLL,Sustainable Retail Fund,2020,240,87,154,9,0,53,6,Private Equity,
BNP PARIBAS REAL ESTATE,Sustainable Retail Fund,2017,216,162,54,31,10,4,9,Private Debt,
BPCE SOLUTIONS IMMOBILIÈRES,Sustainable Retail Fund,2019,433,235,198,25,4,54,6,Private Debt,
SAVILLS,Sustainable Retail Fund,2024,104,2,102,0,0,73,9,Private Debt,
CATELLA VALUATION,Sustainable Retail Fund,2022,151,3,148,0,0,30,6,Private Debt,
COLLIERS FRANCE,Sustainable Retail Fund,2019,345,283,62,100,5,20,8,Private Debt,
COLOMER EXPERTISES,Sustainable Retail Fund,2021,404,327,77,153,33,69,6,Private Equity,
EXPERTISES GALTIER,Sustainable Retail Fund,2023,209,165,43,30,1,92,8,Private Debt,
KNIGHT FRANK,Sustainable Retail Fund,2024,491,223,268,77,12,6,8,Private Equity,
KPMG,Sustainable Retail Fund,2020,443,303,139,55,14,50,8,Private Debt,
MARC-OLIVIER PETIT EXPERTISES,Sustainable Retail Fund,2023,417,263,154,57,18,14,6,Private Debt,
VIF EXPERTISE,Sustainable Retail Fund,2018,118,71,46,27,13,52,8,Private Debt,
CABINET MAIGNÉ-GABORIT & GARRAUD,Sustainable Retail Fund,2024,159,41,118,19,1,43,9,Private Equity,
CEI - CONSEIL EVALUATIONS IMMOBILIÈRES,Sustainable Retail Fund,2021,299,26,273,11,0,35,9,Private Equity,
DAXTER,Sustainable Retail Fund,2018,101,15,86,6,1,83,9,Private Equity,
DELOITTE,Sustainable Retail Fund,2020,16,5,11,2,1,5,9,Private Equity,
FRÉRAULT EXPERTISES,Sustainable Retail Fund,2018,466,142,324,65,27,16,8,Private Equity,
MARTEL EXPERTISES,Sustainable Retail Fund,2019,489,157,332,78,21,26,6,Private Debt,
MARTINS & ASSOCIÉS,Sustainable Retail Fund,2023,466,370,96,87,43,80,8,Private Debt,
PWC,Sustainable Retail Fund,2019,157,131,26,28,0,22,9,Private Debt,
QUADRAL EXPERTISE,Sustainable Retail Fund,2022,355,164,191,23,8,53,6,Private Equity,
ROBINE & ASSOCIÉS,Sustainable Retail Fund,2019,490,105,385,51,9,99,8,Private Equity,
ROBINE & ASSOCIÉS,Fixed Maturity 2025 Bond Fund,2024,477,339,138,138,53,19,6,Private Debt,
ROBINE & ASSOCIÉS,Target Maturity 2029 Bond Fund,2022,81,45,35,22,1,29,6,Private Equity,
ROBINE & ASSOCIÉS,Impact Credit Strategies Fund,2022,53,13,40,2,1,37,9,Private Debt,
ROBINE & ASSOCIÉS,Global Cross Asset Fund,2023,205,160,45,27,11,93,6,Private Debt,
ROBINE & ASSOCIÉS,Equity Diversified Selection Fund,2023,232,179,53,16,0,33,9,Private Debt,
SAINSARD EXPERTS,Global Short Term Credit Fund,2019,45,14,30,3,1,17,9,Private Equity,
SAINSARD EXPERTS,International Fixed Duration Fund,2023,246,147,98,11,2,24,8,Private Equity,
SAINSARD EXPERTS,Community Savings Bond Fund,2020,214,35,179,5,1,38,8,Private Equity,
SAINSARD EXPERTS,European High Yield Bond Fund,2024,123,110,13,15,4,84,6,Private Debt,
SAINSARD EXPERTS,Fixed Maturity 2027 Bond Fund,2024,465,110,355,2,1,81,6,Private Equity,
SAINSARD EXPERTS,Fixed Maturity 2025 Bond Fund,2023,274,168,106,2,1,84,6,Private Debt,
SAINSARD EXPERTS,Target Maturity 2029 Bond Fund,2022,396,212,184,101,44,28,8,Private Debt,
SAINSARD EXPERTS,Impact Credit Strategies Fund,2019,136,114,22,52,19,81,9,Private Debt,
SAINSARD EXPERTS,Global Cross Asset Fund,2023,229,197,32,39,19,57,9,Private Equity,
SAINSARD EXPERTS,Equity Diversified Selection Fund,2019,86,68,17,5,1,31,9,Private Debt,
B&E PARTNERS,Global Short Term Credit Fund,2019,217,3,213,0,0,89,8,Private Equity,
B&E PARTNERS,International Fixed Duration Fund,2022,111,21,90,9,3,72,6,Private Debt,
